// This file must be encoded with UTF-8 (e.g. with Windows Notepad)	
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French	
// Format is: English string<tab>Translated string<newline>	
Contrast	Contraste
Rotate image and fit to screen	Faire pivoter l'image et ajuster à l'ecran
Fit image to screen	Adapter l'image à l'ecran
Zoom 1:1 (100 %)	Zoom 1:1 (100%)
Zoom in/Zoom out (also Ctrl+up/down)	Zoom avant/Zoom arrière (Ctrl+haut/bas)
Zoom in/out image	Zoom avant/arrière sur l'image
Pan image	Ajourner l'image
Crop image	Recadrer
Next image	Image suivante
Previous image	Image précédente
up/down	haut/bas
Mouse wheel	Molette de la souris
Left mouse & drag	Btn gauche souris et deplacer
Ctrl + Left mouse	Ctrl + Btn gauche de souris
Forward mouse button	Btn Fwd de la souris
Back mouse button	Btn Back de la souris
Delete current file on disk permanently	Supprimer le fichier en cours sur le disque de façon permanente
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Tournez fichier en cours sur le disque sans perte de 90 deg (W / H doit être multiple de 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Tournez fichier en cours sur le disque sans perte de 270 deg (W / H doit être multiple de 16)
The file is read-only!	Le fichier est en lecture seule!
Can't rename file	Impossible de renommer le fichier
New name contains backslash character!	Nouveau nom contient un caractère barre oblique inverse!
Renaming file failed!	Renommer le fichier a échoué!
Reason: 	Motif:
on	marche
off	arrêt
Do you really want to save the following parameters as default to the INI file	Voulez-vous vraiment à mettre les paramètres suivants par défaut dans le fichier INI
Auto contrast and color correction: 	Contraste automatique et la correction des couleurs:
Local density correction: 	Correction de la densité locale:
Order files by: 	Fichiers trier par:
Creation date/time	Date de création / heure
Last modification date/time	Date de dernière modification / temps
File name	Nom du fichier
These values will override the values from the INI file located in the program folder of JPEGView!	Ces valeurs ont priorité sur les valeurs de la fichier INI situé dans le dossier programme de JPEGView!
Confirm save default parameters	Confirmer l'enregistrement des paramètres par defaut
Images	Images
All Files	Tous les fichiers
Parameter DB file '%s' could not be opened!	Fichier paramètre DB '%s' n'a pas pu être ouvert!
Parameter DB file '%s' is not valid (invalid header)!	Fichier paramètre DB '%s' n'est pas valide (en-tête non valide)!
Cannot write to parameter DB file '%s'!	Impossible d'ecrire dans le fichier paramètre BD '%s'!
Cannot read from parameter DB file '%s'!	Impossible de lire le fichier paramètre BD '%s'!
Cannot read parameter DB file '%s' because it is too large!	Impossible de lire le fichier paramètre BD '%s' parce que sa taille est trop grande!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Le fichier paramètre BD '%s' a été créé par une version plus récente de JPEGView!
The old parameter DB file '%s' could not be renamed during conversion to new format!	L'ancien fichier paramètre BD '%s' ne peut pas être renommé lors de la conversion au nouveau format!
Parameter DB error	Erreur paramètre BD
Error saving file	Erreur de sauvegarde du fichier
Error writing file to disk!	Erreur d'ecriture sur le disque!
Confirm	Confirmer
Do you really want to permanently delete the file %filename%?	Voulez-vous vraiment supprimer définitivement le fichier %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Tournez le fichier suivant sans perte de 90°?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Tournez le fichier suivant sans perte de 270°?\n%filename%
Open image...	Ouvrir l'image ...
Save processed image...	Enregistrer l'image générée ...
Reload image	Recharger l'image
Copy to clipboard	Copier dans le presse papier
Copy original size image	Copier l'image à la taille originale
Paste from clipboard	Coller à partir du presse-papiers
Batch rename/copy...	Batch renommer / copier ...
Show picture info (EXIF)	Afficher les infos photo (EXIF)
Show filename	Afficher le nom de fichier
Navigation	Navigation
Loop folder	Boucle dossier
Loop recursively	Boucle récursive
Loop siblings	Boucle frères et soeurs
Display order	Ordre d'affichage
Modification date	Date de modification
Creation date	Date de création
Play folder as slideshow/movie	Ecouter dossier sous forme de diaporama / video
Slideshow	Diaporama
Movie	Film
Waiting time	Temps d'attente
Stop slide show/movie	Arrêter le diaporama / video
Rotate +90	Rotation 90
Rotate -90	Rotation -90
Auto correction	Correction automatique
Local density correction	Correction de la densité locale
Keep parameters	Conserver les paramètres
Save parameters to INI...	Sauvegarder les paramètres dans le fichier INI ...
Save parameters to DB	Sauvegarder les paramètres dans le fichier paramètre DB
Clear parameters from DB	Supprimer les paramètres de la BD
Zoom	Zoom
Fit to screen	Ajuster à l'écran
Fill with crop	Remplir l'écran
Span all screens	Couvrent tous les écrans
Auto zoom mode	Auto mode zoom
Fit to screen (no zoom)	Ajuster à l'écran (pas de zoom)
Fill with crop (no zoom)	Remplir l'écran (pas de zoom)
Exit	Sortie
Cyan-Red	Cyan-Rouge
Magenta-Green	Magenta-Vert
Yellow-Blue	Jaune-Bleu
C - R	C - R
M - G	M - G
Y - B	Y - B
Batch rename/copy of files	Batch renommer / copie de fichiers
Image files in folder	Fichiers d'image dans le dossier
Placeholders:	Espaces réservés:
Number (consecutively numbered)	Nombre (numérotées)
Number with N digits	Nombre de chiffres N
Extracted number from original file name	Extrait du numero de nom de fichier original
Original file name (with extension)	Nom du fichier original (avec extension)
Original file name (without extension)	Nom du fichier original (sans extension)
Original file extension	Extension du fichier d'origine
'My Pictures' folder	'Mes images' dossier
Day / Month / Year (as numbers)	Jour / Mois / Année (en chiffres)
Year short form (2 digits)	Année forme courte (2 chiffres)
Month / Short form (text)	Mois / simplifié (texte)
Target folders that are not yet existing are created as needed.	Dossiers cibles qui ne sont pas encore en vigueur sont crées selon les besoins.
Date placeholders use the modification date of the image.	Les espaces réservés %d %m %y etc. utilisez la date de modification de l'image.
Rename/copy images to:	Renommer des images / copier à:
Rename	Renommer
Preview	Avant-première
Save as template	Enregistrer comme modèle
Close	Fermer
Old name	Ancien nom
Date	Date
New name (>> : file gets copied)	Nouveau nom (>>: le fichier est copié)
Select all	Sélectionner tout
Select none	Aucune sélection
The file '%s' could not be %s.	Le fichier '%s' n'a pas pu être %s.
copied	copié
renamed	renommé
Continue rename/copy?	Continuer renommer/copie?
Error during rename/copy	Erreur lors de renommage/copie
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d fichier(s) a été renomme(s),%d fichier(s) copié(s),%d dossier(s) créé(s)
Crop Selection	Rogner la sélection
Copy Selection to Clipboard	Copier la sélection vers le presse papier
Zoom to Selection	Zoom sur la sélection
Pasting image from clipboard failed!	Le collage de l'image du presse-papier a échoué!
Image width:	Largeur de l'image:
Image height:	Hauteur de l'image:
Acquisition date:	Date d'acquisition:
Camera model:	Modèle d'appareil photo:
Exposure time (s):	Temps de pose (s):
Exposure bias (EV):	Correction d'exposition (EV):
Flash fired:	Flash tire:
Focal length (mm):	Focale (mm):
F-Number:	F-Nombre:
ISO Speed:	Vitesse ISO:
Modification date:	Date de modification:
yes	oui
no	non
Show navigation panel	Afficher le panneau de navigation
Show/hide navigation panel	Afficher/cacher le panneau de navigation
About JPEGView...	A propos de JPEGView ...
SIMD mode used:	Mode SIMD utilisé:
Number of CPU cores used:	Nombre de coeurs de processeurs utilisés:
Licensed under the GNU general public license (GPL), see readme file for details:	Sous licence GNU licence publique générale (GPL), voir le fichier README pour plus de détails:
Project home page:	Page d'accueil du projet:
Show first image in folder	Voir la première image dans le dossier
Show previous image	Voir l'image précédente
Show next image	Voir l'image suivante
Show last image in folder	Voir la dernière image dans le dossier
Rotate image 90 deg clockwise	Faire pivoter l'image vers la droite 90 deg
Rotate image 90 deg counter-clockwise	Faire pivoter l'image de 90 deg sens anti-horaire
Landscape picture enhancement mode	Mode d'amélioration des images (LDC)
Display image (EXIF) information	Afficher les infos photo (EXIF)
Toggle between screens (only for multi-monitor systems)	Basculer entre les écrans des systemes (seulement pour les multi-écrans)
Enable/disable full screen mode	Activer/desactiver le mode plein écran
Full screen mode	Mode plein écran
Window mode	Mode fenêtre
Save as (in screen size/resolution)	Enregistrer sous (a la taille/résolution de l'écran)
Save processed image to JPEG file (screen size)	Enregistrer l'image modifiée en JPEG (taille de l'écran)
Settings/Admin	Configuration/Administration
Edit global settings...	Editer la configuration générale...
Edit user settings...	Editer la configuration utilisateur...
Backup parameter DB...	Sauvegarder paramètre BD
Restore parameter DB...	Restaurer paramètre BD
No user INI file exits yet. Create user INI file from INI file template?	Il n'existe encore aucun fichier INI utilisateur. Souhaitez-vous créer un fichier INI utilisateur depuis le fichier INI modele?
Copying parameter DB to file '%s' failed. Reason: %s	Copie du paramètre BD vers le ficher '%s' a échoué. Cause: %s
Select parameter DB to restore	Sélectionner paramètre BD à restaurer
Conflicting entries in Param DB	Conflit d'entrées dans Param BD
The imported param DB contains entries already present in active param DB.	Le param BD importe contient des entrées déjà présente dans le param BD.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Souhaitez-vous conserver les entrées existantes (Oui) ou les écraser par les entrées importées (Non)?
Select file to display in 'File Open' dialog	Sélectionnez le fichier à afficher dans la fenêtre "Ouvrir"
Crop Mode	Mode Rognage
Free	Libre
Fixed size...	Taille fixe...
Set Fixed Crop Size	Définir la taille fixe du rognage
Width	Largeur
Height	Hauteur 
Pixels	Pixels
Screen Pixels	Pixels Ecran
Image Pixels	Pixels Image
Set modification date	Définir la date de modification
to current date	à la date du jour
to EXIF date	à la date EXIF
Actual size of image	Taille effective de l'image
Mark image for toggling. Use Ctrl+Left/Ctrl+Right to toggle between marked and current image	Marquer l'image pour basculer. Utilisez Ctrl+Gauche/Ctrl+Droite pour basculer entre l'image marquée et la courante
Saturation	Saturation
Unsharp mask...	Renforcer la netteté...
Apply Unsharp Mask	Appliquer la netteté
Radius	Rayon
Amount	Quantité
Threshold	Seuil
Apply	Appliquer
Cancel	Annuler
Keep processing parameters between images	Conserver les paramètres lors du changement de l‘image
