// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translated by Carpegieri Torezan
Contrast	Contraste
Image files in folder	Arquivos de imagem na pasta
Placeholders:	Espaços reservados:
Number (consecutively numbered)	Número (consecutivamente enumerados)
Number with N digits	Número com N dígitos
Extracted number from original file name	Número extraído de nome de arquivo original
Original file name (with extension)	Nome original de arquivo (com extensão)
Original file name (without extension)	Nome original de arquivo (sen extensão)
Original file extension	Extensão de arquivo original
'My Pictures' folder	Pasta 'Minha imagens'
Day / Month / Year (as numbers)	Dia / Mês / Ano (numéricos)
Year short form (2 digits)	Ano em forma curta (2 dígitos)
Month / Short form (text)	Mês / forma curta (texto)
Target folders that are not yet existing are created as needed.	Pastas de destino que ainda não estão em vigor são criados conforme necessário.
Date placeholders use the modification date of the image.	Usar espaços reservados a data de modificação da imagem.
Rename/copy images to:	Renomear/copiar imagens para:
Rename	Renomear
Preview	Previsualizar
Save as template	Salvar como modelo
Close	Sair
Old name	Nome Antigo
Date	Data
New name (>> : file gets copied)	Novo nome (>> : do arquivo a ser copiado)
Select all	Selecionar tudo
Select none	Selecionar nada
The file '%s' could not be %s.	O arquivo '%s' não pode ser %s.
copied	copiado
renamed	renomeado
Continue rename/copy?	Continuar renomear/copia?
Error during rename/copy	Erro durante renomear/copia
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d arquivo(s) renomeado(s), %d arquivo(s) copiado(s), %d pasta(s) criar(s)
Crop Selection	Cortar seleção
Copy Selection to Clipboard	Copiar a seleção para Área de Transferência
Zoom to Selection	Zoom na Seleção
Pasting image from clipboard failed!	Colar imagem da área de transferência falhou!
Image width:	Largura da imagem:
Image height:	Altura da imagem:
Acquisition date:	Data de aquisição:
Camera model:	Modelo da câmera:
Exposure time (s):	O tempo de exposição (s):
Exposure bias (EV):	Compensação da exposição (EV):
Flash fired:	Flash disparado:
Focal length (mm):	Distância Focal (mm):
F-Number:	Número F:
ISO Speed:	Velocidade ISO:
Modification date:	Data de modificação:
yes	sim
no	não
Show navigation panel	Mostrar painel de navegação
Show/hide navigation panel	Mostrar/Ocultar painel de navegação
About JPEGView...	Sobre o JPEGView...
SIMD mode used:	SIMD modo usado:
Number of CPU cores used:	Número de núcleos da CPU usados:
Licensed under the GNU general public license (GPL), see readme file for details:	Licenciado sob a licença GNU General Public (GPL), consulte o arquivo leiame para obter detalhes:
Project home page:	Web Site do Projeto:
Show first image in folder	Mostrar primera imagem da pasta
Show previous image	Mostrar imagem anterior
Show next image	Mostrar imagem seguinte
Show last image in folder	Mostrar última imagem da pasta
Rotate image 90 deg clockwise	Roda a imagem 90 graus no sentido horário
Rotate image 90 deg counter-clockwise	Rodar imagem 90 graus sentido anti-horário
Landscape picture enhancement mode	Modo de paisagem de melhoramento de imagem
Display image (EXIF) information	Mostrar informações da imagem
Toggle between screens (only for multi-monitor systems)	Alternar entre as telas (somente para sistemas multi-monitor)
Enable/disable full screen mode	Habilitar/desabilitar o modo de tela cheia
Full screen mode	Modo de tela cheia
Window mode	Modo janela
Save as (in screen size/resolution)	Salvar como (no tamanho de tela / resolução)
Save processed image to JPEG file (screen size)	Salvar imagem procesada como arquivo JPEG(screen size)
Settings/Admin	Preferências/Administração
Edit global settings...	Editar configurações globais...
Edit user settings...	Editar configurações de usuário...
Backup parameter DB...	Backup parametros DB...
Restore parameter DB...	Restaurar parametros BD...
No user INI file exits yet. Create user INI file from INI file template?	Não existe nenhum arquivo INI de usuário. Criar arquivo INI do usuário a partir de modelo de arquivo INI?
Copying parameter DB to file '%s' failed. Reason: %s	Copiar arquivo DB de parametro '%s' falho. Razão: %s
Select parameter DB to restore	Selecione BD de parametros a restaurar
Conflicting entries in Param DB	Entradas conflitantes no BD de parametros
The imported param DB contains entries already present in active param DB.	O DB de parametros importados contém entradas já presentes no parametro DB ativo.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Entradas existentes devem ser preservadas (Sim) ou ser anulado pelos itens importados (não)?
Select file to display in 'File Open' dialog	Selecione um arquivo que aparece na janela de dialogo 'Abrir'
Crop Mode	Modo de recorte
Free	Grátis
Fixed size...	Tamanho fixo...
Set Fixed Crop Size	Establecer tamanho fixo de corte
Width	Largura
Height	Altura
Pixels	Pixels
Screen Pixels	Pixels de Tela
Image Pixels	Pixels da imagem
Set modification date	Definir a data de modificação
to current date	 a data atual
to EXIF date	até à data EXIF
Mark image for toggling. Use %s to toggle between marked and current image	Marcar imagem para alternância.
Saturation	Saturação
Unsharp mask...	Desfocar máscara
Apply Unsharp Mask	Aplicar máscara de desenfoque
Radius	Raio
Amount	Quantidade
Threshold	Limite
Apply	Aplicar
Cancel	Cancelar
Keep processing parameters between images	Manter parametros de processamento entre imagens
Show histogram	Mostrar histograma
Hide histogram	Esconder histograma
Crop Selection Lossless...	Cortar Seleção sem perdas...
Save cropped image	Salvar imagem recortada
Rotate image by user-defined angle	Rodar a imagem ângulo definido pelo usuário
Rotate Image	Rodar imagem
Show grid lines	Mostrar linhas de grade
Auto crop rotated image (avoids black border)	Apagar automaticamente bordas da imagem rodada (evita borda preta)
Align image to horizontal or vertical line	Alinha a imagem à linha horizontal ou vertical
Use the mouse to draw a line that shall be horizontal or vertical.	Use o mouse para desenhar uma linha que deve ser horizontal ou vertical.
Rotate the image by dragging with the mouse.	Girar a imagem arrastando com o mouse.
The operation failed because not enough memory is available!	A operação falhou porque não existe memória suficiente disponível!
to EXIF date (all files in folder)	a data de EXIF (todos os arquivos na pasta)
Number of JPEG files in folder: %d	Número de arquivos JPEG na pasta: %d
EXIF date successfully set on %d images, failed on %d images	Fecha EXIF establecida corretamente em %d imagens, falhou em %d imagens
Reason: Not enough memory available	Motivo: Não existe memória suficiente disponível
Transform image	Transformar imagem
Rotate...	Rodar...
Mirror horizontally	Espelhar horizontalmente
Mirror vertically	Espelhar verticalmente
Random	Aleatório 
Zoom mode (drag mouse to zoom)	Modo de ampliação (arraste o rato para ampliar)
Correct converging lines (perspective correction)	Corrigir linhas de convergência (correção de perspetiva)
Perspective Correction	Correção de perspetiva
Perspective correction...	Correção de perspetiva... 
Auto crop corrected image (avoids black border)	Recortar automaticamente a imagem corrigida (evitar contornos a negro)
Click and drag the mouse vertically to correct image tilt.	Clique e arraste o rato na vertical para corrigir a inclinação
Drag at the left or right border for asymmetric correction.	Clique no contono esquerdo ou direito para corrigir a simetria
Fit window to image	Ajustar janela à imagem
Keep aspect ratio on crop	Manter tamanho ao recortar
Lossless JPEG transformations	Conversão JPEG sem perda de qualidade
Performing the lossless transformation failed!	Falha ao realizar a transformação sem perdas!
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Largura e altura da imagem devem ser divisíveis pelo tamanho do bloco JPEG (8 ou 16) para transformações sem perdas!
Reading the JPEG file from disk failed	Falha ao ler o arquivo JPEG no disco
Writing the resulting JPEG file to disk failed	Falha ao escrever o novo arquivo JPEG no disco
Performing the transformation failed	Falha ao realizar a transformação
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	A transformação pode ser aplicada se a imagem é cortada para o tamanho de correspondência seguinte, mas isso irá remover alguns pixels da borda.
Trim the image and apply transformation? Trimming cannot be undone!	Recortar a imagem e aplicar a transformação? Operação não poderá ser desfeita!
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	Nota: Defina 'TrimWithoutPromptLosslessJPEG = true' a chave no arquivo INI para sempre aparar sem mostrar esta mensagem.
Transition Effect	Efeito de transição
None	Nenhum
Blend	Sobreposição
Slide from right	Deslizar da direita
Slide from left	Deslizar da esquerda
Slide from top	Deslizar de cima
Slide from bottom	Deslizar de baixo
Roll from right	Enrolar da direita
Roll from left	Enrolar da esquerda
Roll from top	Enrolar de cima
Roll from bottom	Enrolar de baixo
Scroll from right	Deslocar da direita
Scroll from left	Deslocar da esquerda
Scroll from top	Deslocar de cima
Scroll from bottom	Deslocar de baixo
Transition Speed	Velocidade da transição
Very fast	Muito rápida
Fast	Rápida
Normal	Normal
Slow	Lenta
Very slow	Muito lenta
Error	Erro
Warning	Aviso
Error while writing the following registry key:	Ocorreu um erro ao escrever a chave de registo:
Set as default viewer...	Definir como visualizador padrão...
Set JPEGView as default image viewer	Definir o JPEGView como visualizador padrão
JPEGView is registered as default viewer for the selected file formats.	O JPEGView é o visualizador padrão para os formatos de ficheiro selecionados.
Registration applies to the current user only.	Esta associação só é aplicável ao utilizador atual.
Extension	Extensão
File type	Tipo de ficheiro
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Não foi possível remover a associação das seguintes extensões de ficheiros porque a associação foi registada na área de registo da máquina local.
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	A associação ou cancelamente de associação nesta área do registo requer privilégios de administrador e não pode ser efetuada no JPEGView.
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	Prima Aceitar para continuar ou Cancelar para não efetuar as alterações.
Unregistering not possible	Não foi possível remover a associação
%s images	%s imagens
%s images (processed by Window Imaging Component - WIC)	%s imagens (processadas pelo componente Windows Imaging - WIC)
%s camera raw images (embedded JPEGs only)	%s imagens da máquina fotográfica
The following image extensions are protected by the operating system.	Estes tipos de ficheiro estão protegidos pelo sistema operativo.
JPEGView can try to remove the restrictions automatically.	O JPEGView pode tentar remover as restrições automaticamente.
However this will fail if the current user has no administration privileges.	No entanto, se o utilizador não possuir privilégios de administrador a operação não é possível.
Insufficient rights to remove the restrictions. Continue?	Não possui privilégios para remover as restrições. Continuar?
Actual size of image	Tamanho real da imagem
No image loaded!	Nenhuma imagem carregada!
Right mouse button: Context menu	Botão direito do rato: menu de contexto
