// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	대비
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	기존 항목을 유지하겠습니까 (예)? 아니면 불러온 항목으로 덮어쓰겠습니까 (아니오)?
Select file to display in 'File Open' dialog	'파일 열기' 대화상자에서 표시하기 위한 파일 선택
Crop Mode	자르기 모드
Free	자유
Fixed size...	고정된 크기...
Set Fixed Crop Size	고정된 자르기 크기 설정
Width	너비
Height	높이
Pixels	픽셀
Screen Pixels	화면 픽셀
Image Pixels	이미지 픽셀
Set modification date	수정한 날짜 변경
to current date	현재 날짜로
to EXIF date	EXIF 날짜로
Mark image for toggling. Use %s to toggle between marked and current image	바꿀 이미지 선택. 현재 이미지와 선택한 이미지를 바꾸려면 %s 을 사용


