// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Kontrast
PgUp or Left	PgUp oder Pfeil links
PgDn or Right	PgDn oder Pfeil rechts
Goto first/last image of current folder (using sort order as defined)	Gehe zum ersten/letzten Bild im aktuellen Ordner (gemäss definierter Sortierreihenfolge)
Increase/decrease brightness	Helligkeit erhöhen/verringern
Increase/decrease contrast	Kontrast erhöhen/verringern
Increase/decrease sharpness	Schärfe erhöhen/verringern
Increase/decrease auto color cast correction amount	Farbkorrekturstärke erhöhen/verringern
Increase/decrease auto contrast correction amount	Kontrastkorrekturstärke erhöhen/verringern
Enable/disable landscape picture enhancement mode	Modus zur Optimierung von Landschaftsaufnahmen einschalten/ausschalten
Slide show with timeout of n seconds (ESC to stop)	Diaschau mit Intervall von n Sekunden (ESC Taste stoppt Diaschau)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Intervall auf n/10 Sekunden, bzw. n/100 Sekunden (Ctrl+Shift) verkürzen
Rotate image and fit to screen	Bild rotieren und an Bildschirm anpassen
Fit image to screen	Bildgrösse an Bildschirm anpassen
Zoom 1:1 (100 %)	Zoom 1:1 (100 %)
Zoom in/Zoom out (also Ctrl+up/down)	Bild vergössern/verkleinern (auch mit Ctrl+Pfeil nach oben/unten)
Zoom in/out image	Bild vergössern/verkleinern (Zoom)
Pan image	Bildausschnitt verschieben (Pan)
Crop image	Bildausschnitt freistellen (Crop)
Next image	Nächstes Bild anzeigen
Previous image	Voriges Bild anzeigen
up/down	Pfeil oben/unten
Mouse wheel	Mausrad
Left mouse & drag	L Maustaste & ziehen
Ctrl + L mouse	Ctrl + L Maustaste
Fwd mouse button	Vorwärts Maustaste
Back mouse button	Zurück Maustaste
Delete current file on disk permanently	Aktuelle Bilddatei permanent löschen
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Aktuelle Bilddatei verlustfrei um 90 Grad rotieren (B/H muss durch 16 teilbar sein)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Aktuelle Bilddatei verlustfrei um 270 Grad rotieren (B/H muss durch 16 teilbar sein)
The file is read-only!	Die Datei ist schreibgeschützt!
Can't rename file	Datei kann nicht umbenannt werden
New name contains backslash character!	Der neue Dateiname darf kein Backslashzeichen (\) enthalten!
Renaming file failed!	Datei umbenennen fehlgeschlagen!
Reason: 	Ursache: 
on	ein
off	aus
Do you really want to save the following parameters as default to the INI file	Sollen diese Parameter wirklich als Standardparameter in der INI Datei gespeichert werden
Auto contrast and color correction: 	Automatische Kontrast- und Farbkorrektur: 
Local density correction: 	Lokale Helligkeitskorrektur: 
Order files by: 	Dateien sortieren nach: 
Creation date/time	Erstellungsdatum
Last modification date/time	Änderungsdatum
File name	Dateiname
These values will override the values from the INI file located in the program folder of JPEGView!	Diese Werte überschreiben die Werte aus der INI Datei im Programmordner von JPEGView!
Confirm save default parameters	Standardparameter wirklich speichern?
Images	Bilddateien
All Files	Alle Dateien
Parameter DB file '%s' could not be opened!	Parameter DB Datei '%s' kann nicht geöffnet werden!
Parameter DB file '%s' is not valid (invalid header)!	Parameter DB Datei '%s' ist ungültig (ungültiger Header)!
Cannot write to parameter DB file '%s'!	In die Parameter DB Datei '%s' kann nicht geschrieben werden!
Cannot read from parameter DB file '%s'!	Von der Parameter DB Datei '%s' kann nicht gelesen werden!
Cannot read parameter DB file '%s' because it is too large!	Die Parameter DB Datei '%s' kann nicht gelesen werden weil sie zu gross ist!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Die Parameter DB Datei '%s' wurde von einer neueren Version von JPEGView erzeugt!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Die alte Parameter DB Datei '%s' konnte während der Konvertierung ins neue Format nicht umbenannt werden!
Parameter DB error	Parameter DB Fehler
Error saving file	Fehler beim Speichern
Error writing file to disk!	Die Datei kann nicht geschrieben werden!
Confirm	Bestätigung
Do you really want to permanently delete the file %filename%?	Soll die Datei %filename% wirklich permanent gelöscht werden?
Rotate the following file lossless by 90 deg?\n%filename%	Folgende Datei verlustfrei um 90 Grad rotieren?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Folgende Datei verlustfrei um 270 Grad rotieren?\n%filename%
Open image...	Bilddatei öffnen...
Save processed image...	Bearbeitetes Bild speichern...
Reload image	Bild neu laden
Copy to clipboard	In Zwischenablage kopieren
Copy original size image	Bild in Originalgrösse kopieren
Paste from clipboard	Aus Zwischenablage einfügen
Batch rename/copy...	Bildserie umbenennen/kopieren...
Show picture info (EXIF)	Bild-Info (EXIF) anzeigen
Show filename	Dateiname anzeigen
Navigation	Navigation
Loop folder	Ordner anzeigen
Loop recursively	Ordner mit Unterordnern anzeigen
Loop siblings	Ordner gleicher Tiefe anzeigen
Display order	Bilder anzeigen sortiert nach
Modification date	Änderungsdatum
Creation date	Erstellungsdatum
Play folder as slideshow/movie	Ordner als Diaschau/Film abspielen
Slideshow	Diaschau
Movie	Film
Waiting time	Wartezeit
Stop slide show/movie	Diaschau/Film stoppen
Rotate +90	Rotieren +90
Rotate -90	Rotieren -90
Auto correction	Auto-Korrektur
Local density correction	Lokale Helligkeitskorrektur
Keep parameters	Parameter beibehalten
Save parameters to INI...	Parameter in INI Datei speichern...
Save parameters to DB	In Parameter DB speichern
Clear parameters from DB	Aus Parameter DB löschen
Zoom	Zoom
Fit to screen	Bildschirmgrösse
Fill with crop	Bildschirmgrösse (randlos)
Span all screens	Alle Bildschirme
Auto zoom mode	Auto-zoom Modus
Fit to screen (no zoom)	Bildschirmgrösse (nie zoomen)
Fill with crop (no zoom)	Bildschirmgrösse (randlos, nie zoomen)
Exit	Beenden
Cyan-Red	Cyan-Rot
Magenta-Green	Magenta-Grün
Yellow-Blue	Gelb-Blau
C - R	C - R
M - G	M - G
Y - B	Y - B
Batch rename/copy of files	Bildserie umbenennen/kopieren
Image files in folder	Bilddateien im Ordner
Placeholders:	Platzhalter:
Number (consecutively numbered)	Zahl (fortlaufend nummeriert)
Number with N digits	Zahl mit N Stellen
Extracted number from original file name	Zahl aus Originaldateiname
Original file name (with extension)	Originaldateiname (mit Erweiterung)
Original file name (without extension)	Originaldateiname (ohne Erweiterung)
Original file extension	Originaldateierweiterung
'My Pictures' folder	Ordner 'Eigene Bilder'
Day / Month / Year (as numbers)	Tag / Monat / Jahr (als Zahl)
Year short form (2 digits)	Jahr Kurzform (2 Ziffern)
Month / Short form (text)	Monat / Kurzform (Text)
Target folders that are not yet existing are created as needed.	Zielordner werden erstellt falls sie noch nicht existieren.
Date placeholders use the modification date of the image.	Datumsplatzhalter verwenden das Änderungsdatum der Bilder.
Rename/copy images to:	Bilder umbenennen/kopieren nach:
Rename	Umbenennen
Preview	Vorschau
Save as template	Als Vorlage speichern
Close	Schliessen
Old name	Alter Name
Date	Datum
New name (>> : file gets copied)	Neuer Name (>> : Datei wird kopiert)
Select all	Alle auswählen
Select none	Auswahl löschen
The file '%s' could not be %s.	Die Datei '%s' konnte nicht %s werden.
copied	kopiert
renamed	umbenannt
Continue rename/copy?	Umbenennen/Kopieren fortsetzen?
Error during rename/copy	Fehler beim Umbenennen/Kopieren
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d Datei(en) umbenannt, %d Datei(en) kopiert, %d Ordner erstellt
Crop Selection	Selektion freistellen
Copy Selection to Clipboard	Selektion in Zwischenablage kopieren
Zoom to Selection	Auf Selektion einzoomen
Pasting image from clipboard failed!	Bild aus Zwischenablage kann nicht eingefügt werden!
Image width:	Bildbreite:
Image height:	Bildhöhe:
Acquisition date:	Aufnahmedatum:
Camera model:	Kameramodell:
Exposure time (s):	Belichtungszeit (s):
Exposure bias (EV):	Belichtungskorrektur (EV):
Flash fired:	Blitz:
Focal length (mm):	Brennweite (mm):
F-Number:	F-Nummer:
ISO Speed:	ISO-Wert:
Modification date:	Änderungsdatum:
yes	ja
no	nein
Show navigation panel	Navigationsleiste anzeigen
Show/hide navigation panel	Naviationsleiste anzeigen/nicht anzeigen
About JPEGView...	Über JPEGView...
SIMD mode used:	Verwendeter SIMD Modus:
Number of CPU cores used:	Verwendete CPU Kerne:
Licensed under the GNU general public license (GPL), see readme file for details:	Lizenz: GNU General Public License (GPL), für weitere Informationen siehe:
Project home page:	Projekt Home Page:
Show first image in folder	Erstes Bild im Ordner anzeigen
Show previous image	Vorheriges Bild anzeigen
Show next image	Nächstes Bild anzeigen
Show last image in folder	Letztes Bild im Ordner anzeigen
Rotate image 90 deg clockwise	Bild im Uhrzeigersinn drehen
Rotate image 90 deg counter-clockwise	Bild gegen den Uhrzeigersinn drehen
Landscape picture enhancement mode	Modus für Landschaftsbilder
Display image (EXIF) information	Bildinfo (EXIF) anzeigen
Actual size of image	Tatsächliche Bildgrösse
Toggle between screens (only for multi-monitor systems)	Umschalten zwischen Bildschirmen
Enable/disable full screen mode	Vollbildmodus einschalten/ausschalten
Full screen mode	Vollbildmodus
Window mode	Fenstermodus
Save as (in screen size/resolution)	Speichern unter (in Bildschirmgrösse und Auflösung)
Save processed image to JPEG file (screen size)	Bearbeitetes Bild als JPEG Datei speichern (Bildschirmgrösse)
Settings/Admin	Einstellungen/Administration
Edit global settings...	Globale Einstellungen editieren...
Edit user settings...	Benutzereinstellungen editieren...
Backup parameter DB...	Parameter DB sichern...
Restore parameter DB...	Parameter DB wiederherstellen...
No user INI file exits yet. Create user INI file from INI file template?	Es existiert noch keine INI-Datei für den Benutzer. INI-Datei aus Vorlage erstellen?
Copying parameter DB to file '%s' failed. Reason: %s	Kopieren der Parameter DB in die Datei %s fehlgeschlagen! Grund: %s
Select parameter DB to restore	Parameter DB für Wiederherstellung auswählen
Conflicting entries in Param DB	Konflikt beim Importieren in Param DB
The imported param DB contains entries already present in active param DB.	Die importierte Param DB enthält Einträge, welche bereits in der aktuellen DB enthalten sind.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Sollen existierende Einträge erhalten werden (Ja) oder sollen sie von den importierten Einträgen überschrieben werden (Nein)?
Select file to display in 'File Open' dialog	Bilddatei auswählen im "Datei öffnen" Dialog
Crop Mode	Freistellen Modus
Free	Frei
Fixed size...	Feste Grösse...
Set Fixed Crop Size	Feste Grösse für Freistellen setzen
Width	Breite
Height	Höhe
Pixels	Pixel
Screen Pixels	Bildschirm-Pixel
Image Pixels	Originalbild-Pixel
