//Translation Info
//Language=Swedish
//TranslatorName=Åke Engelbrektson
//Contact=eson57@gmail.com
//TranslatorURL=http://svenskasprakfiler.tejpad.se
//LastUpdated=Jan 23, 2011
//
Contrast	Kontrast
Save processed image to JPEG file (screen size)	Spara bearbetad bild i JPEG-format (skärmstorlek)
Settings/Admin	Inställningar/Administration
Edit global settings...	Redigera globala inställningar...
Edit user settings...	Redigera användarinställningar...
Backup parameter DB...	Säkerhetskopiera databas...
Restore parameter DB...	Återställ databas...
No user INI file exits yet. Create user INI file from INI file template?	Det finns ännu ingen INI-fil för användarinställningar. Vill du skapa en med hjälp av standardmallen?
Copying parameter DB to file '%s' failed. Reason: %s	Kopiering av databas till '%s' misslyckades. Orsak: %s
Select parameter DB to restore	Välj databas att återställa
Conflicting entries in Param DB	Databasposter i konflikt
The imported param DB contains entries already present in active param DB.	Den importerade databasen innehåller poster som redan finns i aktiv databas.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Skall dom nuvarande posterna bevaras (Ja) eller skrivas över av importerade poster (Nej)?
Select file to display in 'File Open' dialog	Välj fil att visa med 'Öppna fil'
Crop Mode	Beskärningsalternativ
Free	Flexibel storlek
Fixed size...	Fixerad storlek...
Set Fixed Crop Size	Bestäm fixerad beskärningsstorlek
Width	Bredd
Height	Höjd
Pixels	Pixel
Screen Pixels	Skärm-pixel
Image Pixels	Bildpunkter
Set modification date	Bestäm 'Senast ändrad'
to current date	till aktuellt datum
to EXIF date	till EXIF-datum
Mark image for toggling. Use Ctrl+Left/Ctrl+Right to toggle between marked and current image	Markera bild för växling. Använd Ctrl+Vänster/Ctrl+Höger för att växla mellan markerad och aktuell bild
Saturation	Mättnad
Unsharp mask...	Oskärpa...
Apply Unsharp Mask	Justera oskärpa
Radius	Radie
Amount	Mängd
Threshold	Tröskelvärde
Apply	Verkställ
Cancel	Avbryt
Keep processing parameters between images	Behåll berbetningsparametrar mellan bilder
Show histogram	Visa Histogram
Hide histogram	Dölj Histogram
Show picture info (EXIF)	Visa bildinformation (EXIF)
