// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Zuribeltztasuna
Number (consecutively numbered)	Zenbakia (jarraian zenbakituta)
Number with N digits	N digitodun zenbakia
Extracted number from original file name	Jatorrizko agiritik ateratako zenbakia
Original file name (with extension)	Jatorrizko agiri izena (hedapenarekin)
Original file name (without extension)	Jatorrizko agiri izena (hedapengabe)
Original file extension	Jatorrizko agiriaren hedapena
'My Pictures' folder	'Nire Argazkiak' agiritegia
Day / Month / Year (as numbers)	Eguna / Hilabetea / Urtea (zenbakietan)
Year short form (2 digits)	Urtea laburtuta (2 digito)
Month / Short form (text)	Hilabetea / Laburtuta (idazkia)
Target folders that are not yet existing are created as needed.	Oraindik ez dauden xede agiritegiak sortu egingo dira beharrezkoa bada.
Date placeholders use the modification date of the image.	Egun ordezte-ezarpenak irudiaren eguna erabiltzen du.
Rename/copy images to:	Berrizendatu/Kopiatu irudiak hona:
Rename	Berrizendatu
Preview	Aurreikuspena
Save as template	Gorde eredu bezala
Close	Itxi
Old name	Izen zaharra
Date	Eguna
New name (>> : file gets copied)	Izen berria (>> : agiria kopiatzen da)
Select all	Hautatu denak
Select none	Ez hautatu ezer
The file '%s' could not be %s.	'%s' agiria ezin da %s izan.
copied	kopiatuta
renamed	Berrizendatuta
Continue rename/copy?	Jarraitu berrizendatu/kopiatu?
Error during rename/copy	Akatsa berrizendatze/kopiatzerakoan
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d agiri berrizendatuta, %d agiri kopiatuta, %d agiritegi sortuta
Crop Selection	Moztu Hautapena
Copy Selection to Clipboard	Kopiatu Hautapena Gakora
Zoom to Selection	Zooma Hautapenean
Pasting image from clipboard failed!	Hutsegitea irudia gakotik itsasterakoan!
Image width:	Irudiaren zabalera:
Image height:	Irudiaren garaiera:
Acquisition date:	Erosketa eguna:
Camera model:	Kamera eredua:
Exposure time (s):	Jarpen denbora (s):
Exposure bias (EV):	Bias jarpena (EV):
Flash fired:	Flash eragiketa:
Focal length (mm):	Foku luzera (mm):
F-Number:	F-Zenbakia:
ISO Speed:	ISO Abiadura:
Modification date:	Aldaketa eguna:
yes	bai
no	ez
Show navigation panel	Erakutsi nabigazio panela
Show/hide navigation panel	Erakutsi/Ezkutatu nabigazio panela
About JPEGView...	JPEGIkusgailuari buruz...
SIMD mode used:	Erabilitako SIMD modua:
Number of CPU cores used:	Erabilitako CPU nukleo zenbatekoa:
Licensed under the GNU general public license (GPL), see readme file for details:	GNU Baimen Publiko Orokorrarenpean (GPL) baimenduta, ikusi 'irakurri' agiria xehetasun gehiagorako:
Project home page:	Egitasmoaren webgunea:
Show first image in folder	Erakutsi agiritegiko lehenengo irudia
Show previous image	Erakutsi aurreko irudia
Show next image	Erakutsi hurrengo irudia
Show last image in folder	Erakutsi agiritegiko azken irudia
Rotate image 90 deg clockwise	Itzulikatu irudia 90 gradu ordulari orrantzen norabidean
Rotate image 90 deg counter-clockwise	Itzulikatu irudia 90 gradu ordulari orrantzen aurkako norabidean
Landscape picture enhancement mode	Landargazki irudi hobekuntza modua
Display image (EXIF) information	Erakutsi irudiaren (EXIF) argibideak
Toggle between screens (only for multi-monitor systems)	Aldatu ikusleiho artean (monitore-antziko sistematan bakarrik)
Enable/disable full screen mode	Gaitu/Ezgaitu ikusleiho-osoko modua
Full screen mode	Ikusleiho-osoko modua
Window mode	Leiho modua
Save as (in screen size/resolution)	Gorde honela (ikusleiho neurri/bereizmenarekin)
Save processed image to JPEG file (screen size)	Gorde prozesatutako irudia JPEG agirian (ikusleiho neurria)
Settings/Admin	Ezarpenak/Administrazioa
Edit global settings...	Editatu ezarpen orokorrak...
Edit user settings...	Editatu erabiltzaile ezarpenak...
Backup parameter DB...	Babeskopiatu DB paremetroak...
Restore parameter DB...	Leheneratu DB paremetroak...
No user INI file exits yet. Create user INI file from INI file template?	Oraindik ez dago erabiltzaile INI agiririk. Sortu erabiltzaile INI agiria INI agiri eredutik?
Copying parameter DB to file '%s' failed. Reason: %s	Hutsegitea DB paremetroak '%s' agirira kopiatzerakoan. Zergaitia: %s
Select parameter DB to restore	Hautatu leheneratzeko DB parametroak
Conflicting entries in Param DB	Sarrera gatazka Parametro DB-an
The imported param DB contains entries already present in active param DB.	Inportatutako parametro DB-ak jadanik parametro DB-an badauden sarrerak ditu.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Dauden sarrerei heutsi behar zaie (Bai) edo ezeztatu inportatutako sarrerekin (Ez)?
Select file to display in 'File Open' dialog	Hautatu 'Ireki Agiria' elkarrizketan erakusteko agiria
Crop Mode	Mozketa Modua
Free	Askea
Fixed size...	Zuzendutako neurria...
Set Fixed Crop Size	Ezarri Zuzendutako Mozketa Neurria
Width	Zabalera
Height	Garaiera
Pixels	Pixel
Screen Pixels	Ikusleiho Pixel
Image Pixels	Irudi Pixel
Set modification date	Ezarri aldaketa eguna
to current date	Gaurko egunean
to EXIF date	EXIF egunean
Mark image for toggling. Use %s to toggle between marked and current image	Markatu irudia aldaketarako. Erabili %s markatutako eta uneko irudiaren artean aldatzeko
Saturation	Margoasetasuna
Unsharp mask...	Lausotze Mozorroa
Apply Unsharp Mask	Ezarri Lausotze Mozorroa
Radius	Zilerdia
Amount	Kopurua
Threshold	Muga
Apply	Ezarri
Cancel	Ezeztatu
Keep processing parameters between images	Heutsi prozesapen parametroei irudi artean
Show histogram	Erakutsi histograma
Hide histogram	Ezkutatu histograma
Crop Selection Lossless...	Moztu Hautapena Galeragabe...
Save cropped image	Gorde moztutako irudia
Rotate image by user-defined angle	Itzulikatu irudia erabiltzaileak-zehaztutako angeluan
Rotate Image	Itzulikatu irudia
Show grid lines	Erakutsi saretxo lerroak
Auto crop rotated image (avoids black border)	Berez moztu itzulkatutako irudia (hertz beltzak saihesten ditu)
Align image to horizontal or vertical line	Lerrokatu irudia etzaneko edo zutikako lerro batera
Use the mouse to draw a line that shall be horizontal or vertical.	Erabili sagua etzan edo zutia izango den lerro bat marrazteko.
Rotate the image by dragging with the mouse.	Itzulikatu irudia saguarekin arrastatuz.
The operation failed because not enough memory is available!	Eragiketak huts egin du ez dagoelako nahikoa oroimen eskuragarri!
to EXIF date (all files in folder)	EXIF egunera (agiritegiko agiri denak)
Number of JPEG files in folder: %d	Agiritegiko JPEG agiri zenbatekoa: %d
EXIF date successfully set on %d images, failed on %d images	EXIF eguna ongi ezarri da %d iruditan, hutsegitea %d iruditan
Reason: Not enough memory available	Zergaitia: Ez dago nahikoa oroimen eskuragarri
Transform image	Eraldatu irudia
Rotate...	Itzulikatu...
Mirror horizontally	Etzaneko ispilua
Mirror vertically	Zutikako ispilua
Random	Zorizkoa
Zoom mode (drag mouse to zoom)	Zoom modua (arrastatu sagua zooma egiteko)
Correct converging lines (perspective correction)	Zuzendu lerro baterakorrak (ikuspegi zuzenketa)
Perspective Correction	Ikuspegi Zuzenketa
Perspective correction...	Ikuspegi zuzenketa...
Auto crop corrected image (avoids black border)	Berez moztu zuzendutako irudia (hertz beltzak saihesten ditu)
Click and drag the mouse vertically to correct image tilt.	Klikatu eta arrastatu sagua zutika irudi okertua zuzentzeko.
Drag at the left or right border for asymmetric correction.	Arrastatu ezker edo eskuin hertzera zuzenketa asimetrikorako
Fit window to image	Finkatu leihoa irudiari
Keep aspect ratio on crop	Heutsi ikuspegi mailari mozterakoan
Lossless JPEG transformations	Galeragabeko JPEG eraldaketak
Performing the lossless transformation failed!	Hutsegitea galeragabeko eraldaketa egiterakoan!
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Irudiaren zabalera eta garaiera JPEG bloke neurriagaitik (8 edo 16) zatikagarria izan behar da galeragabeko eraldaketetarako!
Reading the JPEG file from disk failed	Hutsegitea JPEG agiria diskatik irekurtzerakoan
Writing the resulting JPEG file to disk failed	Hutsegitea emaitz JPEG agiria diskara idazterakoan
Performing the transformation failed	Hutsegitea eraldaketa egiterakoan
Lossless JPEG transformations	Galeragabeko JPEG eraldaketak 
Performing the lossless transformation failed!	Galeragabeko eraldaketa egintza hutsegitea!
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Irudiaren zabalera eta garaiera JPEG bloke neurriarekiko (8 edo 16) zatigarria izan behar da galeragabeko eraldaketentzat!
Reading the JPEG file from disk failed	Hutsegitea JPEG agiria diskatik irakurtzerakoan
Writing the resulting JPEG file to disk failed	Hutsegitea emaitz JPEG agiria diskan idazterakoan
Performing the transformation failed	Hutsegitea eraldaketa egiterakoan
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	Eraldaketa ezarri daiteke irudia bat datorren hurrengo neurrira mozten bada baina honek hertzeko zenbait pixel kenduko ditu.
Trim the image and apply transformation? Trimming cannot be undone!	Moztu irudia eta ezarri eraldaketa? Mozketa ezin da desegin!
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	Oharra: Ezarri 'TrimWithoutPromptLosslessJPEG=true' INI agirian betik mozteko mezu hau erakutsi gabe.
Transition Effect	Aldaketa Eragina
None	Ezer ez
Blend	Nahasketa
Slide from right	Aurkeztu eskuinetik
Slide from left	Aurkeztu ezkerretik
Slide from top	Aurkeztu goitik
Slide from bottom	Aurkeztu behetik
Roll from right	Gurpildu eskuinetik
Roll from left	Gurpildu ezkerretik
Roll from top	Gurpildu goitik
Roll from bottom	Gurpildu behetik
Scroll from right	Irristatu eskuinetik
Scroll from left	Irristatu ezkerretik
Scroll from top	Irristatu goitik
Scroll from bottom	Irristatu behetik
Transition Speed	Aldaketa Abiadura
Very fast	Oso azkar
Fast	Azkara
Normal	Arrunt
Slow	Astiro
Very slow	Oso astiro
Error	Akatsa
Warning	Kontuz
Error while writing the following registry key:	Akatsa hurrengo erregistro giltza idazterakoan:
Set as default viewer...	Ezarri berezko ikusgailu bezala...
Set JPEGView as default image viewer	Ezarri JPEGIkusgailua berezko irudi ikusgailu bezala
JPEGView is registered as default viewer for the selected file formats.	JPEGIkusgailua berezko ikusgailu bezala erregistratu da hautaturiko agiri heuskarrientzat.
Registration applies to the current user only.	Erregistroa oraingo erabiltzaileari bakarrik ezartzen zaio
Extension	Hedapena
File type	Agiri mota	
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Hurrengo agiri hedapenak ezin dira deserregistratu 'tokiko makina' erregistro eremuan erregistraturik daudelako.
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	Eremu honetan agiri hedapenak erregistratzea eta deserregistratzeak administratzaile eskubideak behar ditu eta ezin da JPEGIkusgailuan egin.
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	Sakatu 'Ongi' erregistratzearekin jarraitzeko edo 'Ezeztatu' erregistrorik ez aldatzeko.
Unregistering not possible	Deserregistratzea ezinezkoa da
%s images	%s irudiak
%s images (processed by Window Imaging Component - WIC)	%s irudi (Window Imaging Component - WIC-rekin prozesatuta)	
%s camera raw images (embedded JPEGs only)	%s kamera raw irudiak (barneratutako JPEG-ak  bakarrik)
The following image extensions are protected by the operating system.	Hurrengo irudi hedapenak sistema eragileak babesturik daude.
JPEGView can try to remove the restrictions automatically.	JPEGIkusgailua saiatu daiteke murrizpenak berezgaitasunez kentzen.
However this will fail if the current user has no administration privileges.	Horrela ere honek huts egingo du oraingo erabiltzaileak ez baditu administratzaile pribilegioak.
Insufficient rights to remove the restrictions. Continue?	Ez duzu nahikoa eskubide murrizpenak kentzeko. Jarraitu?
