// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Contrasto
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Salva (%s)/ cancella (%s) i parametri di modifica dell'immagine in/da parametri del DB
Sort images by creation date, resp. modification date, resp. file name	Elenca le immagini per data di creazione, data di modifica, nome del file
Goto previous image	Vai all'immagine precedente
Goto next image	Vai all'immagine successiva
PgUp or Left	PagSu o Sinistra
PgDn or Right	PagGiù o Destra
Goto first/last image of current folder (using sort order as defined)	Vai alla prima/all'ultima immagine della cartella attuale (usando l'ordinamento definito)
Increase/decrease brightness	Aumenta/diminuisce la luminosità
Increase/decrease contrast	Aumenta/diminuisce il contrasto
Increase/decrease sharpness	Aumenta/diminuisce la nitidezza
Increase/decrease auto color cast correction amount	Aumenta/diminuisce l’intervallo della correzione automatica della gamma colori
Increase/decrease auto contrast correction amount	Aumenta/diminuisce l’intervallo della correzione automatica del contrasto
Enable/disable landscape picture enhancement mode	Abilita/disabilita la modalità di miglioramento del paesaggio
Slide show with timeout of n seconds (ESC to stop)	Presentazione con un intervallo di n secondi (ESC per fermare)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Imposta l'intervallo a n/10 sec, rispettivamente a n/100 sec (Ctrl+Maiusc)
Rotate image and fit to screen	Ruota l'immagine e adatta allo schermo
Fit image to screen	Adatta allo schermo
Zoom 1:1 (100 %)	Zoom 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Ingrandire (%s)/ridurre (%s)
Zoom in/out image	Ingrandire/ridurre l’immagine
Pan image	Riquadra l’immagine (Pan)
Crop image	Ritaglia l’immagine
Next image	Immagine successiva
Previous image	Immagine precedente
up/down	su/giu
Mouse wheel	Rotellina del mouse
Left mouse & drag	Tasto sinistro mouse e trascina
Ctrl + Left mouse	Ctrl + Tasto sinistro del mouse
Forward mouse button	Tasto avanti del mouse
Back mouse button	Tasto indietro del mouse
Delete current file on disk permanently	Cancella definitivamente dal disco il file attuale 
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Ruota immagine attuale su disco senza perdita di qualità di 90 gradi (larghezza/altezza deve essere multiplo di 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Ruota immagine attuale su disco senza perdita di qualità di 270 gradi (larghezza/altezza deve essere multiplo di 16)
The file is read-only!	Il file è in sola lettura!
Can't rename file	Non è possibile rinominare il file
New name contains backslash character!	Il nuovo nome contiene il carattere barra inversa (\)!
Renaming file failed!	Rinomina del file fallita!
Reason: 	Motivo: 
on	on
off	off
Do you really want to save the following parameters as default to the INI file	Vuoi davvero salvare i seguenti parametri come default nel file INI
Auto contrast and color correction: 	Correzione automatica del contrasto e del colore:
Local density correction: 	Correzione della densità locale: 
Order files by: 	Ordina i file per: 
Creation date/time	Data/ora di creazione
Last modification date/time	Data/ora dell’ultima modifica
File name	Nome file
These values will override the values from the INI file located in the program folder of JPEGView!	Questi valori sovrascriveranno i valori del file INI nella cartella di JPEGView!
Confirm save default parameters	Comferma salvataggio parametri predefiniti
Images	Immagini
All Files	Tutti i file
Parameter DB file '%s' could not be opened!	Il file dei parametri del DB '%s' non può essere aperto!
Parameter DB file '%s' is not valid (invalid header)!	Il file dei parametri del DB '%s' non è valido (intestazione non valida)!
Cannot write to parameter DB file '%s'!	Impossibile scrivere nel file dei parametri del DB '%s'!
Cannot read from parameter DB file '%s'!	Impossibile leggere dal file dei parametri del DB '%s'!
Cannot read parameter DB file '%s' because it is too large!	Impossibile leggere dal file dei parametri del DB '%s' perchè è troppo grande!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Il file dei parametri del DB '%s' è stato creato da una versione più recente di JPEGView!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Il vecchio file dei parametri del DB '%s' non può essere rinominato durante la conversione nel nuovo formato!
Parameter DB error	Errore nei Parametri del DB
Error saving file	Errore nel salvataggio del file
Error writing file to disk!	Errore nella scrittura del file su disco!
Confirm	Conferma
Do you really want to permanently delete the file %filename%?	Volete veramente eliminare definitivamente il file %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Ruotare di 90 gradi senza perdita di qualità il seguente file?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Ruotare di 270 gradi senza perdita di qualità il seguente file?\n%filename%
Open image...	Apri immagine...
Save processed image...	Salva immagine modificata...
Reload image	Ricarica immagine
Copy to clipboard	Copia negli Appunti
Copy original size image	Copia l’immagine nelle sue dimensioni originali
Paste from clipboard	Incolla dagli Appunti
Batch rename/copy...	Rinomina/copia in automatico (batch)...
Show picture info (EXIF)	Visualizza le informazioni dell’immagine (EXIF)
Show filename	Visualizza il nome del file
Navigation	Navigazione
Loop folder	Ricarica cartella
Loop recursively	Ricarica in modo ricorsivo
Loop siblings	Ricarica le cartelle di pari livello
Display order	Ordine di visualizzazione
Modification date	Data di modifica
Creation date	Data creazione
Play folder as slideshow/movie	Visualizza la cartella come presentazione/filmato
Slideshow	Presentazione
Movie	Filmato
Waiting time	Tempo di attesa
Stop slide show/movie	Ferma la presentazione/il filmato
Rotate +90	Rotazione +90°
Rotate -90	Rotazione -90°
Auto correction	Auto correzione
Local density correction	Correzione della densità locale
Keep parameters	Mantieni i parametri
Save parameters to INI...	Salva i parametri in un file INI...
Save parameters to DB	Salva i parametri nel DB
Clear parameters from DB	Pulisci i parametri dal DB
Zoom	Ingrandimento
Fit to screen	Adatta allo schermo
Fill with crop	Riempi con il ritaglio
Span all screens	Estendi a tutti gli schermi
Auto zoom mode	Modalità auto-ingrandimento
Fit to screen (no zoom)	Adatta allo schermo (senza ingrandimento)
Fill with crop (no zoom)	Riempi con il ritaglio (senza ingrandimento)
Exit	Uscita
Cyan-Red	Ciano-Rosso
Magenta-Green	Magenta-Verde
Yellow-Blue	Giallo-Blu
C - R	C - R
M - G	M - G
Y - B	Y - B
Batch rename/copy of files	Rinomina/copia i files in automatico
Image files in folder	File immagine nella cartella
Placeholders:	Segnaposto:
Number (consecutively numbered)	Numero (numerazione consecutiva)
Number with N digits	Numero con N cifre
Extracted number from original file name	Numero estratto dal nome originale del file 
Original file name (with extension)	Nome originale del file (con estensione)
Original file name (without extension)	Nome originale del file (senza estensione)
Original file extension	Estensione originale del file
'My Pictures' folder	Cartella 'Mie Immagini'
Day / Month / Year (as numbers)	Giorno / Mese / Anno (come numeri)
Year short form (2 digits)	Anno in forma breve (2 cifre)
Month / Short form (text)	Mese / forma breve (testo)
Target folders that are not yet existing are created as needed.	Le cartelle di destinazione non esistenti saranno create quando necessario.
Date placeholders use the modification date of the image.	La data del segnaposto utilizza la data di modifica dell'immagine.
Rename/copy images to:	Rinomina/copia immagine come:
Rename	Rinomina
Preview	Anteprima
Save as template	Salva come modello
Close	Chiudi
Old name	Vecchio nome
Date	Data
New name (>> : file gets copied)	Nuovo nome (>> : il file è stato copiato)
Select all	Seleziona tutto
Select none	Deseleziona tutto
The file '%s' could not be %s.	Il file '%s' non può essere %s.
copied	copiato
renamed	rinominato
Continue rename/copy?	Continuare rinomina/copia?
Error during rename/copy	Errore durante la rinomina/la copia
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d file rinominato(i), %d file copiato(i), %d cartella(e) creata(e)
Crop Selection	Ritaglia la selezione
Copy Selection to Clipboard	Copia la selezione negli Appunti
Zoom to Selection	Ingrandimento della selezione
Pasting image from clipboard failed!	Incolla immagine dagli appunti fallita!
Image width:	Larghezza dell’immagine:
Image height:	Altezza dell’immagine:
Acquisition date:	Data di acquisizione:
Camera model:	Modello della fotocamera:
Exposure time (s):	Tempo di esposizione (s):
Exposure bias (EV):	Bias dell’esposizione (EV):
Flash fired:	Flash:
Focal length (mm):	Lunghezza focale (mm):
F-Number:	Numero F:
ISO Speed:	Velocità ISO:
Modification date:	Data di modifica:
yes	si
no	no
Show navigation panel	Visualizza il pannello di navigazione
Show/hide navigation panel	Visualizza/nasconde il pannello di navigazione
About JPEGView...	Informazioni su JPEGView...
SIMD mode used:	Modalità SIMD in uso:
Number of CPU cores used:	Numero di Core CPU usate:
Licensed under the GNU general public license (GPL), see readme file for details:	Rilasciato sotto licenza GNU General Public License (GPL), vedi il file leggimi per ulteriori dettagli:
Project home page:	Pagina principale del progetto:
Show first image in folder	Visualizza la prima immagine nella cartella
Show previous image	Visualizza l’immagine precedente
Show next image	Visualizza l’immagine successiva
Show last image in folder	Visualizza l’ultima immagine nella cartella
Rotate image 90 deg clockwise	Ruota l’immagine di 90 gradi in senso orario
Rotate image 90 deg counter-clockwise	Ruota l’immagine di 90 gradi in senso anti-orario
Landscape picture enhancement mode	Modalità di miglioramento del paesaggio
Display image (EXIF) information	Visualizza le informazioni dell’immagine (EXIF)
Actual size of image	Dimensione attuale dell'immagine
Toggle between screens (only for multi-monitor systems)	Alterna tra schermi (solo per sistemi multi-monitor)
Enable/disable full screen mode	Abilita/disabilita la modalità tutto schermo
Full screen mode	Modalità tutto schermo
Window mode	Modalità finestra
Save as (in screen size/resolution)	Salva come (in dimensioni/risoluzione schermo)
Save processed image to JPEG file (screen size)	Salva l'immagine modificata come JPEG file (dimensione schermo)
Settings/Admin	Settaggi/Amministratore
Edit global settings...	Modifica dei settaggi globale...
Edit user settings...	Modifica dei settaggi utente...
Backup parameter DB...	Backup parametro del DB
Restore parameter DB...	Ripristina parametro del DB
No user INI file exits yet. Create user INI file from INI file template?	Non esiste ancora nessun file INI per l'utente. Creare un file INI per l'utente partendo da un modello?
Copying parameter DB to file '%s' failed. Reason: %s	La copia del paramentro '%s' del DB è fallita. Motivo: %s
Select parameter DB to restore	Seleziona il parametro di DB da ripristinare
Conflicting entries in Param DB	Dati in conflitto nel Param DB
The imported param DB contains entries already present in active param DB.	Il Param DB inportato contiene dati già presenti nel Param DB attivo.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	I dati estitenti devono essere mantenuti (Si) o devono essere sovrascritti dai dati importati (No)?
Select file to display in 'File Open' dialog	Seleziona il file da visualizzare nella finestra 'Apri File'
Crop Mode	Modalita' Ritaglia
Free	Libero
Fixed size...	Dimensione fissa
Set Fixed Crop Size	Setta la dimensione fissa di ritaglio
Width	Larghezza
Height	Altezza
Pixels	Pixels
Screen Pixels	Pixels dello schermo
Image Pixels	Pixels dell'immagine
Set modification date	Imposta la data di modifica
to current date	alla data odierna
to EXIF date	alla data di EXIF
Mark image for toggling. Use %s to toggle between marked and current image	Marca l'immagine per alternarla. Usa %s per alternare l'immagine marcata con l'immagine corrente
Saturation	Saturazione
Unsharp mask...	Maschera di contrasto
Apply Unsharp Mask	Applica maschera di contrasto
Radius	Raggio
Amount	Quantità
Threshold	Soglia
Apply	Applica
Cancel	Annulla
Keep processing parameters between images	Mantieni i parametri di modifica tra le immagini
Show histogram	Mostra istogramma
Hide histogram	Nascondi istogramma
Crop Selection Lossless	Ritaglia la selezione senza perdite di dati
Save cropped image	Salva immagine ritagliata
Rotate image by user-defined angle	Ruota immagine con angolo definito dall'utente
Rotate Image	Ruota Immagine
Show grid lines	Mostra griglia
Auto crop rotated image (avoids black border)	Auto ritaglia immagine ruotata (evita bordi neri)
Align image to horizontal or vertical line	Allinea immagine alla linea orizzontale o verticale
Use the mouse to draw a line that shall be horizontal or vertical.	Usa il mouse per disegnare una linea che dovrebbe essere orizzontale o verticale.
Rotate the image by dragging with the mouse.	Ruota l'immagine trascinandola con il mouse.
The operation failed because not enough memory is available!	L'operazione fallita a causa di memoria disponibile insufficiente
to EXIF date (all files in folder)	alla data EXIF (per tutti i files della cartella)
Number of JPEG files in folder: %d	Numero di files JPEG nella cartella: %d
EXIF date successfully set on %d images, failed on %d images	la data EXIF è stata settata correttamente a %d immagini, operazione non riuscita su %d immagini
Reason: Not enough memory available	Motivo: memoria disponibile insufficiente
Transform image	Trasforma immagine
Rotate...	Ruota... 
Mirror horizontally	Rifletti orizzontalmente
Mirror vertically	Rifletti verticalmente
