//Language=Russian
//TranslatorName=Dmitry Yerokhin
//Contact=erodim@mail.ru
//TranslatorURL=none
//LastUpdated=Jan 11, 2012
//
Contrast	Контрастность
Save processed image to JPEG file (original size)	Сохранить обработанное изображение как файл JPEG (исходного размера)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Сохранить (%s) / удалить (%s) параметры обработки изображения в базе данных
Sort images by creation date, resp. modification date, resp. file name	Сортировка изображений: по дате создания (C), изменения (M), имени файла (N), случайно (Z)
Goto previous image	Перейти к предыдущему изображению
Goto next image	Перейти к следующему изображению
PgUp or Left	PgUp или стрелка влево
PgDn or Right	PgDn или стрелка вправо
Goto first/last image of current folder (using sort order as defined)	Перейти к первому/последнему изображению в текущей папке (в соответствии с сортировкой)
Increase/decrease brightness	Увеличить/уменьшить яркость
Increase/decrease contrast	Увеличить/уменьшить контрастность
Increase/decrease sharpness	Увеличить/уменьшить резкость
Increase/decrease auto color cast correction amount	Увеличить/уменьшить автокоррекцию цвета
Increase/decrease auto contrast correction amount	Увеличить/уменьшить автокоррекцию контрастности
Enable/disable landscape picture enhancement mode	Включить/выключить режим улучшения изображений
Slide show with timeout of n seconds (ESC to stop)	Запустить слайдшоу с интервалом N сек (ESC - стоп)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Задать интервал N/10 сек или N/100 сек (Ctrl+Shift)
Rotate image and fit to screen	Повернуть изображение и вписать в экран
Fit image to screen	Вписать изображение в экран
Zoom 1:1 (100 %)	Масштаб 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	Увеличить (%s)/уменьшить (%s)
Zoom in/out image	Увеличить/уменьшить изображение (масштабировать)
Pan image	Переместить изображение
Crop image	Обрезать изображение
Next image	Следующее изображение
Previous image	Предыдущее изображение
up/down	Стрелки вверх/вниз
Mouse wheel	Ролик мыши
Left mouse & drag	Перетаскивание с ЛКМ
Ctrl + L mouse	Ctrl + ЛКМ
Forward mouse button	Кнопка мыши 'вперёд'
Back mouse button	Кнопка мыши 'назад'
Delete current file on disk permanently	Окончательно удалить текущий файл с диска
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Повернуть текущий файл на диске без потерь на 90° вправо (Ш/В должны быть кратны 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Повернуть текущий файл на диске без потерь на 90° влево (Ш/В должны быть кратны 16)
The file is read-only!	Этот файл только для чтения!
Can't rename file	Невозможно переименовать файл
New name contains backslash character!	В новом имени содержится обратная косая черта (\).
Renaming file failed!	Ошибка при переименовании файла.
Reason: 	Причина: 
on	вкл.
off	выкл.
Do you really want to save the following parameters as default to the INI file	Вы действительно хотите сохранить эти параметры в INI-файле как стандартные
Auto contrast and color correction: 	Автокоррекция контрастности и цвета: 
Local density correction: 	Коррекция светов/теней: 
Order files by: 	Сортировка файлов: 
Creation date/time	Дата/время создания
Last modification date/time	Дата/время изменения
File name	Имя файла
These values will override the values from the INI file located in the program folder of JPEGView!	Эти значения переопределят установки в INI-файле в папке с JPEGView.
Confirm save default parameters	Сохранить параметры по умолчанию?
Images	Изображения
All Files	Все файлы
Parameter DB file '%s' could not be opened!	Невозможно открыть файл '%s' c БД параметров.
Parameter DB file '%s' is not valid (invalid header)!	Неверный файл '%s' с БД параметров (недопустимый заголовок).
Cannot write to parameter DB file '%s'!	Невозможно выполнить запись в файл '%s' с БД параметров.
Cannot read from parameter DB file '%s'!	Невозможно выполнить чтение из файла '%s' с БД параметров.
Cannot read parameter DB file '%s' because it is too large!	Невозможно прочитать файл '%s' с БД параметров: он слишком велик.
The parameter DB file '%s' has been created by a newer version of JPEGView!	Файл '%s' с БД параметров создан более новой версией JPEGView.
The old parameter DB file '%s' could not be renamed during conversion to new format!	Не удалось переименовать старый файл '%s' с БД параметров при преобразовании в новый формат.
Parameter DB error	Ошибка в БД параметров
Error saving file	Ошибка сохранения файла
Error writing file to disk!	Ошибка записи файла на диск.
Confirm	Подтвердите
Do you really want to permanently delete the file %filename%?	Вы действительно хотите удалить файл %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Повернуть этот файл без потерь на 90° вправо?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Повернуть этот файл без потерь на 90° влево?\n%filename%
Open image...	Открыть изображение...
Save processed image...	Сохранить обработанное изображение...
Reload image	Перезагрузить изображение
Copy to clipboard	Скопировать в буфер обмена
Copy original size image	Скопировать в буфер обмена с исходным размером
Paste from clipboard	Вставить из буфера обмена
Batch rename/copy...	Пакетное переименование/копирование...
Show picture info (EXIF)	Сведения об изображении (EXIF)
Show filename	Имя файла
Navigation	Навигация
Loop folder	Циклично в папке
Loop recursively	Циклично с вложенными папками
Loop siblings	Циклично с папками того же уровня вложенности
Display order	Порядок вывода (критерий сортировки)
Modification date	Дата изменения
Creation date	Дата создания
Play folder as slideshow/movie	Показать содержимое папки как слайдшоу/фильм
Slideshow	Слайдшоу
Movie	Фильм
Waiting time	Интервал
Stop slide show/movie	Остановить слайдшоу/фильм
Rotate +90	Повернуть на 90° вправо
Rotate -90	Повернуть на 90° влево
Rotate 180	Повернуть на 180°
Auto correction	Автокоррекция
Local density correction	Коррекция светов/теней
Keep parameters	Помнить параметры обработки при смене изображений
Save parameters to INI...	Сохранить параметры в INI-файле...
Save parameters to DB	Сохранить параметры в базе данных
Clear parameters from DB	Удалить параметры из базы данных
Zoom	Масштабирование
Fit to screen	Подгонка под экран
Fill with crop	Заполнение с обрезкой
Span all screens	На все экраны
Auto zoom mode	Автомасштабирование
Fit to screen (no zoom)	Подгонка под экран (без увеличения)
Fill with crop (no zoom)	Заполнение с обрезкой (без увеличения)
Exit	Выход
Cyan-Red	Голубой-Красный
Magenta-Green	Пурпурный-Зелёный
Yellow-Blue	Жёлтый-Синий
C - R	C - R
M - G	M - G
Y - B	Y - B
Batch rename/copy of files	Пакетное переименование/копирование файлов
Image files in folder	Графические файлы в папке
Placeholders:	Заполнители:
Number (consecutively numbered)	номер (последовательный)
Number with N digits	номер с N цифрами
Extracted number from original file name	номер из исходного имени файла
Original file name (with extension)	исходное имя файла (с расширением)
Original file name (without extension)	исходное имя файла (без расширения)
Original file extension	исходное расширение файла
'My Pictures' folder	папка 'Мои рисунки'
Day / Month / Year (as numbers)	день / месяц / год (цифрами)
Year short form (2 digits)	год коротко (две цифры)
Month / Short form (text)	месяц / месяц коротко (текст)
Target folders that are not yet existing are created as needed.	Несуществующие папки назначения создаются по необходимости.
Date placeholders use the modification date of the image.	Заполнители даты подставляют дату изменения изображения.
Rename/copy images to:	Переименовать/скопировать изображения в:
Rename	Переименовать
Preview	Предпросмотр
Save as template	Сохранить как шаблон
Close	Закрыть
Old name	Старое имя
Date	Дата
New name (>> : file gets copied)	Новое имя (>> : файл скопирован)
Select all	Выбрать все
Select none	Снять весь выбор
The file '%s' could not be %s.	Для файла '%s' невозможно выполнить операцию %s.
copied	скопировано
renamed	переименовано
Continue rename/copy?	Продолжить переименование/копирование?
Error during rename/copy	Ошибка при переименовании/копировании
%d file(s) renamed, %d file(s) copied, %d folder(s) created	Файлов переименовано: %d, скопировано: %d, создано папок: %d
Crop Selection	Обрезать выделенное
Copy Selection to Clipboard	Скопировать выделенное в буфер обмена
Zoom to Selection	Масштабировать до выделенного
Pasting image from clipboard failed!	Ошибка при вставке изображения из буфера обмена.
Image width:	Ширина:
Image height:	Высота:
Acquisition date:	Дата съёмки:
Camera model:	Модель камеры:
Exposure time (s):	Выдержка (с):
Exposure bias (EV):	Экспокоррекция (EV):
Flash fired:	Вспышка:
Focal length (mm):	Фокусное расстояние (мм):
F-Number:	Диафрагма:
ISO Speed:	Чувствительность ISO:
Modification date:	Дата изменения:
yes	да
no	нет
Show navigation panel	Панель навигации
Show/hide navigation panel	Показать/скрыть панель навигации
About JPEGView...	О программе JPEGView...
SIMD mode used:	Режим SIMD:
Number of CPU cores used:	Используется ядер ЦП:
Licensed under the GNU general public license (GPL), see readme file for details:	Лицензия: GNU General Public License (GPL), см. подробности в файле:
Project home page:	Домашняя страница проекта:
Show first image in folder	Первое изображение в папке
Show previous image	Предыдущее изображение
Show next image	Следующее изображение
Show last image in folder	Последнее изображение в папке
Rotate image 90 deg clockwise	Повернуть на 90° вправо
Rotate image 90 deg counter-clockwise	Повернуть на 90° влево
Landscape picture enhancement mode	Режим улучшения изображений
Display image (EXIF) information	Сведения об изображении (EXIF)
Actual size of image	Настоящий размер изображения
Toggle between screens (only for multi-monitor systems)	Переключиться между экранами (в мультимониторных системах)
Enable/disable full screen mode	Включить/выключить полноэкранный режим
Full screen mode	Полноэкранный режим
Window mode	Оконный режим
Save as (in screen size/resolution)	Сохранить как (в экранном размере/разрешении)
Save processed image to JPEG file (screen size)	Сохранить обработанное изображение как файл JPEG (экранного размера)
Settings/Admin	Настройки
Edit global settings...	Изменить общие параметры...
Edit user settings...	Изменить пользовательские параметры...
Backup parameter DB...	Сделать резервную копию БД с параметрами...
Restore parameter DB...	Восстановить из копии БД с параметрами...
No user INI file exits yet. Create user INI file from INI file template?	Пользовательского INI-файла пока не существует. Создать его из шаблона INI-файла?
Copying parameter DB to file '%s' failed. Reason: %s	Ошибка копирования БД параметров в файл '%s'. Причина: %s
Select parameter DB to restore	Выберите БД параметров для восстановления
Conflicting entries in Param DB	Конфликт записей в БД параметров
The imported param DB contains entries already present in active param DB.	Импортированная БД параметров содержит записи, которые уже присутствуют в активной БД.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Имеющиеся записи следует сохранить ('Да') или перезаписать их импортированными ('Нет')?
Select file to display in 'File Open' dialog	Выберите файл для показа в диалоге открытия файлов
Crop Mode	Режим обрезки
Free	Произвольно
Fixed size...	Фиксированный размер...
Set Fixed Crop Size	Выбрать размер обрезки
Width	Ширина
Height	Высота
Pixels	пкс
Screen Pixels	Экранные пикселы
Image Pixels	Исходные пикселы
Set modification date	Установить дату изменения
to current date	по текущей дате
to EXIF date	по дате из EXIF
Mark image for toggling. Use %s to toggle between marked and current image	Отметить файл (%s - переключение между отмеченным и текущим изображениями)
Saturation	Насыщенность
Unsharp mask...	Нерезкая маска...
Apply Unsharp Mask	Применить нерезкую маску
Radius	Радиус
Amount	Величина
Threshold	Порог
Apply	Применить
Cancel	Отмена
Keep processing parameters between images	Помнить параметры обработки при смене изображений
Show histogram	Показать гистограмму
Hide histogram	Скрыть гистограмму
Crop Selection Lossless...	Обрезать выделенное без потерь...
Save cropped image	Сохранить обрезанное изображение
Rotate image by user-defined angle	Повернуть на произвольный угол
Rotate Image	Поворот изображения
Show grid lines	Сетка
Auto crop rotated image (avoids black border)	Автообрезка изображения при повороте (избегать чёрных полей)
Align image to horizontal or vertical line	Выравнивание изображения по горизонтальной или вертикальной линии
Use the mouse to draw a line that shall be horizontal or vertical.	Проведите мышью линию, которая должна стать горизонтальной или вертикальной.
Rotate the image by dragging with the mouse.	Вращайте изображение, перетаскивая по нему мышь.
The operation failed because not enough memory is available!	Ошибка операции: недостаточно памяти.
to EXIF date (all files in folder)	по дате в EXIF (для всех файлов в папке)
Number of JPEG files in folder: %d	Файлов JPEG в папке: %d
EXIF date successfully set on %d images, failed on %d images	Установка EXIF-даты: %d - да, %d - нет
Reason: Not enough memory available	Причина: недостаточно памяти
Transform image	Трансформирование
Rotate...	Повернуть на произвольный угол...
Mirror horizontally	Зеркально перевернуть по горизонтали
Mirror vertically	Зеркально перевернуть по вертикали
Random	Случайно
Zoom mode (drag mouse to zoom)	Режим масштабирования (перетаскиванием мыши)
Correct converging lines (perspective correction)	Коррекция сходящихся линий (перспективы)
Perspective Correction	Коррекция перспективы
Perspective correction...	Коррекция перспективы...
Auto crop corrected image (avoids black border)	Автообрезка при коррекции (избегать чёрных полей)
Click and drag the mouse vertically to correct image tilt.	Перетаскивайте мышь вертикально, чтобы устранить/изменить наклон изображения.
Drag at the left or right border for asymmetric correction.	Перетаскивайте мышь к левому или правому краю для несимметричной коррекции.
Fit window to image	Подгонка окна по изображению
Keep aspect ratio on crop	Соблюдение пропорций при обрезке
