// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Contraste
Play folder as slideshow/movie	Reproducir carpeta como presentación/película
Slideshow	Presentación
Movie	Película
Waiting time	Intervalo de espera
Stop slide show/movie	Detener Presentación/Película
Rotate +90	Rotar +90
Rotate -90	Rotar -90
Rotate 180	Rotar 180
Auto correction	Autocorrección
Local density correction	Corrección de densidad local
Keep parameters	Mantener parámetros
Save parameters to INI...	Guardar parámetros a INI...
Save parameters to DB	Guardar parámetros a BD
Clear parameters from DB	Limpiar parámetros de BD
Zoom	Zoom
Fit to screen	Ajustar a la pantalla
Fill with crop	Llenar con bordes cortados
Span all screens	Extender a todas las pantallas
Auto zoom mode	Modo de Autozoom
Fit to screen (no zoom)	Ajustar a la pantalla (sin zoom)
Fill with crop (no zoom)	Llenar con bordes cortados (sin zoom)
Exit	Salir
Cyan-Red	Cyan-Rojo
Magenta-Green	Magenta-Verde
Yellow-Blue	Amarillo-Azul
C - R	C - R
M - G	M - V
Y - B	Am - Az
Batch rename/copy of files	Renombrado/copia de archivos por lotes
Image files in folder	Archivos de imágenes en la carpeta
Placeholders:	Banderas de reemplazo:
Number (consecutively numbered)	Número (consecutivamente enumerados)
Number with N digits	Número con N dígitos
Extracted number from original file name	Número extraído del nombre original del archivo
Original file name (with extension)	Nombre original del archivo (con extension)
Original file name (without extension)	Nombre original del archivo (sin extension)
Original file extension	Extensión del archivo original
'My Pictures' folder	Carpeta 'Mis imágenes'
Day / Month / Year (as numbers)	Día / Mes / Año (numéricos)
Year short form (2 digits)	Año en forma corta (2 dígitos)
Month / Short form (text)	Mes / forma corta (texto)
Target folders that are not yet existing are created as needed.	Las carpetas de destino que no existan serán creadas si es necesario.
Date placeholders use the modification date of the image.	Las banderas de reemplazo de fechas usan la fecha de modificación de la imagen.
Rename/copy images to:	Renombrar/copiar imágenes a:
Rename	Renombrar
Preview	Previsualizar
Save as template	Guardar como plantilla
Close	Cerrar
Old name	Nombre Antiguo
Date	Fecha
New name (>> : file gets copied)	Nuevo nombre (>> : el archivo es copiado)
Select all	Seleccionar todo
Select none	Seleccionar nada
The file '%s' could not be %s.	El archivo '%s' no pudo ser %s.
copied	copiado
renamed	renombrado
Continue rename/copy?	continuar renombrado/copia?
Error during rename/copy	Error durante renombrado/copia
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d archivo(s) renombrado(s), %d archivo(s) copiado(s), %d carpeta(s) creada(s)
Crop Selection	Cortar bordes de la selección
Copy Selection to Clipboard	Copiar la selección al prtapapeles
Zoom to Selection	Zoom en la Selección
Pasting image from clipboard failed!	El pegado de imagen desde el portapapeles falló!
Image width:	Ancho de imagen:
Image height:	Alto de imagen:
Acquisition date:	Fecha de adquisición:
Camera model:	Modelo de cámara:
Exposure time (s):	Tiempo de exposición (s):
Exposure bias (EV):	Bias de exposición (EV):
Flash fired:	Flash disparado:
Focal length (mm):	Longitud focal (mm):
F-Number:	Número F:
ISO Speed:	Velocidad ISO:
Modification date:	Fecha de modificación:
yes	si
no	no
Show navigation panel	Mostrar panel de navegación
Show/hide navigation panel	Mostrar/ocultar panel de navegación
About JPEGView...	Acerca de JPEGView...
SIMD mode used:	Modo SIMD usado:
Number of CPU cores used:	Número de núcleos de CPU usados:
Licensed under the GNU general public license (GPL), see readme file for details:	Licenciado bajo la Licencia Pública General de GNU (GPL), vea el archivo readme para mas detalles:
Project home page:	Página web del proyecto:
Show first image in folder	Mostrar primera imagen de la carpeta
Show previous image	Mostrar anterior imagen
Show next image	Mostrar siguiente imagen
Show last image in folder	Mostrar última imagen de la carpeta
Rotate image 90 deg clockwise	Rotar imagen 90 grados sentido horario
Rotate image 90 deg counter-clockwise	Rotar imagen 90 grados sentido antihorario
Landscape picture enhancement mode	Modo de mejora de imagen de paisajes
Display image (EXIF) information	Mostrar información (EXIF) de la imagen
Toggle between screens (only for multi-monitor systems)	Alternar entre pantallas (sólo para sistemas multi-monitor)
Enable/disable full screen mode	Habilitar/deshabilitar modo pantalla completa
Full screen mode	Modo pantalla completa
Window mode	Modo ventana
Save as (in screen size/resolution)	Guardar como (con el tamaño/resolución de la pantalla)
Save processed image to JPEG file (screen size)	Guardar imagen procesada como archivo JPEG(con el tamaño/resolución de la pantalla)
Settings/Admin	Preferencias/Administración
Edit global settings...	Editar preferencias globales...
Edit user settings...	Editar preferencias de usuario...
Backup parameter DB...	Hacer respaldo de BD de parametros...
Restore parameter DB...	Restaurar BD de parametros...
No user INI file exits yet. Create user INI file from INI file template?	No existe todavia el fichero INI de usuario. Crearlo fichero INI de usuario desde la plantilla de fichero INI?
Copying parameter DB to file '%s' failed. Reason: %s	La copia de la BD de parametros en el fichero '%s' falló. Razón: %s
Select parameter DB to restore	Seleccionar BD de parametros a restaurar
Conflicting entries in Param DB	Registros conflictivos en BD de parametros
The imported param DB contains entries already present in active param DB.	La BD de parametros importada contiene registros que ya estan presentes en la BD de parametros activa.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	¿Conservar los registros existentes (Si) o sobreescribirlos por los registros importados (No)?
Select file to display in 'File Open' dialog	Seleccionar archivo que aparecera en el cuadro de dialogo 'Abrir archivo'
Crop Mode	Modo de bordes cortados
Free	Libre
Fixed size...	Tamaño fijo
Set Fixed Crop Size	Establecer tamaño de corte de bordes fijo
Width	Ancho
Height	Alto
Pixels	Pixeles
Screen Pixels	Pixeles de la pantalla
Image Pixels	Pixeles de la imagen
Set modification date	Establecer fecha de modificación
to current date	a la fecha actual
to EXIF date	a la fecha del EXIF
Mark image for toggling. Use %s to toggle between marked and current image
Saturation	Saturación
Unsharp mask...	Máscara de desenfoque
Apply Unsharp Mask	Aplicar máscara de desenfoque
Radius	Radio
Amount	Cantidad
Threshold	Umbral
Apply	Aplicar
Cancel	Cancelar
Keep processing parameters between images	Mantener parámetros de procesamiento entre imagenes
Show histogram	Mostrar histograma
Hide histogram	Esconder histograma
Crop Selection Lossless...	Crop Selection Lossless...
Save cropped image	Guardar imagen sin bordes
Rotate image by user-defined angle	Rotar imagen en un angulo definido por el usuario
Rotate Image	Rotar imagen
Show grid lines	Mostrar cuadricula
Auto crop rotated image (avoids black border)	Eliminar automaticamente bordes en la imagen rotada (evita bordes negros)
Align image to horizontal or vertical line	Alinear imagen a una linea horizontal o vertical
Use the mouse to draw a line that shall be horizontal or vertical.	Usar el raton para dibujar una linea que sera horizontal o vertical.
Rotate the image by dragging with the mouse.	Rotar imagen arrastrando el raton.
The operation failed because not enough memory is available!	¡La operacion fallo porque no habia suficiente memoria disponible!
to EXIF date (all files in folder)	a fecha EXIF (todos los archivos en la carpeta)
Number of JPEG files in folder: %d	Numero de archivos JPEG en la carpeta: %d
EXIF date successfully set on %d images, failed on %d images	Fecha EXIF establecida correctamente en %d imagenes, fallado en %d imagenes
Reason: Not enough memory available	Razon: No hay suficiente memoria disponible
Transform image	Transformar imagen
Rotate...	Rotar...
Mirror horizontally	Reflejo Horizontal
Mirror vertically	Reflejo Vertical
Random	Azar
Zoom mode (drag mouse to zoom)	El modo de zoom (arrastre del ratón para ampliar)
Correct converging lines (perspective correction)	Corregir las líneas convergentes (corrección de la perspectiva)
Perspective Correction	Corrección de la perspectiva
Perspective correction...	Corrección de la perspectiva...
Auto crop corrected image (avoids black border)	Auto crop corrected image (evita bordes negros)
Click and drag the mouse vertically to correct image tilt.	Click and drag the mouse vertically to correct image tilt.
Drag at the left or right border for asymmetric correction.	Drag at the left or right border for asymmetric correction.
Fit window to image	Ajustar la ventana a la imagen
Keep aspect ratio on crop	Keep aspect ratio on crop
