// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translation made by ThecaTTony (thecattony@users.sourceforge.net - thecattony@thecattony.com.ar) 
Contrast	Contraste
Loop siblings	Ciclar en carpetas de mismo nivel
Display order	Orden
Modification date	Fecha de modificación
Creation date	Fecha de creación
Play folder as slideshow/movie	Ejecutar carpeta como presentación/película
Slideshow	Presentación
Movie	Película
Waiting time	Tiempo de espera
Stop slide show/movie	Detener presentación/película
Rotate +90	Rotar 90° en sentido horario
Rotate -90	Rotar 90° en sentido antihorario
Auto correction	Autocorrección
Local density correction	Corrección de densidad local
Keep parameters	Mantener parámetros
Save parameters to INI...	Guardar parámetros a INI...
Save parameters to DB	Guardar parámetros a BD
Clear parameters from DB	Limpiar parámetros de BD
Zoom	Zoom
Fit to screen	Ajustar todas las imagenes a la pantalla
Fill with crop	Ajustar todas las imagenes con bordes cortados
Span all screens	Extender a todas las pantallas
Auto zoom mode	Modo de autozoom
Fit to screen (no zoom)	Ajustar a la pantalla (sin zoom)
Fill with crop (no zoom)	Ajustar con bordes cortados (sin zoom)
Exit	Salir
Cyan-Red	Cyan-Rojo
Magenta-Green	Magenta-Verde
Yellow-Blue	Amarillo-Azul
C - R	Cy - Ro
M - G	Ma - Ve
Y - B	Am - Az
Batch rename/copy of files	Renombrado/copia de archivos por lotes
Image files in folder	Archivos de imágenes en la carpeta
Placeholders:	Banderas de reemplazo:
Number (consecutively numbered)	Número (consecutivamente enumerados)
Number with N digits	Número con N dígitos
Extracted number from original file name	Número extraído del nombre original del archivo
Original file name (with extension)	Nombre original del archivo (con extensión)
Original file name (without extension)	Nombre original del archivo (sin extensión)
Original file extension	Extensión del archivo original
'My Pictures' folder	Carpeta 'Mis imágenes'
Day / Month / Year (as numbers)	Día / Mes / Año (numéricos)
Year short form (2 digits)	Año en forma corta (2 dígitos)
Month / Short form (text)	Mes / forma corta (texto)
Target folders that are not yet existing are created as needed.	Las carpetas de destino que no existan serán creadas cuando se necesiten.
Date placeholders use the modification date of the image.	Las banderas de reemplazo de fechas usan la fecha de modificación de la imagen.
Rename/copy images to:	Renombrar/copiar imágenes a:
Rename	Renombrar
Preview	Previsualizar
Save as template	Guardar como plantilla
Close	Cerrar
Old name	Nombre antiguo
Date	Fecha
New name (>> : file gets copied)	Nuevo nombre (>> : el archivo es copiado)
Select all	Seleccionar todo
Select none	Seleccionar nada
The file '%s' could not be %s.	El archivo '%s' no pudo ser %s.
copied	copiado
renamed	renombrado
Continue rename/copy?	Continuar renombrado/copiando?
Error during rename/copy	Error durante renombrado/copia
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d archivo(s) renombrado(s), %d archivo(s) copiado(s), %d carpeta(s) creada(s)
Crop Selection	Cortar bordes de Selección
Copy Selection to Clipboard	Copiar selección al portapapeles
Zoom to Selection	Zoom a selección
Pasting image from clipboard failed!	¡Falló el pegado de la imagen del portapapeles!
Image width:	Ancho de imagen:
Image height:	Alto de imagen:
Acquisition date:	Fecha de adquisición:
Camera model:	Modelo de cámara:
Exposure time (s):	Tiempo de exposición (s):
Exposure bias (EV):	Bias de exposición (EV):
Flash fired:	Flash disparado:
Focal length (mm):	Longitud focal (mm):
F-Number:	Relación focal:
ISO Speed:	Velocidad ISO:
Modification date:	Fecha de modificación:
yes	si
no	no
Show navigation panel	Mostrar panel de navegación
Show/hide navigation panel	Mostrar/ocultar panel de navegación
About JPEGView...	Acerca de JPEGView...
SIMD mode used:	Modo SIMD usado:
Number of CPU cores used:	Número de núcleos de CPU usados:
Licensed under the GNU general public license (GPL), see readme file for details:	Licenciado bajo la Licencia Pública General de GNU (GPL), vea el archivo readme para detalles:
Project home page:	Página principal del proyecto:
Show first image in folder	Mostrar primer imagen de la carpeta
Show previous image	Mostrar imagen anterior
Show next image	Mostrar imagen siguiente
Show last image in folder	Mostrar última imagen de la carpeta
Rotate image 90 deg clockwise	Rotar imagen 90° sentido horario
Rotate image 90 deg counter-clockwise	Rotar imagen 90° sentido antihorario
Landscape picture enhancement mode	Modo de mejora de imagen de paisajes
Display image (EXIF) information	Mostrar información (EXIF) de la imagen
Toggle between screens (only for multi-monitor systems)	Cambiar entre pantallas (sólo para sistemas multi-monitor)
Enable/disable full screen mode	Habilitar/deshabilitar modo pantalla completa
Full screen mode	Modo pantalla completa
Window mode	Modo ventana
Actual size of image	Tamaño actual de la imagen
