// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translated by Sérgio Marques, 2011
// This file is distributed under the same license as the JPEGView package
// Portuguese translation of JPEGView package
Contrast	Contraste
Yellow-Blue	Amarelo Azul
C - R	C - Y
M - G	M - G
Y - B	Y - B
Batch rename/copy of files	Copiar/mudar nome de ficheiros em lote
Image files in folder	Ficheiros de imagem na pasta
Placeholders:	Marcadores de posição:
Number (consecutively numbered)	Número (consecutivo)
Number with N digits	Número com N dígitos
Extracted number from original file name	Extrair número do nome do ficheiro
Original file name (with extension)	Nome do ficheiro (com extensão)
Original file name (without extension)	Nome do ficheiro (sem extensão)
Original file extension	Extensão do ficheiro
'My Pictures' folder	Pasta "Minha imagens"
Day / Month / Year (as numbers)	Dia / Mês / Ano (como número)
Year short form (2 digits)	Ano em forma curta (2 dígitos)
Month / Short form (text)	Mês / forma curta (texto)
Target folders that are not yet existing are created as needed.	As pastas de destino que não existam, são criadas automaticamente
Date placeholders use the modification date of the image.	Os marcadores de posição utilizam a data de modificação da imagem
Rename/copy images to:	Copiar/mudar nome para:
Rename	Mudar nome
Preview	Visualizar
Save as template	Gravar como modelo
Close	Sair
Old name	Nome anterior
Date	Data
New name (>> : file gets copied)	Novo nome (>> : do ficheiro a ser copiado)
Select all	Marcar todas
Select none	Desmarcar todas
The file '%s' could not be %s.	O ficheiro "%s" não pode ser %s
copied	copiado
renamed	nome mudado
Continue rename/copy?	Continuar a copiar/mudar nome?
Error during rename/copy	Erro ao copiar/mudar nome
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d ficheiro(s) renomeado(s), %d ficheiro(s) copiado(s), %d pasta(s) criada(s)
Crop Selection	Recortar seleção
Copy Selection to Clipboard	Copiar seleção para a área de transferência
Zoom to Selection	Ampliar seleção
Pasting image from clipboard failed!	Falha ao colar a imagem!
Image width:	Largura da imagem:
Image height:	Altura da imagem:
Acquisition date:	Data de aquisição:
Camera model:	Modelo:
Exposure time (s):	Tempo de exposição	(s):
Exposure bias (EV):	Compensação da exposição (EV):
Flash fired:	Flash disparado:
Focal length (mm):	Distância focal (mm):
F-Number:	Número F:
ISO Speed:	Velocidade ISO:
Modification date:	Data de modificação:
yes	sim
no	não
Show navigation panel	Mostrar painel de navegação
Show/hide navigation panel	Mostrar/ocultar painel de navegação
About JPEGView...	Sobre o JPEGView...
SIMD mode used:	Modo SIMD utilizado:
Number of CPU cores used:	Número de CPUs utilizados:
Licensed under the GNU general public license (GPL), see readme file for details:	Disponibilizado sob a GNU general public license (GPL). Para detalhes, consulte:
Project home page:	Sítio web:
Show first image in folder	Mostrar a primeira imagem da pasta
Show previous image	Mostrar imagem anterior
Show next image	Mostrar imagem seguinte
Show last image in folder	Mostrar a última imagem da pasta
Rotate image 90 deg clockwise	Rodar para a direita em 90º
Rotate image 90 deg counter-clockwise	Rodar para a esquerda em 90º
Landscape picture enhancement mode	Modo de melhoria da imagem na horizontal
Display image (EXIF) information	Exibir informações da imagem (EXIF)
Toggle between screens (only for multi-monitor systems)	Alternar entre  ecrãs (só para sistemas com vários monitores)
Enable/disable full screen mode	Ativar/desativar o modo de ecrã completo
Full screen mode	Modo de ecrã completo
Window mode	Modo de janela
Save as (in screen size/resolution)	Gravar como (no tamanho de ecrã/resolução)
Save processed image to JPEG file (screen size)	Gravar imagem procesada como ficheiro JPEG (no tamanho do ecrã)
Settings/Admin	Definições/Administração
Edit global settings...	Editar definições gerais...
Edit user settings...	Editar definições de utilizador...
Backup parameter DB...	Criar cópia de segurança dos parâmetros da BD...
Restore parameter DB...	Restaurar cópia de segurança dos parâmetros da BD...
No user INI file exits yet. Create user INI file from INI file template?	Não existe qualquer ficheiro INI. Criar ficheiro INI com base no modelo de ficheiros INI?
Copying parameter DB to file '%s' failed. Reason: %s	Falha ao copiar o ficheiro de parâmetros da BD "%s2. Motivo: %s
Select parameter DB to restore	Selecione o ficheiro de parâmetros de BD a restaurar
Conflicting entries in Param DB	Existem entradas com conflitos nos parâmetros da BD
The imported param DB contains entries already present in active param DB.	O ficheiro de parâmetros da BD a importar contém entradas já existentes nos parâmetros ativos.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Manter entradas existentes (Sim) ou substituir pelas importadas (Não)?
Select file to display in 'File Open' dialog	Selecione o ficheiro a exibir na caixa de diálogo "Abrir"
Crop Mode	Modo de recorte
Free	Livre
Fixed size...	Tamanho fixo...
Set Fixed Crop Size	Definir tamanho fixo de recorte
Width	Largura
Height	Altura
Pixels	Pixeis
Screen Pixels	Pixeis do ecrã
Image Pixels	Pixeis da imagem
Set modification date	Definir data de modificação
to current date	a data atual
to EXIF date	a data EXIF
Mark image for toggling. Use %s to toggle between marked and current image	Marque a imagem a alternar. Utilize %s para trocar entre a imagem marcada e a imagem atual
Saturation	Saturação
Unsharp mask...	Máscara de desfocagem
Apply Unsharp Mask	Aplicar máscara de desfocagem
Radius	Raio
Amount	Valor
Threshold	Limite
Apply	Aplicar
Cancel	Cancelar
Keep processing parameters between images	Manter parâmetros de processamento entre imagens
Show histogram	Mostrar histograma
Hide histogram	Ocultar histograma
Crop Selection Lossless...	Recortar seleção, mas sem perdas...
Save cropped image	Gravar imagem recortada
Rotate image by user-defined angle	Rodar num ângulo definido pelo utilizador
Rotate Image	Rodar imagem
Show grid lines	Mostrar linhas de grelha
Auto crop rotated image (avoids black border)	Recortar automaticamente as imagens rodadas (evita contornos a preto)
Align image to horizontal or vertical line	Alinhar imagem à linha horizontal ou vertical
Use the mouse to draw a line that shall be horizontal or vertical.	Utilize o rato para criar uma linha horizontal ou vertical
Rotate the image by dragging with the mouse.	Rodar imagem com o rato
The operation failed because not enough memory is available!	A operação falhou porque a memória disponível não é suficiente!
to EXIF date (all files in folder)	a data EXIF  (todos os ficheiros na pasta)
Number of JPEG files in folder: %d	Número de ficheiros JPEG na pasta: %d
EXIF date successfully set on %d images, failed on %d images	A data EXIF foi definida em %d imagens e falhou em %d
Reason: Not enough memory available	Motivo: a memória disponível não é suficiente
Transform image	Transformar imagem
Rotate...	Rodar...
Mirror horizontally	Espelhar horizontalmente
Mirror vertically	Espelhar verticalmente
Random	Aleatório 
Zoom mode (drag mouse to zoom)	Modo de ampliação (arraste o rato para ampliar)
Correct converging lines (perspective correction)	Corrigir linhas de convergência (correção de perspetiva)
Perspective Correction	Correção de perspetiva
Perspective correction...	Correção de perspetiva... 
Auto crop corrected image (avoids black border)	Recortar automaticamente a imagem corrigida (evitar contornos a negro)
Click and drag the mouse vertically to correct image tilt.	Clique e arraste o rato na vertical para corrigir a inclinação
Drag at the left or right border for asymmetric correction.	Clique no contono esquerdo ou direito para corrigir a simetria
Fit window to image	Ajustar janela à imagem
Keep aspect ratio on crop	Manter tamanho ao recortar
Lossless JPEG transformations	Transformações JPEG sem perdas
Performing the lossless transformation failed!	Ocorreu um erro ao transformar!
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Para efetuar a transformação, a largura e altura da imagem devem ser divisíveis pelos tamanhos JPEG (8 ou 16)!
Reading the JPEG file from disk failed	Ocorreu um erro ao carregar o ficheiro JPEG!
Writing the resulting JPEG file to disk failed	Ocorreu um erro ao gravar o ficheiro JPEG!
Performing the transformation failed	Ocorreu um erro durante a transformação!
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	A transformação pode ser aplicada de ajustar a imagem ao tamanho mais próximo mas alguns pixeis serão removidos.
Trim the image and apply transformation? Trimming cannot be undone!	Ajustar imagem e transformar? Esta operação não pode ser desfeita!
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	Nota: Defina a chave 'TrimWithoutPromptLosslessJPEG=true' no ficheiro INI se quiser utilizar esta ação sem comfirmação.
Transition Effect	Efeito de transição
None	Nenhum
Blend	Sobreposição
Slide from right	Deslizar da direita
Slide from left	Deslizar da esquerda
Slide from top	Deslizar de cima
Slide from bottom	Deslizar de baixo
Roll from right	Enrolar da direita
Roll from left	Enrolar da esquerda
Roll from top	Enrolar de cima
Roll from bottom	Enrolar de baixo
Scroll from right	Deslocar da direita
Scroll from left	Deslocar da esquerda
Scroll from top	Deslocar de cima
Scroll from bottom	Deslocar de baixo
Transition Speed	Velocidade da transição
Very fast	Muito rápida
Fast	Rápida
Normal	Normal
Slow	Lenta
Very slow	Muito lenta
Error	Erro
Warning	Aviso
Error while writing the following registry key:	Ocorreu um erro ao escrever a chave de registo:
Set as default viewer...	Definir como visualizador padrão...
Set JPEGView as default image viewer	Definir o JPEGView como visualizador padrão
JPEGView is registered as default viewer for the selected file formats.	O JPEGView é o visualizador padrão para os formatos de ficheiro selecionados.
Registration applies to the current user only.	Esta associação só é aplicável ao utilizador atual.
Extension	Extensão
File type	Tipo de ficheiro
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Não foi possível remover a associação das seguintes extensões de ficheiros porque a associação foi registada na área de registo da máquina local.
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	A associação ou cancelamente de associação nesta área do registo requer privilégios de administrador e não pode ser efetuada no JPEGView.
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	Prima Aceitar para continuar ou Cancelar para não efetuar as alterações.
Unregistering not possible	Não foi possível remover a associação
%s images	%s imagens
%s images (processed by Window Imaging Component - WIC)	%s imagens (processadas pelo componente Windows Imaging - WIC)
%s camera raw images (embedded JPEGs only)	%s imagens da máquina fotográfica
The following image extensions are protected by the operating system.	Estes tipos de ficheiro estão protegidos pelo sistema operativo.
JPEGView can try to remove the restrictions automatically.	O JPEGView pode tentar remover as restrições automaticamente.
However this will fail if the current user has no administration privileges.	No entanto, se o utilizador não possuir privilégios de administrador a operação não é possível.
Insufficient rights to remove the restrictions. Continue?	Não possui privilégios para remover as restrições. Continuar?
Actual size of image	Tamanho real da imagem
No image loaded!	Nenhuma imagem carregada!
Right mouse button: Context menu	Botão direito do rato: menu de contexto
Windows 8 blocks JPEGView from changing the default program for these file endings.	O Windows 8 não permite que o JPEGView modifique o programa pré-definido para este tipo de ficheiros.
Use the 'Default Programs' configuration dialog from the operating system instead.  Utilize o diálogo de configuração "Programas pré-definidos" do sistema operativo.
Alternatively, right click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program' Em alternativa pode clicar com o botão direito do rato num ficheiro de imagem do tipo indicado no Windows Explorer e selecione 'Abrir com...' > 'Escolher programa pré-definido'
User commands	Comandos do utilizador
Open image with	Abrir imagem com
Manage 'Open image with' menu...  Gerir menu 'Abrir imagem com'...
Menu entries:	Entradas de menu:
Title:	Título:
Application:	Aplicação:
Shortcut key:	Tecla de atalho:
Browse...	Procurar...
New	Nova
Delete	Eliminar
Modifier keys:	Teclas modificadoras:
Known keys:	Teclas reconhecidas:
Combine keys with '+'	Combinar teclas com '+'
Example:	Exemplo:
Shortcut Help	Ajuda de atalhos
[new entry]	[nova entrada]
Applications	Aplicações
Select application	Escolha a aplicação
Save	Gravar
Edit	Editar
Upcounting	Ascendente
Downcounting	Descendente
File size	Tamanho do ficheiro
Do you really want to delete the current image file on disk?	Tem a certeza que pretende remover a imagem do disco?
Delete image file	Eliminar imagem
Change size...	Mudar tamanho...
Resize Image	Redimensionar imagem
OK	OK
New size:	Novo tamanho:
New width:	Nova largura:
New height:	Nova altura:
Filter:	Filtro:
Box	Caixa
Lanczos/Bicubic	Lanczos/Bicúbico
Sharpen low	Acentuação ligeira
Sharpen medium	Acentuação média
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	O novo tamanho é muito grande. A largura ou a altura é superior a 65535 ou o número total de pixeis é muito grande!
