// This file must be encoded with UTF-8 (e.g. with Windows Notepad)	
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French	
// Format is: English string<tab>Translated string<newline>	
Contrast	Contraste
Parameter DB file '%s' is not valid (invalid header)!	Le fichier DB traitements '%s' n'est pas valide (en-tête invalide) !
Cannot write to parameter DB file '%s'!	Impossible d'écrire dans le fichier DB traitements '%s' !
Cannot read from parameter DB file '%s'!	Impossible de lire le fichier DB traitements '%s' !
Cannot read parameter DB file '%s' because it is too large!	Impossible de lire le fichier DB traitements '%s' parce que sa taille est trop grande !
The parameter DB file '%s' has been created by a newer version of JPEGView!	Le fichier DB traitements '%s' a été créé par une version plus récente de JPEGView !
The old parameter DB file '%s' could not be renamed during conversion to new format!	L'ancien fichier DB traitements '%s' n'a pas pu être renommé lors de la conversion au nouveau format !
Parameter DB error	Erreur DB traitements
Error saving file	Erreur de sauvegarde du fichier
Error writing file to disk!	Erreur d'écriture sur le disque !
Confirm	Confirmer
Do you really want to permanently delete the file %filename%?	Confirmer la suppression définitive du fichier %filename% ?
Rotate the following file lossless by 90 deg?\n%filename%	Pivoter de 90° et enregistrer le fichier ?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Pivoter de 270° et enregistrer le fichier ?\n%filename%
Open image...	Ouvrir...
Save processed image...	Enregistrer l'image traitée...
Reload image	Actualiser
Copy to clipboard	Copier l'image traitée (capture écran)
Copy original size image	Copier l'image traitée (taille réelle)
Paste from clipboard	Coller
Batch rename/copy...	Batch renommer / copier ...
Show picture info (EXIF)	Afficher les infos photo (EXIF)
Show filename	Afficher le nom du fichier
Navigation	Dossiers
Loop folder	Parcourir le dossier courant
Loop recursively	Parcourir le dossier et ses sous-dossiers
Loop siblings	Parcourir le dossier et ses dossiers frères
Display order	Tri par...
Modification date	Date de modification
Creation date	Date de création
Play folder as slideshow/movie	Diaporama / film
Slideshow	Diaporama
Movie	Film
Waiting time	Temps d'attente
Stop slide show/movie	Arrêter le diaporama / film
Rotate +90	Rotation +90
Rotate -90	Rotation -90
Rotate 180	Rotation 180
Auto correction	Corrections couleurs et contraste
Local density correction	Corrections sombres et clairs
Keep parameters	Garder le traitement entre les images
Set current parameters as default values...	Sauvegarder les réglages comme défaut dans le fichier INI...
Save parameters to DB	Sauvegarder le traitement dans la DB
Clear parameters from DB	Supprimer le traitement de la DB
Zoom	Zoom
Fit to screen	Ajuster l'image à la fenêtre
Fill with crop	Remplir la fenêtre et rogner l'image
Span all screens	Couvrir tous les écrans
Auto zoom mode	Auto zoom
Fit to screen (no zoom)	Ajuster l'image à la fenêtre (sans agrandir)
Fill with crop (no zoom)	Remplir la fenêtre et rogner l'image (sans agrandir)
Exit	Quitter
Cyan-Red	Cyan-Rouge
Magenta-Green	Magenta-Vert
Yellow-Blue	Jaune-Bleu
C - R	Cy - R
M - G	Ma - V
Y - B	J - B
Batch rename/copy of files	Batch renommer / copier fichiers
Image files in folder	Images dans le dossier
Placeholders:	Espaces réservés :
Number (consecutively numbered)	Numéro
Number with N digits	Numéro à N chiffres
Extracted number from original file name	Numéro extrait du nom de fichier original
Original file name (with extension)	Nom du fichier original (avec extension)
Original file name (without extension)	Nom du fichier original (sans extension)
Original file extension	Extension du fichier original
'My Pictures' folder	Dossier 'Mes images'
Day / Month / Year (as numbers)	Jour / Mois / Année (en chiffres)
Year short form (2 digits)	Année forme courte (2 chiffres)
Month / Short form (text)	Mois / simplifié (texte)
Target folders that are not yet existing are created as needed.	Les dossiers cibles qui n'existent pas sont créés en cas de besoin.
Date placeholders use the modification date of the image.	Les éléments de date se basent sur la date de modification de l'image.
Rename/copy images to:	Renommer / copier les images vers :
Rename	Renommer
Preview	Prévisualiser
Save as template	Enregistrer comme modèle
Close	Fermer
Old name	Ancien nom
Date	Date
New name (>> : file gets copied)	Nouveau nom (>> : le fichier est copié)
Select all	Sélectionner tout
Select none	Aucune sélection
The file '%s' could not be %s.	Le fichier '%s' n'a pas pu être %s.
copied	copié
renamed	renommé
Continue rename/copy?	Continuer renommage/copie?
Error during rename/copy	Erreur lors du renommage/copie
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d fichier(s) renommé(s), %d fichier(s) copié(s), %d dossier(s) créé(s)
Crop Selection	Rogner la sélection
Copy Selection to Clipboard	Copier la sélection
Zoom to Selection	Zoom sur la sélection
Pasting image from clipboard failed!	Le collage de l'image depuis le presse-papier a échoué !
Image width:	Largeur de l'image :
Image height:	Hauteur de l'image :
Acquisition date:	Date d'acquisition :
Camera model:	Modèle d'appareil photo :
Exposure time (s):	Temps de pose (s):
Exposure bias (EV):	Correction d'exposition (EV) :
Flash fired:	Flash utilisé :
Focal length (mm):	Focale (mm) :
F-Number:	Ouverture (F-number) :
ISO Speed:	Vitesse ISO :
Modification date:	Date de modification :
yes	oui
no	non
Show navigation panel	Afficher la barre de navigation
Show/hide navigation panel	Afficher/masquer la barre de navigation
About JPEGView...	A propos de JPEGView...
SIMD mode used:	Mode SIMD utilisé :
Number of CPU cores used:	Nombre de coeurs de processeur utilisés:
Licensed under the GNU general public license (GPL), see readme file for details:	Sous licence GNU-GPL, voir le fichier README pour plus de détails :
Project home page:	Page d'accueil du projet :
Show first image in folder	Première image du dossier
Show previous image	Image précédente
Show next image	Image suivante
Show last image in folder	Dernière image du dossier
Rotate image 90 deg clockwise	Pivoter de 90° en sens horaire
Rotate image 90 deg counter-clockwise	Pivoter de 90° en sens anti-horaire
Landscape picture enhancement mode	Mode LDC d'amélioration des paysages
Display image (EXIF) information	Afficher les infos photo (EXIF)
Toggle between screens (only for multi-monitor systems)	Basculer entre les écrans (seulement si plusieurs écrans)
Enable/disable full screen mode	Activer/désactiver le plein écran
Full screen mode	Plein écran
Window mode	Mode fenêtré
Save as (in screen size/resolution)	Enregistrer sous (à la taille / résolution de la fenêtre)
Save processed image to JPEG file (screen size)	Enregistrer l'image traitée en JPEG (capture écran)
Settings/Admin	Configuration / Administration
Edit global settings...	Editer le fichier INI de configuration générale...
Edit user settings...	Editer le fichier INI de configuration utilisateur...
Backup parameter DB...	Sauvegarder la DB traitements
Restore parameter DB...	Restaurer une DB traitements
No user INI file exits yet. Create user INI file from INI file template?	Le fichier INI utilisateur n'existe pas encore. En créer un depuis le fichier INI modèle ?
Copying parameter DB to file '%s' failed. Reason: %s	La copie de la DB traitements vers le ficher '%s' a échoué. Raison : %s
Select parameter DB to restore	Sélectionner la DB traitements à restaurer
Conflicting entries in Param DB	Conflit d'entrées dans la DB traitements
The imported param DB contains entries already present in active param DB.	La DB traitements importée contient des entrées déjà présentes dans la DB traitements active.
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Souhaitez-vous conserver les entrées existantes (Oui) ou les écraser avec les entrées importées (Non) ?
Select file to display in 'File Open' dialog	Sélectionnez le fichier à afficher dans la boîte de dialogue "Ouvrir"
Crop Mode	Mode rognage
Free	Libre
Fixed size...	Taille fixe...
Set Fixed Crop Size	Définir la taille fixe du rognage
Width	Largeur
Height	Hauteur 
Pixels	Pixels
Screen Pixels	Pixels écran
Image Pixels	Pixels image
Set modification date	Changer la date de modification
to current date	à la date du jour
to EXIF date	à la date EXIF
Actual size of image	Taille réelle de l'image
Mark image for toggling. Use %s to toggle between marked and current image	Marquer l'image pour la basculer. Utilisez %s pour basculer entre l'image marquée et l'image courante
Saturation	Saturation
Unsharp mask...	Filtre de netteté...
Apply Unsharp Mask	Appliquer le filtre de netteté
Radius	Rayon
Amount	Quantité
Threshold	Seuil
Apply	Appliquer
Cancel	Annuler
Keep processing parameters between images	Garder les traitements lors du changement d‘image
Show histogram	Afficher l'histogramme
Hide histogram	Masquer l'histogramme
Crop Selection Lossless...	Rogner la sélection sans pertes...
Save cropped image	Enregistrer l'image rognée
Rotate image by user-defined angle	Pivoter selon un angle au choix
Rotate Image	Pivoter
Show grid lines	Afficher la grille
Auto crop rotated image (avoids black border)	Rognage automatique de l'image pivotée (évite les bords noirs)
Align image to horizontal or vertical line	Aligner l'image avec une ligne horizontale ou verticale
Use the mouse to draw a line that shall be horizontal or vertical.	Utilisez la souris pour dessiner une ligne horizontale ou verticale.	
Rotate the image by dragging with the mouse.	Cliquez et bougez la souris dans la direction où vous souhaitez faire pivoter l'image.
The operation failed because not enough memory is available!	Mémoire insuffisante pour effectuer l'opération !
to EXIF date (all files in folder)	à la date EXIF (tous les fichiers du dossier)
Number of JPEG files in folder: %d	Nombre d'images JPEG dans le dossier : %d
EXIF date successfully set on %d images, failed on %d images	La date EXIF a pu être indiquée sur %d images, cela a échoué sur %d images.
Reason: Not enough memory available	Raison : mémoire insuffisante
Transform image	Transformations
Rotate...	Pivoter...
Mirror horizontally	Inversion horizontale
Mirror vertically	Inversion verticale
Random	Aléatoire
Zoom mode (drag mouse to zoom)	Mode zoom (déplacez la souris pour zoomer)
Correct converging lines (perspective correction)	Correction de la perspective (lignes convergentes)
Perspective Correction	Correction de la perspective
Perspective correction...	Correction de la perspective...
Auto crop corrected image (avoids black border)	Rognage automatique de l'image corrigée (évite les bords noirs)
Click and drag the mouse vertically to correct image tilt.	Cliquez et déplacez la souris verticalement pour corriger l'inclinaison de l'image.
Drag at the left or right border for asymmetric correction.	Déplacez le bord gauche ou droit pour une correction asymétrique.
Fit window to image	Ajuster la fenêtre à l'image
Keep aspect ratio on crop	Maintenir le ratio largeur / hauteur lors du rognage
Lossless JPEG transformations	Transformations JPEG sans perte
Performing the lossless transformation failed!  Echec lors de la tranformation sans perte !
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Pour effectuer une transformation sans perte, la largeur et la hauteur de l'image doivent être divisibles par la taille de bloc JPEG (8 ou 16).
Reading the JPEG file from disk failed	Echec de lecture du fichier JPEG
Writing the resulting JPEG file to disk failed	Echec d'écriture du fichier JPEG sur le disque
Performing the transformation failed	Echec lors de la tentative de transformation
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	La transformation peut être effectuée en redécoupant l'image à la taille convenable la plus proche, mais quelques pixels de bord vont être perdus.
Trim the image and apply transformation? Trimming cannot be undone!	Redécouper l'image et effectuer la transformation ? (le redécoupage ne peut pas être annulé).
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message. Note : si vous souhaitez systématiquement redécouper sans montrer ce message d'alerte, spécifiez la valeur 'TrimWithoutPromptLosslessJPEG=true' dans le fichier INI.
None	Aucun
Blend	Mélanger les calques
Slide from right	Faire glisser depuis la droite
Slide from left	Faire glisser depuis la gauche
Slide from top	Faire glisser depuis le haut
Slide from bottom	Faire glisser depuis le bas
Roll from right	Dérouler depuis la droite
Roll from left	Dérouler depuis la gauche
Roll from top	Dérouler depuis le haut
Roll from bottom	Dérouler depuis le bas
Scroll from right	Faire défiler depuis la droite
Scroll from left	Faire défiler depuis la gauche
Scroll from top	Faire défiler depuis le haut
Scroll from bottom	Faire défiler depuis le bas
Transition Speed	Vitesse de transition
Very fast	Très rapide
Fast	Rapide
Normal	Normal
Slow	Lent
Very slow	Très lent
Error	Erreur
Warning Alerte
Error while writing the following registry key:	Erreur lors de l'écriture de la clé de registre :
Set as default viewer...	Définir comme visualisateur par défaut...
Set JPEGView as default image viewer	Définir JPEGView comme visualisateur d'images par défaut
JPEGView is registered as default viewer for the selected file formats.	JPEGView sera le visualisateur par défaut pour les formats sélectionnés.
Registration applies to the current user only.	Ceci s'applique seulement à l'utilisateur en cours.
Extension	Extension
File type	Type de fichier
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Ces extensions ne peuvent pas être modifiées, car elles ont été définies dans la zone 'Local machine' de la base de registres.
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	Intervenir dans cette zone demande des droits d'administrateur et ne peut pas être effectué depuis JPEGView.
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	Appuyez sur 'OK' pour continuer quand même, ou sur 'Cancel' pour annuler toute modification.
Unregistering not possible	Modification impossible
%s images	%s images
%s images (processed by Window Imaging Component - WIC)	%s images (traitées avec Windows Imaging Component - WIC)
%s camera raw images (embedded JPEGs only)	%s images photo brutes (JPEGs embarqués)
The following image extensions are protected by the operating system.	Ces extensions de fichier sont protégées par le système d'exploitation.
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	Droits insuffisants pour changer le contrôle d'accès (DACL) dans la base de registres. Continuer ?
No image loaded!	Aucune image chargée !
Right mouse button: Context menu	Clic droit : menu contextuel
Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 empêche JPEGView de changer le programme par défaut pour ces extensions.
Use the 'Default Programs' configuration dialog from the operating system instead.	Utilisez 'Programmes par défaut' dans Panneau de configuration - Programmes.
Alternatively, right click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Ou sinon, faites clic droit sur une image dans l'Explorateur windows et choisissez 'Ouvrir avec... > Choisir le programme par défaut'.
User commands	Commandes utilisateur
Open image with	Ouvrir avec
Manage 'Open image with' menu...	Configurer le menu 'Ouvrir avec'...
Menu entries:	Entrées du menu :
Title:	Titre :
Application:	Application :
Shortcut key:	Raccourci clavier :
Browse...	Explorer...
New	Nouveau
Delete	Supprimer
Modifier keys:	Touches de bascule :
Known keys:	Touches connues :
Combine keys with '+'	Combiner les touches avec '+'
Example:	Exemple : 
Shortcut Help Aide raccourcis
[new entry]	[nouvelle entrée]
Applications	Applications
Select application	Choisir une application
Save	Enregistrer
Edit	Modifier
Upcounting	Ordre croissant
Downcounting	Ordre décroissant
File size	Taille du fichier
Do you really want to delete the current image file on disk?	Voulez-vous vraiment supprimer ce fichier ?
Delete image file	Supprimer le fichier image
Change size...	Changer la taille...
Resize Image	Redimensionner
OK	OK
New size:	Nouvelle taille :
New width:	Nouvelle largeur :
New height:	Nouvelle hauteur :
Filter:	Filtre :
Box	Boîte
Lanczos/Bicubic	Lanczos / Bicubique
Sharpen low	Netteté (faible)
Sharpen medium	Netteté (moyenne)
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	La nouvelle taille est trop grande - la largeur ou la hauteur est supérieure à 65535 ou le nombre total de pixels est excessif !
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView est un visualisateur / éditeur d'images léger, rapide, très configurable et avec une interface minimale pour JPEG, BMP, PNG, WEBP, TGA, GIF et TIFF.
Hour / Minute (as numbers)	Heure / Minute (en chiffres)
Set as desktop wallpaper	Définir comme fond d'écran
Use original image	L'image originale
Use processed image as displayed	L'image traitée, telle que visible
Print image...	Imprimer...
Print Image	Imprimer
Print	Imprimer
Select Printer...	Choisir l'imprimante...
Printer:	Imprimante :
Paper:	Papier :
Source:	Source :
Orientation:	Orientation :
Portrait	Portrait
Landscape	Paysage
Size:	Taille :
Fit to paper	Ajuster à la page
cm	cm
Scaling mode:	Mise à l'échelle par :
Printer driver	Pilote d'imprimante
Alignment:	Alignement :
Margins:	Marges :
Left	Gauche
Right Droite
Top	Haut
Bottom	Bas
Fill paper with crop	Remplir la page et rogner l'image
