// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'zh' for Chinese
// Format is: English string<tab>Translated string<newline>
//Translation Info
//Translator:風逸蘭

Contrast	對比度
Do you really want to save the following parameters as default to the INI file	您真的想要儲存以下參數作為預設的 INI 檔案?
Auto contrast and color correction: 	自動對比度和色彩校正:
Local density correction: 	局部密度校正: 
Order files by: 	檔案排序依據: 
Creation date/time	建立日期/時間
Last modification date/time	最後修改日期/時間
File name	檔案名稱
These values will override the values from the INI file located in the program folder of JPEGView!	這些值將覆寫 JPEGView 程式資料夾中 INI 檔案的值!
Confirm save default parameters	確認儲存預設參數
Images	圖像
All Files	所有檔案
Parameter DB file '%s' could not be opened!	無法開啟參數資料庫檔案 '%s'!
Parameter DB file '%s' is not valid (invalid header)!	參數資料庫檔 案'%s' 無效 (無效的頭部)!
Cannot write to parameter DB file '%s'!	無法寫入到參數資料庫檔案 '%s'!
Cannot read from parameter DB file '%s'!	無法讀取參數資料庫檔案 '%s'!
Cannot read parameter DB file '%s' because it is too large!	參數資料庫檔案 '%s' 過大，無法讀取!
The parameter DB file '%s' has been created by a newer version of JPEGView!	較新版本的 JPEGView 已建立參數資料庫檔案 '%s'!
The old parameter DB file '%s' could not be renamed during conversion to new format!	在轉換為新的格式的過程中無法重新命名舊的參數資料庫檔案 '%s'!
Parameter DB error	參數資料庫錯誤
Error saving file	儲存檔案錯誤
Error writing file to disk!	寫入檔案到磁碟錯誤!
Confirm	確認
Do you really want to permanently delete the file %filename%?	您真的想要永久刪除檔案 %filename% 嗎?
Rotate the following file lossless by 90 deg?\n%filename%	您想要以下檔案無損旋轉 90 度嗎?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	您想要以下檔案無損旋轉 270 度嗎?\n%filename%
Open image...	開啟圖像...
Save processed image...	儲存處理後的圖像...
Reload image	重新載入圖像
Copy to clipboard	複製到剪貼簿
Copy original size image	複製原始大小圖像
Paste from clipboard	從剪貼簿貼上
Batch rename/copy...	批次重新命名/複製...
Show picture info (EXIF)	顯示圖片訊息 (EXIF)
Show filename	顯示檔案名稱
Navigation	巡覽
Loop folder	循環資料夾
Loop recursively	遞迴循環
Loop siblings	同步循環
Display order	顯示順序
Modification date	修改日期
Creation date	建立日期
Play folder as slideshow/movie	幻燈片/視訊播放資料夾
Slideshow	幻燈片
Movie	視訊
Waiting time	等待時間
Stop slide show/movie	停止幻燈片/視訊
Rotate +90	旋轉 +90°
Rotate -90	旋轉 -90°
Rotate 180      旋轉 180°
Auto correction	自動校正
Local density correction	局部密度校正
Keep parameters	保持參數
Set current parameters as default values...	設定目前參數為預設值...
Save parameters to DB	儲存參數到資料庫
Clear parameters from DB	從資料庫清除參數
Zoom	縮放
Fit to screen	適合螢幕
Fill with crop	用裁剪來填充
Span all screens	擴展到全部螢幕
Auto zoom mode	自動縮放模式
Fit to screen (no zoom)	適合螢幕 (無縮放)
Fill with crop (no zoom)	用裁剪來填充 (無縮放)
Exit	結束
Cyan-Red	青藍-紅色
Magenta-Green	品紅-綠色
Yellow-Blue	黃色-藍色
C - R	青藍 - 紅
M - G	品紅 - 綠
Y - B	黃色 - 藍
Batch rename/copy of files	批次重新命名/複製檔案
Image files in folder	在資料夾中的圖像檔案
Placeholders:	替代符號:
Number (consecutively numbered)	編號 (連續編號)
Number with N digits	用 N 位數編號
Extracted number from original file name	從來源檔案名稱中提取編號
Original file name (with extension)	原始檔案名稱 (含副檔名)
Original file name (without extension)	原始檔案名稱 (不含副檔名)
Original file extension	原始檔案副檔名
'My Pictures' folder	「我的圖片」資料夾
Day / Month / Year (as numbers)	日/月/年 (同編號)
Year short form (2 digits)	年份短格式 (2 位數)
Month / Short form (text)	月份/短格式 (文字)
Target folders that are not yet existing are created as needed.	尚無目標資料夾存在需要建立。
Date placeholders use the modification date of the image.	日期的替代符號使用圖像的修改日期。
Rename/copy images to:	重新命名/複製圖像到:
Rename	重新命名
Preview	預覽
Save as template	另存為範本
Close	關閉
Old name	舊的名稱
Date	日期
New name (>> : file gets copied)	新的名稱(>> : 檔案將被複製)
Select all	全部選擇
Select none	取消選擇
The file '%s' could not be %s.	檔案 '%s' 無法是 %s。
copied	已複製
renamed	已重新命名
Continue rename/copy?	是否繼續重新命名/複製?
Error during rename/copy	重新命名/複製過程中發生錯誤
%d file(s) renamed, %d file(s) copied, %d folder(s) created	已重新命名 %d 個檔案，已複製 %d 個檔案，已建立 %d 個資料夾
Crop Selection	裁剪選擇內容
Copy Selection to Clipboard	複製選擇內容到剪貼簿
Zoom to Selection	縮放到選擇內容
Pasting image from clipboard failed!	從剪貼簿貼上圖像失敗!
Image width:	圖像寬度:
Image height:	圖像高度:
Acquisition date:	擷取日期:
Camera model:	相機型號:
Exposure time (s):	曝光時間 (秒):
Exposure bias (EV):	曝光補償 (EV):
Flash fired:	閃光燈:
Focal length (mm):	焦距 (mm):
F-Number:	F 值:
ISO Speed:	ISO 感光度:
Modification date:	修改日期:
yes	是
no	否
Show navigation panel	顯示巡覽面板
Show/hide navigation panel	顯示/隱藏巡覽面板
About JPEGView...	關於 JPEGView...
SIMD mode used:	SIMD 模式下使用:
Number of CPU cores used:	所使用的 CPU 核心數量:
Licensed under the GNU general public license (GPL), see readme file for details:	基於 GNU General Public License (GPL) 授權，請參閱自述檔案的詳細資訊:
Project home page:	專案首頁:
Show first image in folder	顯示資料夾中的第一個圖像
Show previous image	顯示上一個圖像
Show next image	顯示下一個圖像
Show last image in folder	顯示資料夾中的最後一個圖像
Rotate image 90 deg clockwise	順時針旋轉 90 度
Rotate image 90 deg counter-clockwise	逆時針旋轉 90 度
Landscape picture enhancement mode	景觀圖像增強模式
Display image (EXIF) information	顯示圖像訊息 (EXIF)
Actual size of image	圖像實際大小
Toggle between screens (only for multi-monitor systems)	螢幕之間切換 (僅適用於多顯示器系統)
Enable/disable full screen mode	啟用/停用全螢幕模式
Full screen mode	全螢幕模式
Window mode	視窗模式
Save as (in screen size/resolution)	另存為 (在螢幕大小/解析度)
Save processed image to JPEG file (screen size)	儲存處理後的圖像為 JPEG 檔案 (螢幕大小)
Settings/Admin	設定/管理
Edit global settings...	編輯全局設定...
Edit user settings...	編輯使用者設定...
Backup parameter DB...	備份參數資料庫...
Restore parameter DB...	還原參數資料庫...
No user INI file exits yet. Create user INI file from INI file template?	尚無使用者 INI 檔案。是否從 INI 檔案範本來建立使用者 INI 檔案?
Copying parameter DB to file '%s' failed. Reason: %s	複製參數資料庫到檔案 '%s' 失敗。原因: %s
Select parameter DB to restore	選擇要還原的參數資料庫
Conflicting entries in Param DB	 參數資料庫中的項目衝突
The imported param DB contains entries already present in active param DB.	匯入的參數資料庫包含已經存在於作用中參數資料庫的項目。
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	您想要保留現有項目 (是) 或是以匯入的項目覆寫現有項目 (否)?
Select file to display in 'File Open' dialog	選擇要在「檔案開啟」對話框中顯示的檔案
Crop Mode	裁切模式
Free	自由
Fixed size...	固定大小...
Set Fixed Crop Size	設定固定裁剪尺寸
Width	寬度
Height	高度
Pixels	像素
Screen Pixels	螢幕像素
Image Pixels	圖像像素
Set modification date	設定修改日期
to current date	為目前日期
to EXIF date	為 EXIF 日期
Mark image for toggling. Use %s to toggle between marked and current image	標示圖像切換。使用 %s 來在標示圖像和目前圖像之間切換
Saturation	飽和度
Unsharp mask...	USM 銳化
Apply Unsharp Mask	套用「USM 銳化」
Radius	半徑
Amount	數量
Threshold	閾值
Apply	套用
Cancel	取消
Keep processing parameters between images	保持相鄰的兩圖像間的處理參數
Show histogram	顯示直方圖
Hide histogram	隱藏直方圖
Crop Selection Lossless...	無損裁剪選擇內容...
Save cropped image	儲存裁剪後的圖像
Rotate image by user-defined angle	以使用者定義的角度旋轉圖像
Rotate Image	旋轉圖像
Show grid lines	顯示網格
Auto crop rotated image (avoids black border)	自動裁剪旋轉後的圖像 (避免黑邊框)
Align image to horizontal or vertical line	圖像水平線或垂直線對齊
Use the mouse to draw a line that shall be horizontal or vertical.	使用滑鼠來畫一條線，將作為水平線或垂直線。
Rotate the image by dragging with the mouse.	使用滑鼠拖動來旋轉圖像。
The operation failed because not enough memory is available!	操作失敗，因為沒有足夠的可用記憶體!
to EXIF date (all files in folder)	為 EXIF 日期 (該資料夾中的所有檔案)
Number of JPEG files in folder: %d	該資料夾中的 JPEG 檔案數量: %d
EXIF date successfully set on %d images, failed on %d images	%d 個圖像的 EXIF 日期設定成功，%d 個圖像失敗
Reason: Not enough memory available	原因: 沒有足夠的可用記憶體
Transform image	轉換圖像
Rotate...	旋轉... 
Mirror horizontally	水平翻轉
Mirror vertically	垂直翻轉
Random	隨機
Zoom mode (drag mouse to zoom)	縮放模式 (拖動滑鼠來縮放)
Correct converging lines (perspective correction)	正確的匯合線 (透視校正)
Perspective Correction	透視校正
Perspective correction...	透視校正...
Auto crop corrected image (avoids black border)	自動裁剪校正後的圖像 (避免黑邊框)
Click and drag the mouse vertically to correct image tilt.	點選並垂直拖動滑鼠來校正圖像傾斜。
Drag at the left or right border for asymmetric correction.	如要非對稱校正請拖動左邊或右邊的邊框。
Fit window to image	視窗適合圖像
Keep aspect ratio on crop	保持畫面比例裁剪
Lossless JPEG transformations	無損 JPEG 轉換
Performing the lossless transformation failed!	執行無損轉換失敗!
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	無損轉換的圖片的寬度和高度必須可被 JPEG 區塊大小 (8 或 16) 整除!
Reading the JPEG file from disk failed	從磁碟讀取 JPEG 檔案失敗
Writing the resulting JPEG file to disk failed	建立的 JPEG 檔案寫入到磁碟時失敗
Performing the transformation failed	執行轉換失敗
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	假如圖像被裁剪，可以套用到下一個符合的大小，但是這將消除一些邊框像素的轉換。
Trim the image and apply transformation? Trimming cannot be undone!	是否裁切圖像並套用轉換? 裁剪無法被復原!
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	注意: 在 INI 檔案中設定「TrimWithoutPromptLosslessJPEG=true」以便總是修剪而不顯示此消息。
Transition Effect	轉場效果
None	無
Blend	混合
Slide from right	從右滑動
Slide from left	從左滑動
Slide from top	從上滑動
Slide from bottom	從下滑動
Roll from right	從右捲動
Roll from left	從左捲動
Roll from top	從上捲動
Roll from bottom	從下捲動
Scroll from right	從右滾動
Scroll from left	從左滾動
Scroll from top	從上滾動
Scroll from bottom	從下滾動
Transition Speed	轉場速度
Very fast	非常快
Fast	快
Normal	一般
Slow	慢
Very slow	非常慢
Error	錯誤
Warning	警告
Error while writing the following registry key:	寫入以下註冊表機碼時發生錯誤:
Set as default viewer...	設為預設檢視工具...
Set JPEGView as default image viewer	將 JPEGView 設為預設圖像檢視工具
JPEGView is registered as default viewer for the selected file formats.	註冊 JPEGView 為選擇的檔案格式的預設檢視工具。
Registration applies to the current user only.	註冊僅套用到目前使用者。
Extension	副檔名
File type	檔案類型
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	無法註冊以下檔案副檔名，因為在「本機」註冊表區域中已註冊它們。
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	在註冊表區域註冊或取消註冊檔案副檔名需要管理權限，無法在 JPEGView 中完成。
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	按下「確定」繼續註冊或按下「取消」不修改任何註冊表內容。
Unregistering not possible	無法取消註冊
%s images	%s 圖像
%s images (processed by Window Imaging Component - WIC)	%s 圖像 (由 Window 圖像組件 - WIC 處理)
%s camera raw images (embedded JPEGs only)	%s 相機原始圖像 (僅嵌入式 JPEG)
The following image extensions are protected by the operating system.	以下圖像副檔名被作業系統保護。
JPEGView can try to remove the restrictions automatically.	JPEGView 可以自動地嘗試移除限制。
However this will fail if the current user has no administration privileges.	但是，如果目前使用者沒有管理員權限，本操作將失敗。
Insufficient rights to remove the restrictions. Continue?	權限不足以移除限制。是否繼續?
No image loaded!	未載入圖像!
Right mouse button: Context menu	滑鼠右鍵: 上下文選單
Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 封鎖 JPEGView 對這些檔案副檔名變更為預設程式。
Use the 'Default Programs' configuration dialog from the operating system instead.	使用作業系統的「預設程式」組態對話框替代。
Alternatively, right click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	或者，在 Windows 檔案總管中指定類型的圖像檔案上點選滑鼠右鍵並選擇「開啟方式... > 選擇預設程式」。
User commands	使用者指令
Open image with	開啟圖像方式
Manage 'Open image with' menu...	管理「開啟圖像方式」選單...
Menu entries:	選單項目:
Title:	標題:
Application:	應用程式:
Shortcut key:	捷徑按鍵:
Browse...	瀏覽...
New	新增
Delete	刪除
Modifier keys:	複合按鍵:
Known keys:	已知按鍵:
Combine keys with '+'	與 '+' 組合按鍵
Example:	範例:
Shortcut Help	捷徑說明
[new entry]	[新增項目]
Applications	應用程式
Select application	選擇應用程式
Save	儲存
Edit	編輯
Upcounting	加計數
Downcounting	減計數
File size	檔案大小
