// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// This file is distributed under the same license as the JPEGView package
//Language=Japanese
//TranslatorName=Hiroyuki Matenokoji, maboroshin
//Contact=none
//TranslatorURL=https://pc.genkaku.in/
//LastUpdated=Mar 14, 2022
// 1st Japanese translation : by Hiroyuki Matenokoji. (2015)
// 2nd translator: Japanese by maboroshin (2019-2022, Adjustment, and translate little new part)
Contrast	コントラスト
Acquisition date:	撮影日時:
Camera model:	カメラの機種:
Exposure time (s):	露出時間 (秒):
Exposure bias (EV):	露出補正 (EV):
Flash fired:	フラッシュ:
Focal length (mm):	焦点距離 (mm):
F-Number:	絞り (F値):
ISO Speed:	ISO感度:
Modification date:	更新日時:
yes	あり
no	なし
Show navigation panel	操作パネルを表示
Show/hide navigation panel	操作パネルを表示/非表示
About JPEGView...	JPEGViewについて...
About JPEGView (64 bit version)...	JPEGView (64bit版)について...
SIMD mode used:	使用したSIMDの種類:
Number of CPU cores used:	CPUコア数:
Licensed under the GNU general public license (GPL), see readme file for details:	GNU general public license (GPL) に準拠、詳細は readme をお読みください:
Project home page:	プロジェクトのホームページ:
Show first image in folder	フォルダ内の最初の画像を表示
Show previous image	前の画像を表示
Show next image	次の画像を表示
Show last image in folder	フォルダ内の最後の画像を表示
Rotate image 90 deg clockwise	右回り90度回転
Rotate image 90 deg counter-clockwise	左回り90度回転
Landscape picture enhancement mode	風景画像の改善モード
Display image (EXIF) information	画像情報(EXIF)を表示	
Actual size of image	実際の画像サイズ
Toggle between screens (only for multi-monitor systems)	マルチモニターで別画面に表示
Enable/disable full screen mode	全画面表示を有効化/無効化
Full screen mode	全画面表示
Window mode	ウィンドウ表示
Save as (in screen size/resolution)	名前を付けて保存 (画面サイズ/解像度)
Save processed image to JPEG file (screen size)	加工した画像をJPEGに保存 (画面サイズ)
Settings/Admin	設定/管理者
Edit global settings...	共通設定の変更...
Edit user settings...	個人設定の変更...
Backup parameter DB...	パラメーターのバックアップ...
Restore parameter DB...	バックアップしたパラメーターの復元...
No user INI file exits yet. Create user INI file from INI file template?	個人用のINIがありません。テンプレートから新規のINIファイルを作成しますか？
Copying parameter DB to file '%s' failed. Reason: %s	ファイル %s へのパラメーターのコピーが失敗しました。原因: %s
Select parameter DB to restore	復元するパラメーターファイルを選択
Conflicting entries in Param DB	パラメーターの設定に競合があります
The imported param DB contains entries already present in active param DB.	インポートしたパラメーターが現在有効なパラメーターと競合します。
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	現在のパラメーターを維持(Yes)、インポートを有効化(No)
Select file to display in 'File Open' dialog	画像ファイルを「開く」で選択
Crop Mode	切り取り比
Free	自由選択
Fixed size...	固定サイズ...
Set Fixed Crop Size	切り取りサイズの固定
Width	幅
Height	高さ
Pixels	ピクセル
Screen Pixels	モニターのピクセル数
Image Pixels	画像のピクセル数
Set modification date	更新日時を設定
to current date	現在の日時
to EXIF date	EXIFの日時
Mark image for toggling. Use %s to toggle between marked and current image	切り替え画像に指定。 %s で現在の画像と切り替え
Saturation	彩度
Unsharp mask...	ぼかしマスク...
Apply Unsharp Mask	ぼかしマスクを適用
Radius	半径
Amount	量
Threshold	閾値
Apply	適用
Cancel	キャンセル
Keep processing parameters between images	他の画像にも加工パラメーターを適用
Show histogram	ヒストグラムを表示
Hide histogram	ヒストグラムを非表示
Crop Selection Lossless...	選択範囲をロスレスで切り取り...
Save cropped image	切り取り範囲を保存
Rotate image by user-defined angle	任意の角度で画像を回転
Rotate Image	画像を回転
Show grid lines	グリッドを表示
Auto crop rotated image (avoids black border)	回転した画像を自動で切り取り (黒背景を除く)
Align image to horizontal or vertical line	縦/横の線に揃える
Use the mouse to draw a line that shall be horizontal or vertical.	マウスで縦か横の線を描きます。
Rotate the image by dragging with the mouse.	マウスのドラッグで回転します。
The operation failed because not enough memory is available!	メモリー不足で操作に失敗
to EXIF date (all files in folder)	EXIFの日時 (フォルダ内すべて)
Number of JPEG files in folder: %d	フォルダ内のJPEGファイル数: %d
EXIF date successfully set on %d images, failed on %d images	EXIFの日時に設定 成功:%d, 失敗:%d
Reason: Not enough memory available	原因: メモリー不足
Transform image	画像の変形
Rotate...	回転...
Mirror horizontally	横に反転
Mirror vertically	縦に反転
Random	ランダム
Zoom mode (drag mouse to zoom)	拡大モード (マウスでドラッグ)
Correct converging lines (perspective correction)	消失点の調整 (遠近法)
Perspective Correction	遠近法の調整
Perspective correction...	遠近法の調整...
Auto crop corrected image (avoids black border)	加工した画像を自動で切り取り(黒背景を除く)
Click and drag the mouse vertically to correct image tilt.	縦方向にマウスでドラッグし画像の傾きを調整します、
Drag at the left or right border for asymmetric correction.	左右の辺のドラッグで非対称に調整します。
Fit window to image	画像にウィンドウをフィット
Keep aspect ratio on crop	切り取りで縦横比を維持
Lossless JPEG transformations	JPEGをロスレスで変形
Performing the lossless transformation failed!	ロスレス変形に失敗
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	ロスレス変形では縦/横サイズを8または16の倍数にしてください。
Reading the JPEG file from disk failed	JPEGファイル読み込み失敗
Writing the resulting JPEG file to disk failed	JPEGファイル保存失敗
Performing the transformation failed	変形失敗
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	変形は次のサイズの場合に可能です。ただし境界のピクセルはトリミングされます。
Trim the image and apply transformation? Trimming cannot be undone!	境界をトリミングして変形しますか？ 元に戻せません。
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	注意: INIファイルに TrimWithoutPromptLosslessJPEG=true を設定すると、警告なしでトリミングします。
Transition Effect	遷移時の視覚効果
None	なし
Blend	ブレンド
Slide from right	右からスライド
Slide from left	左からスライド
Slide from top	上からスライド
Slide from bottom	下からスライド
Roll from right	右からロール
Roll from left	左からロール
Roll from top	上からロール
Roll from bottom	下からロール
Scroll from right	右からスクロール
Scroll from left	左からスクロール
Scroll from top	上からスクロール
Scroll from bottom	下からスクロール
Transition Speed	遷移時間
Very fast	速い
Fast	速め
Normal	標準
Slow	遅め
Very slow	遅い
Error	エラー
Warning	注意
Error while writing the following registry key:	以下のレジストリーキーの書き込みエラーです:
Set as default viewer...	規定の画像ビューアとして設定...
Set JPEGView as default image viewer	JPEGView を規定の画像ビューアに設定
JPEGView is registered as default viewer for the selected file formats.	指定の画像形式で、JPEGView を既定のビューアに設定しました。
Registration applies to the current user only.	関連付けは現在のユーザーのみに有効です。
Extension	拡張子
File type	ファイルタイプ
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	以下の拡張子は、レジストリの 'local machine' 内で関連付けされているので登録を解除できません。
Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	この拡張子の関連付け/解除には管理者権限が必要なので、JPEGViewでは変更できません。
Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	関連付け実行は「OK」、変更しない場合は「キャンセル」を選択してください。
Unregistering not possible	解除できません
%s images	%s 個の画像
%s images (processed by Window Imaging Component - WIC)	%s 個の画像 (Windows Imaging - WIC で処理)
%s camera raw images (embedded JPEGs only)	%s 個のRAW画像 (埋め込みJPEGのみ)
The following image extensions are protected by the operating system.	以下の画像用の拡張子は Windows によって保護されています。
Insufficient rights to remove the restrictions. Continue?	制限の除去に必要な権限がありません。続けますか？
No image loaded!	画像なし
Right mouse button: Context menu	マウスの右クリック: コンテキストメニュー
Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 では、これらのファイルの既定のビューアに JPEGView を指定できません。
Use the 'Default Programs' configuration dialog from the operating system instead.	代わりに、Windowsの設定の「既定のプログラム」を利用してください。
Alternatively, right click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	あるいは、エクスプローラーで画像ファイルを右クリックして、「プログラムから開く」から「既定のプログラム」を選択します。
User commands	ユーザーコマンド
Open image with	プログラムで画像を開く
Manage 'Open image with' menu...	「プログラムから開く」メニューの管理...
Menu entries:	メニュー項目:
Title:	タイトル:
Application:	アプリケーション:
Shortcut key:	ショートカットキー:
Browse...	参照...
New	新規
Delete	削除
Modifier keys:	修飾キー:
Known keys:	キー:
Combine keys with '+'	'+'でキーの組み合わせ
Example:	例:
Shortcut Help	ヘルプ
[new entry]	[新しい項目]
Applications	アプリケーション
Select application	アプリケーションを選択
Save	保存
Edit	編集
Upcounting	順増
Downcounting	順減
File size	ファイルサイズ
Do you really want to delete the current image file on disk?	この画像ファイルを削除しますか？
Delete image file	画像ファイルを削除
Change size...	サイズ変更...
Resize Image	画像サイズの変更
OK	OK
New size:	サイズの指定:
New width:	幅の指定:
New height:	高さの指定:
Filter:	フィルター:
Box	ボックス
Lanczos/Bicubic	ランチョス/バイキュービック
Sharpen low	シャープ 低
Sharpen medium	シャープ 中
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	指定サイズが大きすぎます。 縦か横が65535以上、または、ピクセルの総数が多すぎます。
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView は、JPEG、BMP、PNG、WEBP、TGA、GIF、TIFF に対応し、軽快・高速かつ広くカスタマイズできる余分な装飾を抑えた画像ビューア/エディターです。
Hour / Minute (as numbers)	時/分 (数字)
Set as desktop wallpaper	デスクトップの壁紙に設定
Use original image	元の画像を使用
Use processed image as displayed	表示されている加工済み画像を使用
Reset	リセット
Print image...	画像の印刷...
Print Image	画像の印刷
Print	印刷
Select Printer...	プリンターの選択...
Printer:	プリンター:
Paper:	用紙サイズ:
Source:	給紙方法:
Orientation:	印刷の向き:
Portrait	縦
Landscape	横
Size:	サイズ:
Fit to paper	用紙サイズに合わせる
cm	cm
Scaling mode:	拡大モード:
Printer driver	プリンタードライバー
Alignment:	整列の位置:
Margins:	余白:
Left	左
Right	右
Top	上
Bottom	下
Fill paper with crop	用紙を満たすように拡大
Update user settings...	個人設定の更新...
Update user settings with new settings from settings template file?	設定用テンプレートファイルの新しい設定で個人設定を更新しますか？
All existing user settings will be preserved.	すべての個人設定は保存されます。
Location:	位置情報:
Altitude (m): 標高 (メートル):
Open containing folder in Explorer	エクスプローラーで含むフォルダを開く
