//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: fr
//: ISO 3166-1 code:
//: Language: French (Français)
//: Translator(s) - Name <Contact Info/URL>: Ronan Plantec <rplantec@laposte.net>
//: Last Updated: 2023-03-09
//: Additional Notes:
//old French translator Laurent Grenet <https://github.com/LaurentGrenet> until 2023-02-09
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d fichier(s) renommé(s), %d fichier(s) copié(s), %d dossier(s) créé(s)
%s camera raw images (embedded JPEGs only)	%s images photo brutes (seulement les JPEG embarqués)
%s images	%s images
%s images (processed by Window Imaging Component - WIC)	%s images (traitées avec Windows Imaging Component - WIC)
'My Pictures' folder	Dossier 'Images'
Manage 'Open image with' menu...	Configurer le menu 'Ouvrir avec'...
Margins:	Marges :
Mark image for toggling. Use %s to toggle between marked and current image	Marquer l'image pour la basculer. Utilisez %s pour basculer entre l'image marquée et l'image courante
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Agrandir/Restaurer vers/depuis le bureau virtuel (uniquement si plusieurs écrans)
Menu entries:	Entrées du menu :
Modification date:	Date de modification :
Modifier keys:	Touches de bascule :
Month / Short form (text)	Mois / simplifié (texte)
Mouse wheel	Molette de la souris
Navigation	Dossiers
New	Nouveau
New height:	Nouvelle hauteur :
New name (>> : file gets copied)	Nouveau nom (>> : le fichier est copié)
New name contains backslash character!	Le nouveau nom contient un caractère barre oblique inversée !
New size:	Nouvelle taille :
New width:	Nouvelle largeur :
Next image	Image suivante
No image loaded!	Aucune image chargée !
No user INI file exists yet. Create user INI file from INI file template?	Le fichier INI utilisateur n'existe pas encore. En créer un depuis le fichier INI modèle ?
None	Aucun
Not enough memory available	mémoire insuffisante
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	Note : si vous souhaitez systématiquement redécouper sans montrer ce message d'alerte, spécifiez la valeur 'CropWithoutPromptLosslessJPEG=true' dans le fichier INI.
Number (consecutively numbered)	Numéro (numéroté consécutivement)
Number of CPU cores used	Nombre de coeurs de processeur utilisés
Number of JPEG files in folder: %d	Nombre d'images JPEG dans le dossier : %d
Number with N digits	Numéro à N chiffres
OK	OK
Old name	Ancien nom
Open folder containing image and select in Windows Explorer	Afficher le fichier dans l'explorateur
Open new image or slideshow file	Ouvrir un fichier nouvelle image ou un diaporama
Order files by	Tri des fichiers par
Orientation:	Orientation :
Original file extension	Extension du fichier original
Original file name (with extension)	Nom du fichier original (avec extension)
Original file name (without extension)	Nom du fichier original (sans extension)
Pan image	Parcourir l'image
Paper size:	Papier :
Parameter DB	Paramètre BdD
Parameter DB error	Erreur de paramètre de BdD
Parameter DB file '%s' could not be opened!	Le fichier BdD du paramètre '%s' n'a pas pu être ouvert !
Parameter DB file '%s' is not valid (invalid header)!	Le fichier BdD du paramètre '%s' n'est pas valide (en-tête invalide) !
Paste from clipboard	Coller
Pasting image from clipboard failed!	Le collage de l'image depuis le presse-papiers a échoué !
Performing the lossless transformation failed!	Echec lors de la tranformation sans perte !
Performing the transformation failed	Echec lors de la tentative de transformation
Perspective Correction	Correction de la perspective
Pixels	Pixels
Placeholders:	Paramètres substituables :
Portrait	Portrait
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	Appuyez sur 'OK' pour continuer quand même, ou sur 'Cancel' pour annuler toute modification.
Press ESC to exit...	Appuyez sur Échap pour quitter...
Press any key to search the subdirectories for image files.	Appuyez sur une touche pour rechercher des fichiers images dans les sous-répertoires.
Preview	Prévisualiser
Previous image	Image précédente
Print	Imprimer
Print Image	Imprimer image
Printer driver	Pilote d'imprimante
Printer:	Imprimante :
Project home page	Page d'accueil du projet
Radius	Rayon
Random	Aléatoire
Reading the JPEG file from disk failed	Echec de lecture depuis le disque du fichier JPEG
Reason:	Raison:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	Intervenir dans cette zone de la base de registre demande des droits d'administrateur et ne peut pas être effectué depuis JPEGView.
Registration applies to the current user only.	Ceci s'applique seulement à l'utilisateur en cours.
Remove from	Supprimer
Rename	Renommer
Rename/copy images to:	Renommer/copier les images vers :
Renaming file failed!	Le renommage a échoué !
Reset	Réinitialiser
Resize Image	Redimensionner
Right	Droite
Right mouse button: Context menu	Clic droit : menu contextuel
Roll from bottom	Dérouler depuis le bas
Roll from left	Dérouler depuis la gauche
Roll from right	Dérouler depuis la droite
Roll from top	Dérouler depuis le haut
Rotate Image	Pivoter
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Pivoter de 270° (sans perte si largeur/hauteur multiple de 16) et enregistrer le fichier
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Pivoter de 90° (sans perte si largeur/hauteur multiple de 16) et enregistrer le fichier
Rotate image 90 deg clockwise	Pivoter de 90° en sens horaire
Rotate image 90 deg counter-clockwise	Pivoter de 90° en sens anti-horaire
Rotate image and fit to screen	Pivoter et ajuster l'image à l'écran
Rotate image by user-defined angle	Pivoter selon un angle au choix
Rotate the image by dragging with the mouse.	Cliquez et bougez la souris dans la direction où vous souhaitez faire pivoter l'image.
SIMD mode used	Mode SIMD utilisé
Same as Image	Mêmes proportions que l'image
Saturation	Saturation
Save	Enregistrer
Save (%s) / delete (%s) image processing parameters into/from parameter DB	Sauvegarder (%s)/supprimer (%s) les paramètres de traitement dans/depuis cette image dans la BdD
Save as (in screen size/resolution)	Enregistrer sous (à la taille/résolution de l'écran)
Save as template	Enregistrer comme modèle
Save cropped image	Enregistrer l'image rognée
Save processed image to JPEG file (original size)	Enregistrer l'image traitée en JPEG (taille originale)
Save processed image to JPEG file (screen size)	Enregistrer l'image traitée en JPEG (capture écran)
Save to	Enregistrer
Scaling mode:	Mise à l'échelle par :
Screen Pixels	Pixels écran
Scroll from bottom	Faire défiler depuis le bas
Scroll from left	Faire défiler depuis la gauche
Scroll from right	Faire défiler depuis la droite
Scroll from top	Faire défiler depuis le haut
Select Printer...	Choisir l'imprimante...
Select all	Sélectionner tout
Select application	Choisir une application
Select file to display in 'File Open' dialog	Sélectionnez le fichier à afficher dans la boîte de dialogue "Ouvrir"
Select none	Aucune sélection
Select parameter DB to restore	Sélectionner la BdD de paramètres à restaurer
Set Fixed Crop Size	Définir la taille fixe du rognage
Set JPEGView as default image viewer	Définir JPEGView comme visionneuse d'images par défaut
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Configurer le délai respectivement à n/10 s, n/100 s (Ctrl+Maj)
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	Souhaitez-vous conserver les entrées existantes (Oui) ou les écraser avec les entrées importées (Non) ?
Sharpen	Netteté
Sharpen low	Netteté (faible)
Sharpen medium	Netteté (moyenne)
Shortcut Help	Aide raccourcis
Shortcut key:	Raccourci clavier :
Show filename	Afficher le nom du fichier
Show first image in folder	Afficher la première image du dossier
Show grid lines	Afficher la grille
Show histogram	Afficher l'histogramme
Show last image in folder	Afficher la dernière image du dossier
Show navigation panel	Afficher la barre de navigation
Show next image	Afficher l'image suivante
Show picture info (EXIF)	Afficher les infos photo (EXIF)
Show previous image	Afficher l'image précédente
Show/hide file name	Afficher/masquer le nom du fichier
Show/hide navigation panel	Afficher/masquer le panneau de navigation
Show/hide picture information (EXIF data)	Afficher/masquer les informations sur l'image (données EXIF)
Show/hide this help text	Afficher/masquer ce texte d'aide
Size:	Taille :
Slide from bottom	Faire glisser depuis le bas
Slide from left	Faire glisser depuis la gauche
Slide from right	Faire glisser depuis la droite
Slide from top	Faire glisser depuis le haut
Slideshow	Diaporama
Slideshow with timeout of 'n' seconds (ESC to stop)	Diaporama avec un délai de n secondes (Échap pour arrêter)
Software:	
Sort images by creation date, resp. modification date, resp. file name	Trier les images par date de création, date de modification, nom du fichier
Source:	Source :
Target folders that do not yet exist are created as needed.	Les dossiers cibles qui n'existent pas sont créés en cas de besoin.
The directory '%s' does not contain any image files!	Le répertoire '%s' ne contient aucun fichier image !
The file '%s' could not be copied!	Le fichier '%s' n'a pas pu être copié !
The file '%s' could not be read!	Le fichier '%s' n'a pas pu être lu !
The file '%s' could not be renamed!	Le fichier '%s' n'a pas pu être renommé !
The file '%s' does not contain a list of file names!	Le fichier '%s' ne contient pas de liste de noms de fichiers !
The file is read-only!	Le fichier est en lecture seule !
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Ces extensions ne peuvent pas être non-enregistrées, car elles ont été définies dans la zone 'Local machine' de la base de registres.
The following image extensions are protected by the operating system.	Ces extensions de fichier sont protégées par le système d'exploitation.
The imported param DB contains entries already present in active param DB.	La BdD de paramètres importée contient des entrées déjà présentes dans la BdD de paramètres active.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	La nouvelle taille est trop grande - la largeur ou la hauteur est supérieure à 65535 ou le nombre total de pixels est trop élevé !
The old parameter DB file '%s' could not be renamed during conversion to new format!	L'ancien fichier BdD de paramètres '%s' n'a pas pu être renommé lors de la conversion au nouveau format !
The operation failed because not enough memory is available!	Mémoire insuffisante pour effectuer l'opération !
The parameter DB file '%s' has been created by a newer version of JPEGView!	Le fichier BdD de paramètres '%s' a été créé par une version plus récente de JPEGView !
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	La transformation peut être effectuée en redécoupant l'image à la taille convenable la plus proche, mais quelques pixels de bord vont être perdus.
These values will override the values from the INI file located in the program folder of JPEGView!	Ce fichier INI utilisateur aura priorité sur le fichier INI du dossier programme de JPEGView !
Threshold	Seuil
Title:	Titre :
Toggle between screens (only for multi-monitor systems)	Basculer entre les écrans (seulement si plusieurs écrans)
Toggle window always on top mode	Activer/désactiver le mode "Toujours au premier plan"
Toggle window title bar hidden mode	Activer/désactiver le mode "Barre de titre cachée"
Top	Haut
Transition Effect	Effet de transition
Unregistering not possible	Modification impossible
Unsharp mask...	Filtre de netteté...
Update user settings with new settings from settings template file?	Souhaitez-vous mettre à jour le fichier des paramètres utilisateur avec les nouveaux paramètres issus du fichier modèle ?
Use the 'Default Programs' configuration dialog from the operating system instead.	Utilisez les 'Programmes par défaut' du Panneau de configuration - Programmes.
Use the mouse to draw a line that shall be horizontal or vertical.	Utilisez la souris pour dessiner une ligne horizontale ou verticale.
Warning	Attention
Width	Largeur
Window mode	Mode fenêtré
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Windows 8 (et suivant) empêche JPEGView de changer le programme par défaut pour ces extensions.
Writing the resulting JPEG file to disk failed	Echec d'écriture du fichier JPEG sur le disque
Y - B	J - B
Year short form (2 digits)	Année forme courte (2 chiffres)
Yellow-Blue	Jaune-Bleu
Zoom 1:1 (100 %)	Zoom 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	Zoom avant (%s)/Zoom arrière (%s)
Zoom in/out image	Zoom avant/arrière sur l'image
Zoom mode (drag mouse to zoom)	Mode zoom (déplacez la souris pour zoomer)
and image processing (brightness/contrast/sharpen) parameters between images	et de visualisation (gamma/contraste/netteté) d'une image à l'autre
cm	cm
in	in
new menu entry	nouvelle entrée de menu
no	non
off	Inactif
on	Actif
user-defined	Défini par l'utilisateur
yes	oui

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Arrêter le diaporama/film
Open image...	Ouvrir...
Open image with	Ouvrir avec
Save processed image...	Enregistrer l'image traitée...
Reload image	Recharger l'image
Open containing folder in Explorer	Afficher le fichier dans l'explorateur
Print image...	Imprimer...
Batch rename/copy...	Traitement par lot renommer/copier ...
Set modification date	Changer la date de modification
to current date	à la date du jour
to EXIF date	à la date EXIF
to EXIF date (all files in folder)	à la date EXIF (tous les fichiers du dossier)
Set as desktop wallpaper	Définir comme fond d'écran
Use original image	L'image originale
Use processed image as displayed	L'image traitée, telle que visible
Copy to clipboard	Copier l'image traitée (capture écran) vers le presse-papiers
Copy original size image	Copier l'image traitée (taille réelle)
Copy file path	Copier le chemin complet de l'image
Display order	Tri par...
Modification date	Date de modification
Creation date	Date de création
Play folder as slideshow/movie	Jouer le dossier comme diaporama/film
Waiting time	Temps d'attente
1 sec	1 s
2 sec	2 s
3 sec	3 s
4 sec	4 s
5 sec	5 s
7 sec	7 s
10 sec	10 s
20 sec	20 s
Transition Speed	Vitesse de transition
Very fast	Très rapide
Fast	Rapide
Normal	Normal
Slow	Lent
Very slow	Très lent
Movie	Film
Playback speed	Vitesse d'animation
5 fps	5 ips
10 fps	10 ips
25 fps	25 ips
30 fps	30 ips
50 fps	50 ips
100 fps	100 ips
Transform image	Transformations
Rotate +90	Rotation +90
Rotate -90	Rotation -90
Rotate...	Pivoter...
Change size...	Changer la taille...
Perspective correction...	Correction de la perspective...
Mirror horizontally	Inversion horizontale
Mirror vertically	Inversion verticale
Rotate 180	Rotation 180
Auto correction	Corrections couleurs et contraste
Save parameters to DB	Sauvegarder les paramètres dans la BdD
Clear parameters from DB	Supprimer les paramètres de la BdD
Zoom	Zoom
Span all screens	Couvrir tous les écrans
Fit window to image	Ajuster la fenêtre à l'image
Hide window title bar	Cacher la barre de titre
Set window always on top	Positionner la fenêtre toujours au premier plan
Settings/Admin	Configuration/Administration
Edit global settings...	Éditer le fichier INI de configuration globale...
Edit user settings...	Éditer le fichier INI de configuration utilisateur...
Update user settings...	Mettre à jour les paramètres de l'utilisateur...
Set current parameters as default values...	Sauvegarder les réglages comme défaut dans le fichier INI...
Set as default viewer...	Définir comme visionneuse par défaut...
Backup parameter DB...	Sauvegarder la BdD de paramètres
Restore parameter DB...	Restaurer une BdD de paramètres
User commands	Commandes utilisateur
About JPEGView...	À propos de JPEGView...
Exit	Quitter
Crop Selection	Rogner la sélection
Crop Selection Lossless...	Rogner la sélection sans pertes...
Copy Selection to Clipboard	Copier la sélection vers le presse-papiers
Crop Mode	Mode rognage
Free	Libre
Fixed size...	Taille fixe...
Zoom to Selection	Zoom sur la sélection

// ::: INFO: Out-of-date Translations [13] ::: (Not in use anymore, safe to delete) //
//No file or folder name was provided as command line parameter!	Il n'y aucun nom de fichier ou de dossier en paramètre de la ligne de commande !
//PgDn or Right	Pg.Suiv ou Droite
//PgUp or Left	Pg.Préc ou Gauche
//Rename:	Renommer :
//Rotate the following file lossless by 270 deg?\n%filename%	Pivoter de 270° et enregistrer le fichier ?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	Pivoter de 90° et enregistrer le fichier ?\n%filename%
//The file '%s' could not be %s.	Le fichier '%s' n'a pas pu être %s.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Pour utiliser JPEGView, associez les formats JPG, JPEG et BMP avec JPEGView.
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 empêche JPEGView de changer le programme par défaut pour ces extensions.
//[new entry]	[nouvelle entrée]
//copied	copié
//renamed	renommé
//up/down	haut/bas

// ::: INFO: Missing Translations [2] ::: (Summary to assist translators: All missing strings which require translation) - Auto-generated by script //
//! Exif Date Time:
//! Software:

// ::: INFO: Same Translations [14] ::: (Summary to assist translators: All strings which are known not to need translation [String == Translation]) - Auto-generated by script //
//! %s images
//! Altitude (m):
//! Applications
//! Date
//! Extension
//! Images
//! OK
//! Pixels
//! Portrait
//! Saturation
