//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: cs
//: ISO 3166-1 code:
//: Language: Czech
//: Translator(s) - Name <Contact Info/URL>: Milos Koutny, mail:<milos(dot)koutny(at)gmail(dot)com>
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d soubor(y) přejmenován, %d soubor(y) zkopírován, %d složka(y) vytvořena
%s camera raw images (embedded JPEGs only)	%s zrojové soubory z kamery (pouze zapouzdřený JPEG)
%s images	%s obrázky
%s images (processed by Window Imaging Component - WIC)	%s obrázky (zpracovány Window Imaging Component - WIC)
'My Pictures' folder	Složka mé obrázky
Landscape	
Landscape picture enhancement mode	Vodorovný obrázek (krajina) rošířený mód
Last modification date/time	Datum a čas poslední změny
Left	
Left mouse & drag	Levé tlačítko a posun myší
Licensed under the GNU general public license (GPL), see readme file for details	Licencováno dle „GNU general public license (GPL)“,  podrobnosti obsahuje soubor readme:
Lighten Shadows	Zjasnit stíny
Local density correction	Lokální korekce hustoty
Location:	
Loop folder	Zacyklit složku
Loop recursively	Zacyklit nekonečně
Loop siblings	Zacyklit vše na úrovni složky
Loop through files in current directory and all sibling folders (folders on same level)	Cyklické prohlížení souborů v aktuálni složce a složkách ve stejné úrovni.
Loop through files in current directory and all subfolders	Cyklické prohlížená souborů v aktuální složce a jejich podsložkách
Loop through files in current folder	Cyklické prohlížení souborů v aktuální složce
Lossless JPEG transformations	Bezeztrátové JPEG transformace
M - G	
Magenta-Green	Purpurová(M)-Zelená(G)
Manage 'Open image with' menu...	
Margins:	
Mark image for toggling. Use %s to toggle between marked and current image	Označit obrázek k úpravám. %s přepnout mezi označeným a aktuálním obrázkem.
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Maximalizovat/Obnovit z virtuální plochy (jen systém s více monitory)
Menu entries:	
Modification date:	Čas modifikace:
Modifier keys:	
Month / Short form (text)	Měsíc / Krátká forma (text)
Mouse wheel	Kolečko myši
Navigation	Procházení
New	
New height:	
New name (>> : file gets copied)	Nové jméno (>> : file se zkoupíruje)
New name contains backslash character!	Nové jméno obsazuje znak zpětné lomítko (\) !
New size:	
New width:	
Next image	Další obrázek
No image loaded!	Obrázek nenačten!
No user INI file exists yet. Create user INI file from INI file template?	Uživatelský INI soubor zatím neexistuje. Vytvořit uživateský INI soubor z templatu INI souboru?
None	Žádný
Not enough memory available	Není dostupná dostatečná paměť
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	Pozn.:Nastavením klíče 'CropWithoutPromptLosslessJPEG=true' v INI souboru lze ostřihovat vše bez této zprávy.
Number (consecutively numbered)	Čísla (postupně očíslované)
Number of CPU cores used	Počet užitých jader CPU
Number of JPEG files in folder: %d	Počet JPEG souborů ve složce: %d
Number with N digits	Číslo s N číslicemi
OK	
Old name	Staré jméno
Open folder containing image and select in Windows Explorer	
Open new image or slideshow file	Otevřít nový obrázek nebo prezentaci
Order files by	Řadi soubory podle
Orientation:	
Original file extension	Původní přípona souboru
Original file name (with extension)	Původní název souboru (s příponou)
Original file name (without extension)	Původní název souboru (bez přípony)
Pan image	Posunout obrázek
Paper size:	
Parameter DB	Parametry DB
Parameter DB error	Chyba parametr DB
Parameter DB file '%s' could not be opened!	Parametrový DB soubor '%s'nelze otevřít!
Parameter DB file '%s' is not valid (invalid header)!	Parametrový DB soubor '%s' není platný (neplatná hlavička)!
Paste from clipboard	Vložit ze schránky
Pasting image from clipboard failed!	Vložení obrázku ze schránky selhalo
Performing the lossless transformation failed!	Provedení bezeztrátové transformace selhalo!
Performing the transformation failed	Chyba při provádění transformace!
Perspective Correction	Perspektivní korekce
Pixels	Bodů
Placeholders:	Zástupné znaky:
Portrait	
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	Zvolet 'OK' pro pokračování registrace nebo 'Zrušit' ke změně registrace.
Press ESC to exit...	Ukončit ESC...
Press any key to search the subdirectories for image files.	Stisknout nějakou klávesu na vyhledání složky s obrázky.
Preview	Náhled
Previous image	Předchozí obrázek
Print	
Print Image	
Printer driver	
Printer:	
Project home page	Domácí stránka projektu
Radius	Poloměr
Random	Náhodně
Reading the JPEG file from disk failed	Chyba čtení JPEG souboru z disku!
Reason:	Důvod:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	Registrace a odregistrace přípon souborů v registru vyžaduje administátorská práva a nemůže být provedena v JPEGView.
Registration applies to the current user only.	Registrace platí pro právě přihlášeného uživatele
Remove from	Odstranit z
Rename	Přejmenovat
Rename/copy images to:	Přejmenovat/kopírovat obrázky do:
Renaming file failed!	Přejmenování souboru selhalo!
Reset	
Resize Image	
Right	
Right mouse button: Context menu	Pravé tlačítko myši: Kontextové menu
Roll from bottom	Rolovat zdola
Roll from left	Rolovat zleve
Roll from right	Rolovat zprava
Roll from top	Rolovat zhora
Rotate Image	Otočit obrázek
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Otočit aktuální obrázek (bezeztrátově) na disku o 270 stupňů (rozměry musí být násobek 16)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Otočit aktuální obrázek (bezeztrátově) na disku o 90 stupňů (rozměry musí být násobek 16)
Rotate image 90 deg clockwise	Otočit obrázek o 90 stupňů doprava (CW)
Rotate image 90 deg counter-clockwise	Otočit obrázek o 90 stupňů doleva (CCW)
Rotate image and fit to screen	Rotovat a přizpůsobit obrázek obrazovce
Rotate image by user-defined angle	Otočit obrázek o uživatelem zadaný úhel
Rotate the image by dragging with the mouse.	Otočit obrázek pomocí tažení myší.
SIMD mode used	SIMD mód
Same as Image	
Saturation	Nasycení
Save	
Save (%s) / delete (%s) image processing parameters into/from parameter DB	Uložit (%s)/vymazat (%s) parametry úprav obrázku do/z DB parametrů
Save as (in screen size/resolution)	Uložit jako (ve velikosti/rozlišení obrazovky)
Save as template	Uložit jako vzor (template)
Save cropped image	Uložit zastřižený obrázek
Save processed image to JPEG file (original size)	Uložit upravený soubor do JPEG souboru (originální rozměr)
Save processed image to JPEG file (screen size)	Uložit upravený obrázek do JPEG souboru (rozměr obrazovky)
Save to	Uložit jako
Scaling mode:	
Screen Pixels	Obrazovkových bodů
Scroll from bottom	Odrolovat zdola
Scroll from left	Odrolovat zleva
Scroll from right	Odrolovat zprava
Scroll from top	Odrolovat zhora
Select Printer...	
Select all	Vybrat vše
Select application	
Select file to display in 'File Open' dialog	Zvolit soubor k zobrazení file v 'Otevřít sobour' nabídce.
Select none	Zrušit výběr
Select parameter DB to restore	Vybrat DB parametrů DB k obnovení
Set Fixed Crop Size	Nastavit pevnou velikost zastřižení
Set JPEGView as default image viewer	Nastavit JPEGView jako výchozí prohlížeč
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Nastavit přestávku na n/10 sekund, příp. n/100 sekund (Ctrl+Shift)
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	Mají být existující položky být chráněný (Ano) nebo přepsány importovanými položkami (Ne)?
Sharpen	Ostrost
Sharpen low	
Sharpen medium	
Shortcut Help	
Shortcut key:	
Show filename	Ukázat název souboru
Show first image in folder	Zobrazit první obrázek ve složce
Show grid lines	Ukázat čáry mřížky
Show histogram	Zobrazit histogram
Show last image in folder	Zobrazit poslední obrázek ve složce
Show navigation panel	Zobrazit ovládací panel
Show next image	Zobrazit následující obrázek
Show picture info (EXIF)	Ukázat informace of obrázku (EXIF)
Show previous image	Zobrazit předchozí obrázek
Show/hide file name	Zobrazit/skrýt jméno souboru
Show/hide navigation panel	Zobrazit/skrýt ovládací panel
Show/hide picture information (EXIF data)	Zobrazit/skrýt obrazové metadata (EXIF Data)
Show/hide this help text	Zobrazit/skrýt tuto nápovědu
Size:	
Slide from bottom	Posun zdola
Slide from left	Posun zleva
Slide from right	Posun zprava
Slide from top	Posun zhora
Slideshow	Prezentace s přestávkou n sekunt (ESC ukončení)
Slideshow with timeout of 'n' seconds (ESC to stop)	Prezetovat s přestávkou n sekunt (ESC ukončení)
Software:	
Sort images by creation date, resp. modification date, resp. file name	Řadit obrázky dle data pořízení/data úpravy/jména souboru
Source:	
Target folders that do not yet exist are created as needed.	Cílové složky, neexestující budou vytvořeny dle potřeby.
The directory '%s' does not contain any image files!	Složka '%s' neobsahuje žádné soubory k zobrazení!
The file '%s' could not be copied!	
The file '%s' could not be read!	Soubor '%s' nemohl být přečten!
The file '%s' could not be renamed!	
The file '%s' does not contain a list of file names!	Soubor '%s' neobsahuje seznam jmen souborů!
The file is read-only!	Rozměr obrázku je jen k přečtení!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Následující přípony soborů nemohou být odregistrovány protože byly registrovány v 'místním počítači' registru.
The following image extensions are protected by the operating system.	Následující přípony obrázků jsou chráněny operačním systémem.
The imported param DB contains entries already present in active param DB.	Importovaná DB parametrů obsahuje položky již dostupné v aktivní DB.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	
The old parameter DB file '%s' could not be renamed during conversion to new format!	Starý parametrový DB soubor '%s' nemohl být přejmenován během konverze do novějšího formátu!
The operation failed because not enough memory is available!	Operace selhala pro nedostatek paměti k provedení!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Parametrový DB soubor '%s' byl vytvořen novější verzí JPEGView!
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	Transformace muže být provedena jen s ostřižením obrázku na nejbližší vhodný rozměr, to způsobí odstranění některých bodů na krajích.
These values will override the values from the INI file located in the program folder of JPEGView!	Tyto hodnoty nahradí hodnoty z INI souboru v adresáři JPEGView!
Threshold	Bod zlomu
Title:	
Toggle between screens (only for multi-monitor systems)	Přepnutí mezi obrazovkami (jen pro více monitorové systémy)
Toggle window always on top mode	
Toggle window title bar hidden mode	
Top	
Transition Effect	Přechodový efekt
Unregistering not possible	Odregistrace není možná.
Unsharp mask...	Rozostřit masku
Update user settings with new settings from settings template file?	
Use the 'Default Programs' configuration dialog from the operating system instead.	
Use the mouse to draw a line that shall be horizontal or vertical.	Užít myš ke kreslení linky pro horizontální nebo vertikálnímu zarovnání.
Warning	Varování
Width	Šířka
Window mode	Zobrazení v okně
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	
Writing the resulting JPEG file to disk failed	Chyba zápisu výsledného JPEG souboru na disk!
Y - B	
Year short form (2 digits)	Rok kráká forma (2 číslice)
Yellow-Blue	Žlutá(Y)-Modrá(B)
Zoom 1:1 (100 %)	Zobrazit 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Zvětšit (%s)/zmenšit (%s)
Zoom in/out image	Zvětšit/zmenšit obrázek
Zoom mode (drag mouse to zoom)	Změna rozlišení (táhnout myší ke změně)
and image processing (brightness/contrast/sharpen) parameters between images	a změný parametrů(jas/kontrast/ostření) obrazu mezi obrázky
cm	
in	
new menu entry	
no	ne
off	vypnuto
on	zapnuto
user-defined	
yes	ano

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Zastavit prezentaci/flim
Open image...	Otevřít obrázek...
Open image with	
Save processed image...	Uložit upravený obrázek...
Reload image	Znovu načíst obrázek
Open containing folder in Explorer	
Print image...	
Batch rename/copy...	Dávkové přejmenování/kopírování
Set modification date	Nastavit datum modifikace
to current date	na dnešní datum
to EXIF date	na EXIF datum
to EXIF date (all files in folder)	EXIF datum (všechny soubory ve složce)
Set as desktop wallpaper	
Use original image	
Use processed image as displayed	
Copy to clipboard	Kopírovat do schránky
Copy original size image	Kopírovat originální rozměr obrázku
Copy file path	
Display order	Zobraz třídění
Modification date	Datum změny
Creation date	Datum pořízení
Play folder as slideshow/movie	Přehrát složku jako prezentaci/film
Waiting time	Čekací čas
1 sec	
2 sec	
3 sec	
4 sec	
5 sec	
7 sec	
10 sec	
20 sec	
Transition Speed	Rychlost přechody
Very fast	Velmi rychle
Fast	Rychle
Normal	Normálnš
Slow	Pomalu
Very slow	Velmi pomalu
Movie	Film
Playback speed	
5 fps	
10 fps	
25 fps	
30 fps	
50 fps	
100 fps	
Transform image	Transformovat obraz
Rotate +90	Otočit +90
Rotate -90	Otočit -90
Rotate...	Rotovat...
Change size...	
Perspective correction...	Perspektivní korekce...
Mirror horizontally	Zrcadlit vodorovně
Mirror vertically	Zrcadlit svisle
Rotate 180	Otočit 180
Auto correction	Auto korekce
Save parameters to DB	Uložit parametry to DB
Clear parameters from DB	Smazat parametry z DB
Zoom	Měřítko
Span all screens	Užít všechny obrazovky
Fit window to image	Upnout okno k obrazu
Hide window title bar	
Set window always on top	
Settings/Admin	Nastavení/Administrátor
Edit global settings...	Upravit globální nastavení...
Edit user settings...	Upravit uživatelská nastavení...
Update user settings...	
Set current parameters as default values...	Uložit parametry do INI...
Set as default viewer...	Nastavit jako výchozí prohlížeč...
Backup parameter DB...	Zálohovat DB parametrů...
Restore parameter DB...	Obnovit DB parametrů
User commands	
About JPEGView...	O JPEGView...
Exit	Ukončit
Crop Selection	Ostřihnout výběr
Crop Selection Lossless...	Zastřihnou výběr bezeztrátově
Copy Selection to Clipboard	Zkopírovat výběr do schránky
Crop Mode	Mód zastřihávání
Free	Volno
Fixed size...	Pevná velikost...
Zoom to Selection	Zobrazit výběr

// ::: INFO: Out-of-date Translations [14] ::: (Not in use anymore, safe to delete) //
//However this will fail if the current user has no administration privileges.	Ačkoliv toto selže pokud uživatel nemá práva administrátora.
//Insufficient rights to remove the restrictions. Continue?	Nedostatečná práva k odstranění omezení. Pokračovat?
//JPEGView can try to remove the restrictions automatically.	JPEGView může zkusit odstranit omezení automaticky.
//No file or folder name was provided as command line parameter!	Nebylo zadáno jméno souboru nebo složky jako parametr příkazové řádky!
//PgDn or Right	PgDn nebo šipka vpravo
//PgUp or Left	PgUp nebo šipka vlevo
//Rename:	Přejmenovat:
//Rotate the following file lossless by 270 deg?\n%filename%	Otočit bezeztrátově o 270 stupňů soubor %filename% ?
//Rotate the following file lossless by 90 deg?\n%filename%	Otočit bezeztrátově o 90 stupňů soubor %filename% ?
//The file '%s' could not be %s.	Soubor '%s' nemohl být %s.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	K snažšímu užití JPEGView, asociovat JPG, JPEG a BMP soubory s JPEGView.
//copied	zkopírován
//renamed	přejmenován
//up/down	Šipka nahoru/dolů

// ::: INFO: Missing Translations [112] ::: (Summary to assist translators: All missing strings which require translation) - Auto-generated by script //
//! About JPEGView (32-bit version)...
//! About JPEGView (64-bit version)...
//! Alignment:
//! All existing user settings will be preserved.
//! Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'
//! Altitude (m):
//! Application:
//! Applications
//! Ascending
//! Bottom
//! Box
//! Browse...
//! C - R
//! Clipboard Image
//! Combine keys with '+'
//! Copy file path of the image to clipboard
//! Decoding this format requires the Microsoft Visual C++ Redistributable.
//! Delete
//! Delete image file
//! Descending
//! Do you really want to delete the current image file on disk?
//! Edit
//! Example:
//! Exif Date Time:
//! File size
//! Fill page with crop
//! Filter:
//! Fit to page
//! High quality resampling
//! Hour / Minute (as numbers)
//! Insufficient rights to change the privilege (DACL) on the registry entry. Continue?
//! JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.
//! Known keys:
//! Lanczos/Bicubic
//! Landscape
//! Left
//! Location:
//! M - G
//! Manage 'Open image with' menu...
//! Margins:
//! Menu entries:
//! Modifier keys:
//! New
//! New height:
//! New size:
//! New width:
//! OK
//! Open folder containing image and select in Windows Explorer
//! Orientation:
//! Paper size:
//! Portrait
//! Print
//! Print Image
//! Printer driver
//! Printer:
//! Reset
//! Resize Image
//! Right
//! Same as Image
//! Save
//! Scaling mode:
//! Select Printer...
//! Select application
//! Sharpen low
//! Sharpen medium
//! Shortcut Help
//! Shortcut key:
//! Size:
//! Software:
//! Source:
//! The file '%s' could not be copied!
//! The file '%s' could not be renamed!
//! The new size is too large - width or height is larger than 65535 or total number of pixels is too large!
//! Title:
//! Toggle window always on top mode
//! Toggle window title bar hidden mode
//! Top
//! Update user settings with new settings from settings template file?
//! Use the 'Default Programs' configuration dialog from the operating system instead.
//! Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.
//! Y - B
//! cm
//! in
//! new menu entry
//! user-defined
//! Open image with
//! Open containing folder in Explorer
//! Print image...
//! Set as desktop wallpaper
//! Use original image
//! Use processed image as displayed
//! Copy file path
//! 1 sec
//! 2 sec
//! 3 sec
//! 4 sec
//! 5 sec
//! 7 sec
//! 10 sec
//! 20 sec
//! Playback speed
//! 5 fps
//! 10 fps
//! 25 fps
//! 30 fps
//! 50 fps
//! 100 fps
//! Change size...
//! Hide window title bar
//! Set window always on top
//! Update user settings...
//! User commands

// ::: STATUS: Last Checked/Updated by Script ::: 2023-10-07T05:14:19.535670+00:00 //
//! Translation Progress: 74%
//! * Total (Strings + Menu) = 429
//! * Done = 317
//! * Missing = 112 (26%)
