//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: it
//: ISO 3166-1 code:
//: Language: Italian
//: Translator(s):
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d file rinominato(i), %d file copiato(i), %d cartella(e) creata(e)
%s camera raw images (embedded JPEGs only)	%s immagini "raw" della fotocamera (solo JPEGs incorporate)
%s images	%s immagini
%s images (processed by Window Imaging Component - WIC)	%s immagini (processate come WIC - Windows Imaging Component)
'My Pictures' folder	Cartella 'Mie Immagini'
Landscape	Orizzontale
Landscape picture enhancement mode	Modalità di miglioramento del paesaggio
Last modification date/time	Data/ora dell’ultima modifica
Left	Sinistro
Left mouse & drag	Tasto sinistro mouse e trascina
Licensed under the GNU general public license (GPL), see readme file for details	Rilasciato sotto licenza GNU General Public License (GPL), vedi il file leggimi per ulteriori dettagli
Lighten Shadows	Luci
Local density correction	Correzione della densità locale
Location:	Località:
Loop folder	Ricarica cartella
Loop recursively	Ricarica in modo ricorsivo
Loop siblings	Ricarica le cartelle di pari livello
Loop through files in current directory and all sibling folders (folders on same level)	Ricarica tra i file nella cartella attuale e tutte le cartelle pari livello
Loop through files in current directory and all subfolders	Ricarica tra i file della cartella attuale e tutte le sottocartelle
Loop through files in current folder	Ricarica i file della cartella attuale
Lossless JPEG transformations	Trasformazioni JPEG senza perdita di qualità
M - G	
Magenta-Green	Magenta-Verde
Manage 'Open image with' menu...	Organizza menu 'Apri immagine con...'
Margins:	Margini:
Mark image for toggling. Use %s to toggle between marked and current image	Marca l'immagine per alternarla. Usa %s per alternare l'immagine marcata con l'immagine corrente
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Massimizza/ripristina a/da desktop virtuale (solo per sistemi multi-monitor)
Menu entries:	Opzioni Menu:
Modification date:	Data di modifica:
Modifier keys:	 Tasti di modifica:
Month / Short form (text)	Mese / forma breve (testo)
Mouse wheel	Rotellina del mouse
Navigation	Navigazione
New	Nuovo
New height:	Nuova altezza:
New name (>> : file gets copied)	Nuovo nome (>> : il file è stato copiato)
New name contains backslash character!	Il nuovo nome contiene il carattere barra inversa (\)!
New size:	Nuova dimensione
New width:	Nuova larghezza:
Next image	Immagine successiva
No image loaded!	Nessuna immagine caricata!
No user INI file exists yet. Create user INI file from INI file template?	Non esiste ancora nessun file INI per l'utente. Creare un file INI per l'utente partendo da un modello?
None	Nessuno
Not enough memory available	memoria disponibile insufficiente
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	Nota: impostare la voce 'TrimWithoutPromptLosslessJPEG=true' nel file INI per ritagliare senza mostrare di nuovo questo messaggio.
Number (consecutively numbered)	Numero (numerazione consecutiva)
Number of CPU cores used	Numero di Core CPU usate
Number of JPEG files in folder: %d	Numero di files JPEG nella cartella: %d
Number with N digits	Numero con N cifre
OK	
Old name	Vecchio nome
Open folder containing image and select in Windows Explorer	
Open new image or slideshow file	Apri una nuova immagine o una presentazione
Order files by	Ordina i file per
Orientation:	Orientamento
Original file extension	Estensione originale del file
Original file name (with extension)	Nome originale del file (con estensione)
Original file name (without extension)	Nome originale del file (senza estensione)
Pan image	Riquadra l’immagine (Pan)
Paper:	Carta:
Parameter DB	Parametri DB
Parameter DB error	Errore nei Parametri del DB
Parameter DB file '%s' could not be opened!	Il file dei parametri del DB '%s' non può essere aperto!
Parameter DB file '%s' is not valid (invalid header)!	Il file dei parametri del DB '%s' non è valido (intestazione non valida)!
Paste from clipboard	Incolla dagli Appunti
Pasting image from clipboard failed!	Incolla immagine dagli appunti fallita!
Performing the lossless transformation failed!	Elaborazione della trasformazione senza perdita di qualità fallita!
Performing the transformation failed	Elaborazione della trasformazione fallita
Perspective Correction	Correzione Prospettiva
Pixels	
Placeholders:	Segnaposto:
Portrait	Verticale
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	Premere 'OK' per continuare con la registrazione o 'Annulla' per non modificare nulla.
Press ESC to exit...	Premi ESC per uscire...
Press any key to search the subdirectories for image files.	Premi un tasto per cercare le immagini nelle sottocartelle.
Preview	Anteprima
Previous image	Immagine precedente
Print	Stampa
Print Image	Stampa Immagine
Printer driver	Driver stampante
Printer:	Stampante:
Project home page	Pagina principale del progetto
Radius	Raggio
Random	Casuale
Reading the JPEG file from disk failed	Lettura del file JPEG dal disco fallita
Reason:	Motivo:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	La registrazione o l'annullamento della registrazione delle estensioni di file in quest'area del registro di sitema richiede i privilegi di amministratore e non può essere effettuata tramite JPEGView.
Registration applies to the current user only.	Registrazione valida solo per l'utente corrente.
Remove from	Rimuovi da
Rename	Rinomina
Rename/copy images to:	Rinomina/copia immagine come:
Renaming file failed!	Rinomina del file fallita!
Reset	Ripristina
Resize Image	Ridimensiona Immagine
Right	Destro
Right mouse button: Context menu	Tasto destro mouse: Menu contestuale
Roll from bottom	Rotola dal basso
Roll from left	Rotola da sinistra
Roll from right	Rotola da destra
Roll from top	Rotola dall'alto
Rotate Image	Ruota Immagine
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Ruota immagine attuale su disco senza perdita di qualità di 270 gradi (larghezza/altezza deve essere multiplo di 16)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Ruota immagine attuale su disco senza perdita di qualità di 90 gradi (larghezza/altezza deve essere multiplo di 16)
Rotate image 90 deg clockwise	Ruota l’immagine di 90 gradi in senso orario
Rotate image 90 deg counter-clockwise	Ruota l’immagine di 90 gradi in senso anti-orario
Rotate image and fit to screen	Ruota l'immagine e adatta allo schermo
Rotate image by user-defined angle	Ruota immagine con angolo definito dall'utente
Rotate the image by dragging with the mouse.	Ruota l'immagine trascinandola con il mouse.
SIMD mode used	Modalità SIMD in uso
Same as Image	
Saturation	Saturazione
Save	Salva
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Salva (%s)/ cancella (%s) i parametri di modifica dell'immagine in/da parametri del DB
Save as (in screen size/resolution)	Salva come (in dimensioni/risoluzione schermo)
Save as template	Salva come modello
Save cropped image	Salva immagine ritagliata
Save processed image to JPEG file (original size)	Salva l'immagine modificata come JPEG file (dimensioni originali)
Save processed image to JPEG file (screen size)	Salva l'immagine modificata come JPEG file (dimensione schermo)
Save to	Salva come
Scaling mode:	Metodo scala:
Screen Pixels	Pixels dello schermo
Scroll from bottom	Scorri dal basso
Scroll from left	Scorri da sinistra
Scroll from right	Scorri da destra
Scroll from top	Scorri dall'alto
Select Printer...	Seleziona Stampante
Select all	Seleziona tutto
Select application	Seleziona applicazione
Select file to display in 'File Open' dialog	Seleziona il file da visualizzare nella finestra 'Apri File'
Select none	Deseleziona tutto
Select parameter DB to restore	Seleziona il parametro di DB da ripristinare
Set Fixed Crop Size	Setta la dimensione fissa di ritaglio
Set JPEGView as default image viewer	Imposta JPEGView come visualizzatore di default per le immagini
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Imposta l'intervallo a n/10 sec, rispettivamente a n/100 sec (Ctrl+Maiusc)
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	I dati estitenti devono essere mantenuti (Si) o devono essere sovrascritti dai dati importati (No)?
Sharpen	Nitidezza
Sharpen low	Contrasto basso
Sharpen medium	Contrasto medio
Shortcut Help	Aiuto per scorciatoie
Shortcut key:	Tasto di scelta rapida:
Show filename	Visualizza il nome del file
Show first image in folder	Visualizza la prima immagine nella cartella
Show grid lines	Mostra griglia
Show histogram	Mostra istogramma
Show last image in folder	Visualizza l’ultima immagine nella cartella
Show navigation panel	Visualizza il pannello di navigazione
Show next image	Visualizza l’immagine successiva
Show picture info (EXIF)	Visualizza le informazioni dell’immagine (EXIF)
Show previous image	Visualizza l’immagine precedente
Show/hide file name	Visualizza/nasconde il nome del file
Show/hide navigation panel	Visualizza/nasconde il pannello di navigazione
Show/hide picture information (EXIF data)	Visualizza/nasconde le informazioni dell'immagine (dati EXIF)
Show/hide this help text	Visualizza/nasconde questo aiuto
Size:	Dimensione:
Slide from bottom	A scorrimento dal basso
Slide from left	A scorrimento da sinistra
Slide from right	A scorrimento da destra
Slide from top	A scorrimento dall'alto
Slideshow	Presentazione
Slideshow with timeout of 'n' seconds (ESC to stop)	Presentazione con un intervallo di 'n' secondi (ESC per fermare)
Sort images by creation date, resp. modification date, resp. file name	Elenca le immagini per data di creazione, data di modifica, nome del file
Source:	Sorgente:
Target folders that do not yet exist are created as needed.	Le cartelle di destinazione non esistenti saranno create quando necessario.
The directory '%s' does not contain any image files!	La cartella '%s' non contiene nessuna immagine!
The file '%s' could not be copied!	
The file '%s' could not be read!	Il file '%s' non può essere letto!
The file '%s' could not be renamed!	
The file '%s' does not contain a list of file names!	Il file '%s' non contiene un elenco di nomi file!
The file is read-only!	Il file è in sola lettura!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Non si può annullare la registrazione delle seguenti estensioni di file, perché sono state registrate tramite la sezione 'local machine' del registro di sistema.
The following image extensions are protected by the operating system.	Le seguenti estensioni di file sono protette dal sistema operativo.
The imported param DB contains entries already present in active param DB.	Il Param DB inportato contiene dati già presenti nel Param DB attivo.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	La nuova dimensione è troppo grande - larghezza o altezza sono maggiori di 65535 oppure il numero totale di pixel è troppo grande!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Il vecchio file dei parametri del DB '%s' non può essere rinominato durante la conversione nel nuovo formato!
The operation failed because not enough memory is available!	L'operazione fallita a causa di memoria disponibile insufficiente
The parameter DB file '%s' has been created by a newer version of JPEGView!	Il file dei parametri del DB '%s' è stato creato da una versione più recente di JPEGView!
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	La trasformazione può essere applicata se l'immagine è ritagliata alle dimensioni corrispondenti ma questo eliminerà qualche pixel perimetrale
These values will override the values from the INI file located in the program folder of JPEGView!	Questi valori sovrascriveranno i valori del file INI nella cartella di JPEGView!
Threshold	Soglia
Title:	Titolo:
Toggle between screens (only for multi-monitor systems)	Alterna tra schermi (solo per sistemi multi-monitor)
Toggle window always on top mode	
Toggle window title bar hidden mode	
Top	Superiore
Transition Effect	Effetto di transizione
Trim the image and apply transformation? Trimming cannot be undone!	Ritagliare l'immagine e applicare le trasformazioni? ATTENZIONE, l'azione non può essere annullata!
Unregistering not possible	Annullamento della registrazione impossibile
Unsharp mask...	Maschera di contrasto
Update user settings with new settings from settings template file?	
Use the 'Default Programs' configuration dialog from the operating system instead.	Usare la videata per la definizione dei programmi predefiniti presente nel sistema operativo.
Use the mouse to draw a line that shall be horizontal or vertical.	Usa il mouse per disegnare una linea che dovrebbe essere orizzontale o verticale.
Warning	Attenzione
Width	Larghezza
Window mode	Modalità finestra
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	
Writing the resulting JPEG file to disk failed	Scrittura sul disco del file JPEG elaborato fallita
Y - B	
Year short form (2 digits)	Anno in forma breve (2 cifre)
Yellow-Blue	Giallo-Blu
Zoom 1:1 (100 %)	
Zoom in (%s)/Zoom out (%s)	Ingrandire (%s)/ridurre (%s)
Zoom in/out image	Ingrandire/ridurre l’immagine
Zoom mode (drag mouse to zoom)	Modalità ingrandimento (trascina il mouse per ingrandire)
and image processing (brightness/contrast/sharpen) parameters between images	e modifica i parametri  (luminosità/contrasto/nitidezza) tra le immagini.
cm	
in	
new menu entry	
no	
off	
on	
user-defined	
yes	si

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Ferma la presentazione/il filmato
Open image...	Apri immagine...
Open image with	Apri immagine con
Save processed image...	Salva immagine modificata...
Reload image	Ricarica immagine
Open containing folder in Explorer	
Print image...	Stampa Immagine...
Batch rename/copy...	Rinomina/copia in automatico (batch)...
Set modification date	Imposta la data di modifica
to current date	alla data odierna
to EXIF date	alla data di EXIF
to EXIF date (all files in folder)	alla data EXIF (per tutti i files della cartella)
Set as desktop wallpaper	Imposta come sfondo del desktop
Use original image	Usa immagine originale
Use processed image as displayed	Usa immagine modificata come visualizzata
Copy to clipboard	Copia negli Appunti
Copy original size image	Copia l’immagine nelle sue dimensioni originali
Copy file path	
Display order	Ordine di visualizzazione
Modification date	Data di modifica
Creation date	Data creazione
Play folder as slideshow/movie	Visualizza la cartella come presentazione/filmato
Waiting time	Tempo di attesa
1 sec	
2 sec	
3 sec	
4 sec	
5 sec	
7 sec	
10 sec	
20 sec	
Transition Speed	Velocita' di transizione
Very fast	Molto veloce
Fast	Veloce
Normal	Normale
Slow	Lenta
Very slow	Molto lenta
Movie	Filmato
Playback speed	
5 fps	
10 fps	
25 fps	
30 fps	
50 fps	
100 fps	
Transform image	Trasforma immagine
Rotate +90	Rotazione +90°
Rotate -90	Rotazione -90°
Rotate...	Ruota...
Change size...	Modifica dimensioni...
Perspective correction...	Correzione prospettiva...
Mirror horizontally	Rifletti orizzontalmente
Mirror vertically	Rifletti verticalmente
Rotate 180	Rotazione 180°
Auto correction	Auto correzione
Save parameters to DB	Salva i parametri nel DB
Clear parameters from DB	Pulisci i parametri dal DB
Zoom	Ingrandimento
Span all screens	Estendi a tutti gli schermi
Fit window to image	Adatta finestra all'immagine
Hide window title bar	
Set window always on top	
Settings/Admin	Settaggi/Amministratore
Edit global settings...	Modifica dei settaggi globale...
Edit user settings...	Modifica dei settaggi utente...
Update user settings...	
Set current parameters as default values...	Salva i parametri in un file INI...
Set as default viewer...	Imposta come visualizzatore di default
Backup parameter DB...	Backup parametro del DB
Restore parameter DB...	Ripristina parametro del DB
User commands	Comandi utente
About JPEGView...	Informazioni su JPEGView...
Exit	Uscita
Crop Selection	Ritaglia la selezione
Crop Selection Lossless...	Ritaglia la selezione senza perdite di dati...
Copy Selection to Clipboard	Copia la selezione negli Appunti
Crop Mode	Modalita' Ritaglia
Free	Libero
Fixed size...	Dimensione fissa
Zoom to Selection	Ingrandimento della selezione

// ::: INFO: Out-of-date Translations [16] ::: (Not in use anymore, safe to delete) //
//However this will fail if the current user has no administration privileges.	Comunque l'azione non sarà possibile se l'utente non possiede i privilegi di amministratore.
//Insufficient rights to remove the restrictions. Continue?	Permessi insufficenti per rimuovere le restrizioni. Continuare?
//JPEGView can try to remove the restrictions automatically.	JPEGView puo' provare a rimuovere automaticamente le restrizioni.
//No file or folder name was provided as command line parameter!	Nessun nome di file o di cartella è stato fornito come parametro per riga di comando!
//PgDn or Right	PagGiù o Destra
//PgUp or Left	PagSu o Sinistra
//Rename:	Rinomina:
//Rotate the following file lossless by 270 deg?\n%filename%	Ruotare di 270 gradi senza perdita di qualità il seguente file?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	Ruotare di 90 gradi senza perdita di qualità il seguente file?\n%filename%
//The file '%s' could not be %s.	Il file '%s' non può essere %s.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Per usare JPEGView, associa le estensioni JPG, JPEG e BPM con JPEGView.
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 impedisce a JPEGView di cambiare il programma di default per le seguenti estensioni.
//[new entry]	[nuova voce]
//copied	copiato
//renamed	rinominato
//up/down	su/giu

// ::: INFO: Missing Translations [53] ::: (Summary of all missing strings to assist translators - Auto-generated by script) //
//! About JPEGView (32-bit version)...
//! About JPEGView (64-bit version)...
//! All existing user settings will be preserved.
//! Box
//! C - R
//! Clipboard Image
//! Copy file path of the image to clipboard
//! Decoding this format requires the Microsoft Visual C++ Redistributable.
//! Fill paper with crop
//! High quality resampling
//! Insufficient rights to change the privilege (DACL) on the registry entry. Continue?
//! JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.
//! Lanczos/Bicubic
//! M - G
//! OK
//! Open folder containing image and select in Windows Explorer
//! Pixels
//! Same as Image
//! The file '%s' could not be copied!
//! The file '%s' could not be renamed!
//! Toggle window always on top mode
//! Toggle window title bar hidden mode
//! Update user settings with new settings from settings template file?
//! Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.
//! Y - B
//! Zoom 1:1 (100 %)
//! cm
//! in
//! new menu entry
//! no
//! off
//! on
//! user-defined
//! Open containing folder in Explorer
//! Copy file path
//! 1 sec
//! 2 sec
//! 3 sec
//! 4 sec
//! 5 sec
//! 7 sec
//! 10 sec
//! 20 sec
//! Playback speed
//! 5 fps
//! 10 fps
//! 25 fps
//! 30 fps
//! 50 fps
//! 100 fps
//! Hide window title bar
//! Set window always on top
//! Update user settings...

// ::: STATUS: Last Checked/Updated by Script ::: 2023-03-09T12:34:04.452151+00:00 //
//! Translation Progress: 88%
//! * Total (Strings + Menu) = 427
//! * Done = 374
//! * Missing = 53 (12%)
