//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'en' for English

////////////////////
// ::: Translation Info ::: //
//: ISO 639 code: kr
//: Language: Korean
//: Translator(s):
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d개 파일이 이름이 변경됨, %d개 파일이 복사됨, %d개 파일이 생성됨
%s camera raw images (embedded JPEGs only)	
%s images	
%s images (processed by Window Imaging Component - WIC)	
'My Pictures' folder	'내 그림' 폴더
Orientation:	
Original file extension	원본 파일 확장자
Original file name (with extension)	원본 파일명 (확장자 있음)
Original file name (without extension)	원본 파일명 (확장자 없음)
Pan image	이동
Paper:	
Parameter DB	매개변수 DB
Parameter DB error	매개변수 DB 에러
Parameter DB file '%s' could not be opened!	매개변수 DB 파일 '%s' 을 열 수 없습니다!
Parameter DB file '%s' is not valid (invalid header)!	매개변수 DB 파일 '%s' 이 유효하지 않습니다 (잘못된 헤더)!
Paste from clipboard	클립보드에서 붙여넣기
Pasting image from clipboard failed!	클립보드에서 붙여넣기 실패!
Performing the lossless transformation failed!	
Performing the transformation failed	
Perspective Correction	
Pixels	픽셀
Placeholders:	위치 표시자:
Portrait	
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	
Press ESC to exit...	나가려면 ESC를 누르세요...
Press any key to search the subdirectories for image files.	하위 폴더에서 이미지 파일을 검색하려면 아무 키나 누르세요.
Preview	미리보기
Previous image	이전
Print	
Print Image	
Printer driver	
Printer:	
Project home page	프로젝트 홈페이지
Radius	
Random	
Reading the JPEG file from disk failed	
Reason:	이유:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	
Registration applies to the current user only.	
Remove from	제거
Rename	이름 바꾸기
Rename/copy images to:	이름 바꾸기/복사:
Renaming file failed!	파일명 변경 실패!
Reset	
Resize Image	
Right	
Right mouse button: Context menu	
Roll from bottom	
Roll from left	
Roll from right	
Roll from top	
Rotate Image	
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	현재 파일을 디스크에서 무손실 270도 회전 (너비/높이는 16의 배수여야 함)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	현재 파일을 디스크에서 무손실 90도 회전 (너비/높이는 16의 배수여야 함)
Rotate image 90 deg clockwise	시계 방향으로 90도 회전
Rotate image 90 deg counter-clockwise	반시계 방향으로 90도 회전
Rotate image and fit to screen	회전 및 화면에 맞추기
Rotate image by user-defined angle	
Rotate the image by dragging with the mouse.	
SIMD mode used	사용된 SIMD 모드
Saturation	
Save	
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	이미지 처리 매개변수 DB를 저장 (%s)/ 삭제 (%s)
Save as (in screen size/resolution)	다른 이름으로 저장 (화면 크기/해상도로)
Save as template	템플릿으로 저장
Save cropped image	
Save processed image to JPEG file (original size)	변경된 이미지를 JPEG 파일로 저장 (원본 크기)
Save processed image to JPEG file (screen size)	변경된 이미지를 JPEG 파일로 저장 (화면 크기)
Save to	다른 포맷으로 저장
Scaling mode:	
Screen Pixels	화면 픽셀
Scroll from bottom	
Scroll from left	
Scroll from right	
Scroll from top	
Select Printer...	
Select all	모두 선택
Select application	
Select file to display in 'File Open' dialog	'파일 열기' 대화상자에서 표시하기 위한 파일 선택
Select none	선택 취소
Select parameter DB to restore	복원할 매개변수 DB 선택
Set Fixed Crop Size	고정된 자르기 크기 설정
Set JPEGView as default image viewer	
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	시간 간격을 n/10 초, 각각 n/100 초 단위로 설정 (Ctrl+Shift)
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	기존 항목을 유지하겠습니까 (예)? 아니면 불러온 항목으로 덮어쓰겠습니까 (아니오)?
Sharpen	선명하게
Sharpen low	
Sharpen medium	
Shortcut Help	
Shortcut key:	
Show filename	파일명 보이기
Show first image in folder	폴더의 처음
Show grid lines	
Show histogram	
Show last image in folder	폴더의 마지막
Show navigation panel	탐색 패널 보이기
Show next image	다음
Show picture info (EXIF)	사진 정보 보이기 (EXIF)
Show previous image	이전
Show/hide file name	파일명 보이기/숨기기
Show/hide navigation panel	탐색 패널 보이기/숨기기
Show/hide picture information (EXIF data)	사진 정보 (EXIF) 보이기/숨기기
Show/hide this help text	도움말 문자를 보이기/숨기기
Size:	
Slide from bottom	
Slide from left	
Slide from right	
Slide from top	
Slideshow	슬라이드 쇼
Slideshow with timeout of 'n' seconds (ESC to stop)	n 초 동안 슬라이드 쇼 보기 (정지하려면 ESC)
Sort images by creation date, resp. modification date, resp. file name	만든 날짜, 수정한 날짜, 파일명 순으로 정렬
Source:	
Target folders that do not yet exist are created as needed.	
The directory '%s' does not contain any image files!	'%s' 폴더에는 이미지 파일이 없습니다!
The file '%s' could not be copied!	
The file '%s' could not be read!	'%s' 파일을 읽을 수 없습니다!
The file '%s' could not be renamed!	
The file '%s' does not contain a list of file names!	'%s' 파일은 파일명 목록을 포함하지 않습니다!
The file is read-only!	파일이 읽기 전용임!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	
The following image extensions are protected by the operating system.	
The imported param DB contains entries already present in active param DB.	불러온 매개변수 DB는 사용중인 매개변수 DB에 이미 존재하는 항목을 포함함.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	
The old parameter DB file '%s' could not be renamed during conversion to new format!	오래된 매개변수 DB 파일 '%s' 은 새로운 포맷으로 변경하면서 이름을 바꿀 수 없습니다!
The operation failed because not enough memory is available!	
The parameter DB file '%s' has been created by a newer version of JPEGView!	매개변수 DB 파일 '%s' 은 새 버전의 JPEGView에 의해 생성되었습니다!
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	
These values will override the values from the INI file located in the program folder of JPEGView!	위의 설정값이 JPEGView 프로그램 폴더에 있는 INI 파일을 덮어씌울 것입니다!
Threshold	
Title:	
Toggle between screens (only for multi-monitor systems)	화면 전환 (다중 모니터 사용시)
Toggle window always on top mode	
Toggle window title bar hidden mode	
Top	
Transition Effect	
Trim the image and apply transformation? Trimming cannot be undone!	
Unregistering not possible	
Unsharp mask...	
Update user settings with new settings from settings template file?	
Use the 'Default Programs' configuration dialog from the operating system instead.	
Use the mouse to draw a line that shall be horizontal or vertical.	
Warning	
Width	너비
Window mode	창 모드
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	
Writing the resulting JPEG file to disk failed	
Y - B	
Year short form (2 digits)	연도 단축 형식 (2 자리)
Yellow-Blue	
Zoom 1:1 (100 %)	1:1 배율 (100 %)
Zoom in (%s)/Zoom out (%s)	확대 (%s)/축소 (%s)
Zoom in/out image	확대/축소
Zoom mode (drag mouse to zoom)	
and image processing (brightness/contrast/sharpen) parameters between images	유지하기 켜기/끄기
cm	
in	
new menu entry	
no	아니오
off	끄기
on	켜기
yes	예

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	슬라이드 쇼/영상 정지
Open image...	열기...
Open image with	
Save processed image...	변경된 이미지 저장...
Reload image	다시 불러오기
Open containing folder in Explorer	
Print image...	
Batch rename/copy...	일괄 이름 바꾸기/복사...
Set modification date	수정한 날짜 변경
to current date	현재 날짜로
to EXIF date	EXIF 날짜로
to EXIF date (all files in folder)	
Set as desktop wallpaper	
Use original image	
Use processed image as displayed	
Copy to clipboard	클립보드로 복사
Copy original size image	원본 크기로 복사
Copy file path	
Display order	표시 순서
Modification date	수정한 날짜
Creation date	만든 날짜
Play folder as slideshow/movie	슬라이드 쇼/영상으로 재생
Waiting time	정지 시간
1 sec	
2 sec	
3 sec	
4 sec	
5 sec	
7 sec	
10 sec	
20 sec	
Transition Speed	
Very fast	
Fast	
Normal	
Slow	
Very slow	
Movie	영상
Playback speed	
5 fps	
10 fps	
25 fps	
30 fps	
50 fps	
100 fps	
Transform image	
Rotate +90	회전 +90°
Rotate -90	회전 -90°
Rotate...	
Change size...	
Perspective correction...	
Mirror horizontally	
Mirror vertically	
Rotate 180	
Auto correction	자동 보정
Save parameters to DB	DB에 매개변수 저장하기
Clear parameters from DB	DB의 매개변수 지우기
Zoom	배율
Span all screens	모든 화면으로 늘리기
Fit window to image	
Hide window title bar	
Set window always on top	
Settings/Admin	설정/관리
Edit global settings...	전역 설정 편집...
Edit user settings...	사용자 설정 편집...
Update user settings...	
Set current parameters as default values...	매개변수를 INI로 저장...
Set as default viewer...	
Backup parameter DB...	매개변수 DB 백업
Restore parameter DB...	매개변수 DB 복원
User commands	
About JPEGView...	JPEGView 정보...
Exit	나가기
Crop Selection	자르기 선택
Crop Selection Lossless...	
Copy Selection to Clipboard	선택 영역을 클립보드로 복사
Crop Mode	자르기 모드
Free	자유
Fixed size...	고정된 크기...
Zoom to Selection	선택 영역으로 확대

// ::: INFO: Out-of-date Translations [13] ::: (Not in use anymore, safe to delete) //
//Lighten 밝게	
//No file or folder name was provided as command line parameter!	파일명 또는 폴더명이 명령어 매개변수로 입력되지 않았습니다!
//PgDn or Right	PgDn 또는 Right
//PgUp or Left	PgUp 또는 Left
//Rename:	이름 바꾸기:
//Rotate the following file lossless by 270 deg?\n%filename%	다음 파일을 무손실 270도 회전하겠습니까?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	다음 파일을 무손실 90도 회전하겠습니까?\n%filename%
//Target folders that are not yet existing are created as needed.	대상 폴더가 없습니다. 생성해야 합니다.
//The file '%s' could not be %s.	'%s' 파일은 %s일 수 없습니다.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	JPEGView를 사용하려면 JPG, JPEG, BMP 파일을 JPEGView 에 연결하십시오.
//copied	복사됨
//renamed	이름이 변경됨
//up/down	위/아래

// ::: INFO: Missing Translations [201] ::: (Summary of all missing strings to assist translators - Auto-generated by script) //
//! %s camera raw images (embedded JPEGs only)
//! %s images
//! %s images (processed by Window Imaging Component - WIC)
//! About JPEGView (32-bit version)...
//! About JPEGView (64-bit version)...
//! Align image to horizontal or vertical line
//! Alignment:
//! All existing user settings will be preserved.
//! Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'
//! Altitude (m):
//! Amount
//! Application:
//! Applications
//! Apply
//! Apply Unsharp Mask
//! Ascending
//! Auto crop corrected image (avoids black border)
//! Auto crop rotated image (avoids black border)
//! Blend
//! Bottom
//! Box
//! Browse...
//! C - R
//! Cancel
//! Click and drag the mouse vertically to correct image tilt.
//! Clipboard Image
//! Combine keys with '+'
//! Copy file path of the image to clipboard
//! Correct converging lines (perspective correction)
//! Cyan-Red
//! Decoding this format requires the Microsoft Visual C++ Redistributable.
//! Delete
//! Delete image file
//! Descending
//! Do you really want to delete the current image file on disk?
//! Drag at the left or right border for asymmetric correction.
//! EXIF date successfully set on %d images, failed on %d images
//! Edit
//! Error
//! Error while writing the following registry key
//! Example:
//! Extension
//! File size
//! File type
//! Fill paper with crop
//! Filter:
//! Fit to paper
//! Hide histogram
//! High quality resampling
//! Hour / Minute (as numbers)
//! Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!
//! Insufficient rights to change the privilege (DACL) on the registry entry. Continue?
//! JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.
//! JPEGView is registered as default viewer for the selected file formats.
//! Keep aspect ratio on crop
//! Keep processing parameters between images
//! Known keys:
//! Lanczos/Bicubic
//! Landscape
//! Left
//! Location:
//! Lossless JPEG transformations
//! M - G
//! Magenta-Green
//! Manage 'Open image with' menu...
//! Margins:
//! Menu entries:
//! Modifier keys:
//! New
//! New height:
//! New size:
//! New width:
//! No image loaded!
//! None
//! Not enough memory available
//! Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.
//! Number of JPEG files in folder: %d
//! OK
//! Open folder containing image and select in Windows Explorer
//! Orientation:
//! Paper:
//! Performing the lossless transformation failed!
//! Performing the transformation failed
//! Perspective Correction
//! Portrait
//! Press 'OK' to continue with registration or 'Cancel' to abort all registrations.
//! Print
//! Print Image
//! Printer driver
//! Printer:
//! Radius
//! Random
//! Reading the JPEG file from disk failed
//! Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.
//! Registration applies to the current user only.
//! Reset
//! Resize Image
//! Right
//! Right mouse button: Context menu
//! Roll from bottom
//! Roll from left
//! Roll from right
//! Roll from top
//! Rotate Image
//! Rotate image by user-defined angle
//! Rotate the image by dragging with the mouse.
//! Saturation
//! Save
//! Save cropped image
//! Scaling mode:
//! Scroll from bottom
//! Scroll from left
//! Scroll from right
//! Scroll from top
//! Select Printer...
//! Select application
//! Set JPEGView as default image viewer
//! Sharpen low
//! Sharpen medium
//! Shortcut Help
//! Shortcut key:
//! Show grid lines
//! Show histogram
//! Size:
//! Slide from bottom
//! Slide from left
//! Slide from right
//! Slide from top
//! Source:
//! Target folders that do not yet exist are created as needed.
//! The file '%s' could not be copied!
//! The file '%s' could not be renamed!
//! The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.
//! The following image extensions are protected by the operating system.
//! The new size is too large - width or height is larger than 65535 or total number of pixels is too large!
//! The operation failed because not enough memory is available!
//! The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.
//! Threshold
//! Title:
//! Toggle window always on top mode
//! Toggle window title bar hidden mode
//! Top
//! Transition Effect
//! Trim the image and apply transformation? Trimming cannot be undone!
//! Unregistering not possible
//! Unsharp mask...
//! Update user settings with new settings from settings template file?
//! Use the 'Default Programs' configuration dialog from the operating system instead.
//! Use the mouse to draw a line that shall be horizontal or vertical.
//! Warning
//! Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.
//! Writing the resulting JPEG file to disk failed
//! Y - B
//! Yellow-Blue
//! Zoom mode (drag mouse to zoom)
//! cm
//! in
//! new menu entry
//! Open image with
//! Open containing folder in Explorer
//! Print image...
//! to EXIF date (all files in folder)
//! Set as desktop wallpaper
//! Use original image
//! Use processed image as displayed
//! Copy file path
//! 1 sec
//! 2 sec
//! 3 sec
//! 4 sec
//! 5 sec
//! 7 sec
//! 10 sec
//! 20 sec
//! Transition Speed
//! Very fast
//! Fast
//! Normal
//! Slow
//! Very slow
//! Playback speed
//! 5 fps
//! 10 fps
//! 25 fps
//! 30 fps
//! 50 fps
//! 100 fps
//! Transform image
//! Rotate...
//! Change size...
//! Perspective correction...
//! Mirror horizontally
//! Mirror vertically
//! Rotate 180
//! Fit window to image
//! Hide window title bar
//! Set window always on top
//! Update user settings...
//! Set as default viewer...
//! User commands
//! Crop Selection Lossless...

// ::: STATUS: Last Checked/Updated by Script ::: 2023-02-10T22:28:46.280748+00:00 //
//! Translation Progress: 53%
//! * Total (Strings + Menu) = 425
//! * Done = 224
//! * Missing = 201 (47%)
