//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: zh
//: ISO 3166-1 code: tw
//: Language: Chinese, Traditional (繁體中文)
//: Translator(s) - Name <Contact Info/URL>: 風逸蘭
//: Last Updated:
//: Additional Notes:
//Update:2023/03/09 - Based on the simplified Chinese version converted chs -> cht
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	已重命名 %d 個文件，已復制 %d 個文件，已創建 %d 個文件夾
%s camera raw images (embedded JPEGs only)	%s 相機原始圖片（僅嵌入式JPEG）
%s images	%s 圖片
%s images (processed by Window Imaging Component - WIC)	%s 圖片（由Windows映像組件-WIC處理）
'My Pictures' folder	“圖片”文件夾
Enable/disable keeping of geometry related (zoom/pan/rotation)	啟用/停用保持幾何相關（縮放/平移/旋轉）
Enable/disable landscape picture enhancement mode	啟用/停用風景圖片增強模式
Error	錯誤
Error during rename/copy	重命名/複製過程中發生錯誤
Error saving file	保存文件錯誤
Error while writing the following registry key	寫入以下註冊表鍵項出錯
Error writing file to disk!	寫入文件到硬盤錯誤！
Example:	範例：
Exif Date Time:	
Exposure bias (EV):	曝光補償（EV）：
Exposure time (s):	曝光時間（秒）：
Extension	擴展名
Extracted number from original file name	從源始文件名中提取編號
F-Number:	F 值：
File name	文件名
File size	文件大小
File type	文件類型
Fill page with crop	用裁剪填充紙張
Fill with crop	用裁剪來填充
Fill with crop (no zoom)	用裁剪填充（無縮放）
Filter:	濾鏡：
Fit image to screen	圖片適應屏幕
Fit to page	適應紙張大小
Fit to screen	適合屏幕
Fit to screen (no zoom)	適合屏幕（無縮放）
Flash fired:	閃光燈：
Focal length (mm):	焦距（mm）：
Forward mouse button	鼠標前進按鈕
Full screen mode	全屏模式
Goto first/last image of current folder (using sort order as defined)	移至當前文件夾的第一個/最後一張圖片（使用所定義的排序順序）
Goto next image	下一張圖片
Goto previous image	上一張圖片
Height	高度
Hide histogram	隱藏直方圖
High quality resampling	高質量重採樣
Hour / Minute (as numbers)	時/分（數字）
ISO Speed:	ISO感光度：
Image Pixels	圖片像素
Image files in folder	當前文件夾（僅顯示支持的文件）：
Image height:	圖片高度：
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	無損轉換圖片的寬度和高度必須可被JPEG區塊大小（8或16）整除！
Image width:	圖片寬度：
Images	圖片
Increase/decrease auto color cast correction amount	增加/減少自動膚色的校正量
Increase/decrease auto contrast correction amount	增加/減少自動對比度的校正量
Increase/decrease brightness	增加/減少亮度
Increase/decrease contrast	增加/減少對比度
Increase/decrease darkening of highlights (LDC must be on)	增加/減少亮點的暗度（局部密度補償必須打開）
Increase/decrease lightening of shadows (LDC must be on)	增加/減少陰影的亮度（局部密度補償必須打開）
Increase/decrease sharpness	增加/減小銳度
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	權限不足，無法更改註冊表項的權限（DACL）。繼續？
JPEGView Help	JPEGView 幫助
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView是一款實用、快速及具有高度組態性的查看器/編輯器，使用最小的圖形用戶界面，適用於JPEG、BMP、PNG、WEBP、TGA、GIF和TIFF圖片。
JPEGView is registered as default viewer for the selected file formats.	註冊JPEGView為選擇的文件格式的默認圖片查看器。
Keep aspect ratio on crop	保持畫面比例裁剪
Keep parameters	保持參數
Keep processing parameters between images	保持相鄰的兩圖片間的處理參數
Known keys:	已知鍵：
Lanczos/Bicubic	Lanczos/Bicubic
Landscape	橫
Landscape picture enhancement mode	風景圖片增強模式
Last modification date/time	最後修改日期/時間
Left	左
Left mouse & drag	鼠標左鍵拖動
Licensed under the GNU general public license (GPL), see readme file for details	基於GNU General Public License（GPL）授權，請參閱自述文件的詳細信息
Lighten Shadows	淡化陰影
Local density correction	局部密度校正
Location:	地點：
Loop folder	當前目錄循環
Loop recursively	遞歸循環
Loop siblings	同級目錄循環
Loop through files in current directory and all sibling folders (folders on same level)	遍歷當前目錄和所有同級文件夾中的文件（在同一層級上的文件夾）
Loop through files in current directory and all subfolders	遍歷當前目錄和所有子目錄中的文件
Loop through files in current folder	遍歷當前文件夾中的文件
Lossless JPEG transformations	無損JPEG轉換
M - G	洋紅-綠
Magenta-Green	洋紅-綠
Manage 'Open image with' menu...	管理“打開圖片方式”菜單...
Margins:	邊距：
Mark image for toggling. Use %s to toggle between marked and current image	標示圖片切換。使用 %s 來在標示圖片和當前圖片之間切換
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	最大化/還原到/從虛擬桌面（僅適用於多顯示器）
Menu entries:	菜單項目：
Modification date:	修改日期：
Modifier keys:	複合鍵：
Month / Short form (text)	月份/短格式（文字）
Mouse wheel	鼠標滾輪
Navigation	導航
New	新增
New height:	新的高度：
New name (>> : file gets copied)	新名（>> : 文件將被複製）
New name contains backslash character!	新名中包含反斜線字符！
New size:	新的大小：
New width:	新的寬度：
Next image	下一張圖片
No image loaded!	未加載圖片！
No user INI file exists yet. Create user INI file from INI file template?	尚無用戶INI文件。是否從INI文件模板來創建用戶INI文件？
None	無
Not enough memory available	沒有足夠的可用內存
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	注意：在INI文件中設定“CropWithoutPromptLosslessJPEG=true”以便總是修剪而不顯示此消息。
Number (consecutively numbered)	編號（連續編號）
Number of CPU cores used	所使用的CPU核心數量
Number of JPEG files in folder: %d	該文件夾中的JPEG文件數量: %d
Number with N digits	用N位數編號
OK	確定
Old name	舊名
Open folder containing image and select in Windows Explorer	打開包含圖片的文件夾並在Windows資源管理器中選擇
Open new image or slideshow file	打開新的圖片或幻燈片文件
Order files by	文件排序依據
Orientation:	紙張方向：
Original file extension	原始文件擴展名
Original file name (with extension)	原始文件名（含擴展名）
Original file name (without extension)	原始文件名（不含擴展名）
Pan image	移動圖片
Paper size:	紙張大小：
Parameter DB	參數數據庫
Parameter DB error	參數數據庫錯誤
Parameter DB file '%s' could not be opened!	無法打開參數數據庫文件 '%s'！
Parameter DB file '%s' is not valid (invalid header)!	參數數據庫檔案'%s' 無效（無效的頭部）！
Paste from clipboard	從剪貼板粘貼
Pasting image from clipboard failed!	從剪貼板粘貼圖片失敗！
Performing the lossless transformation failed!	執行無損轉換失敗！
Performing the transformation failed	執行轉換失敗
Perspective Correction	透視校正
Pixels	像素
Placeholders:	佔位符：
Portrait	豎
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	按下“確定”繼續註冊或按下“取消”不修改任何註冊表內容。
Press ESC to exit...	按下ESC退出...
Press any key to search the subdirectories for image files.	按任意鍵來查找子目錄中的圖片文件。
Preview	預覽
Previous image	上一張圖片
Print	打印
Print Image	打印圖片
Printer driver	打印機驅動程序
Printer:	打印機:
Project home page	項目首頁
Radius	半徑
Random	隨機
Reading the JPEG file from disk failed	從硬盤讀取JPEG文件失敗
Reason:	原因：
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	在註冊表區域註冊或取消註冊文件擴展名需要管理員權限，無法在JPEGView中完成。
Registration applies to the current user only.	註冊僅應用到當前用戶。
Remove from	刪除
Rename	重命名
Rename/copy images to:	重命名/複製圖片到：
Renaming file failed!	重命名失敗！
Reset	重置
Resize Image	重新調整圖片大小
Right	右
Right mouse button: Context menu	鼠標右鍵：上下文菜單
Roll from bottom	從下側捲動
Roll from left	從左側捲動
Roll from right	從右側捲動
Roll from top	從上側捲動
Rotate Image	旋轉圖片
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	在硬盤上無損旋轉當前文件270度（寬度/高度必須是16的倍數）
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	在硬盤上無損旋轉當前文件90度（寬度/高度必須是16的倍數）
Rotate image 90 deg clockwise	順時針旋轉90度
Rotate image 90 deg counter-clockwise	逆時針旋轉90度
Rotate image and fit to screen	旋轉圖片且適應屏幕
Rotate image by user-defined angle	以用戶定義的角度旋轉圖片
Rotate the image by dragging with the mouse.	使用鼠標拖動來旋轉圖片。
SIMD mode used	SIMD 模式下使用
Same as Image	
Saturation	飽和度
Save	保存
Save (%s) / delete (%s) image processing parameters into/from parameter DB	保存（%s）/刪除（%s）圖片處理參數在/從參數數據庫
Save as (in screen size/resolution)	另存為（在屏幕大小/解析度）
Save as template	另存為模板
Save cropped image	保存裁剪後的圖片
Save processed image to JPEG file (original size)	保存處理後的圖片為JPEG文件（原始大小）
Save processed image to JPEG file (screen size)	保存處理後的圖片為JPEG文件（屏幕大小）
Save to	保存
Scaling mode:	放大模式：
Screen Pixels	屏幕像素
Scroll from bottom	從下側滾動
Scroll from left	從左側滾動
Scroll from right	從右側滾動
Scroll from top	從上側滾動
Select Printer...	選擇打印機...
Select all	選擇全部
Select application	選擇應用程序
Select file to display in 'File Open' dialog	選擇要在“打開文件”對話框中顯示的文件
Select none	取消選擇
Select parameter DB to restore	選擇要還原的參數數據庫
Set Fixed Crop Size	設定固定裁剪尺寸
Set JPEGView as default image viewer	將JPEGView設為默認圖片查看器
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	設定逾時為n/10秒，分別為n/100秒（Ctrl+Shift）
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	您想要保留現有項目（是）或是以導入的項目覆蓋現有項目（否）？
Sharpen	銳化
Sharpen low	低度銳化
Sharpen medium	中度銳化
Shortcut Help	快捷鍵幫助
Shortcut key:	快捷鍵：
Show filename	顯示文件名
Show first image in folder	顯示文件夾中的第一張圖片
Show grid lines	顯示網格
Show histogram	顯示直方圖
Show last image in folder	顯示文件夾中的最後一張圖片
Show navigation panel	顯示導航面板
Show next image	顯示下一張圖片
Show picture info (EXIF)	顯示圖片信息（EXIF）
Show previous image	顯示上一張圖片
Show/hide file name	顯示/隱藏文件名
Show/hide navigation panel	顯示/隱藏導航面板
Show/hide picture information (EXIF data)	顯示/隱藏圖片信息（EXIF數據）
Show/hide this help text	顯示/隱藏說明文字
Size:	大小：
Slide from bottom	從下側滑動
Slide from left	從左側滑動
Slide from right	從右側滑動
Slide from top	從上側滑動
Slideshow	幻燈片
Slideshow with timeout of 'n' seconds (ESC to stop)	n秒逾時幻燈片放映（ESC停止）
Software:	
Sort images by creation date, resp. modification date, resp. file name	依據創建日期、修改日期、文件名排序
Source:	紙張來源：
Target folders that do not yet exist are created as needed.	根據需要創建尚不存在的目標文件夾。
The directory '%s' does not contain any image files!	目錄'%s'沒有圖片文件！
The file '%s' could not be copied!	無法複製文件'%s'！
The file '%s' could not be read!	無法讀取文件'%s'！
The file '%s' could not be renamed!	無法重命名文件'%s'！
The file '%s' does not contain a list of file names!	文件'%s'不包含文件名列表！
The file is read-only!	只讀文件！
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	無法註冊以下文件擴展名，因為在“本機”註冊表區域中已註冊它們。
The following image extensions are protected by the operating system.	以下圖片擴展名被操作系統保護。
The imported param DB contains entries already present in active param DB.	導入的參數數據庫包含已經存在於活動參數數據庫的項目。
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	新的圖片大小太大-寬度或高度大於65536或是總像素數太大！
The old parameter DB file '%s' could not be renamed during conversion to new format!	在轉換為新的格式的過程中無法重命名舊的參數數據庫文件'%s'！
The operation failed because not enough memory is available!	操作失敗，沒有足夠的可用內存！
The parameter DB file '%s' has been created by a newer version of JPEGView!	較新版本的JPEGView已創建參數數據庫文件'%s'！
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	假如圖片被裁剪，可以應用到下一個符合的大小，但是這將消除一些邊框像素的轉換。
These values will override the values from the INI file located in the program folder of JPEGView!	這些值將覆蓋JPEGView程序文件夾中INI文件的值！
Threshold	閾值
Title:	標題：
Toggle between screens (only for multi-monitor systems)	屏幕之間切換（僅適用於多顯示器）
Toggle window always on top mode	切換窗口始終在頂部模式
Toggle window title bar hidden mode	切換窗口標題欄隱藏模式
Top	上
Transition Effect	過度效果
Unregistering not possible	無法取消註冊
Unsharp mask...	USM銳化
Update user settings with new settings from settings template file?	使用設置模板文件中的新設置更新用戶設置？
Use the 'Default Programs' configuration dialog from the operating system instead.	使用操作系統的“默認程序”組態對話框替代。
Use the mouse to draw a line that shall be horizontal or vertical.	使用鼠標來畫一條線，將作為水平線或垂直線。
Warning	警告
Width	寬度
Window mode	窗口模式
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Windows8(及更高版本)阻止JPEGView更改這些文件擴展名的默認程序。
Writing the resulting JPEG file to disk failed	創建的JPEG文件寫入到硬盤時失敗
Y - B	黃-藍
Year short form (2 digits)	年份短格式（2位數）
Yellow-Blue	黃-藍
Zoom 1:1 (100 %)	1:1縮放（100%）
Zoom in (%s)/Zoom out (%s)	放大（%s）/縮小（%s）
Zoom in/out image	放大/縮小圖片
Zoom mode (drag mouse to zoom)	縮放模式（拖動鼠標來縮放）
and image processing (brightness/contrast/sharpen) parameters between images	與圖片之間的圖片處理參數（亮度/對比度/銳化）
cm	厘米
in	英寸
new menu entry	新菜單項
no	否
off	關閉
on	打開
user-defined	
yes	是

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	停止幻燈片/視頻
Open image...	打開圖片...
Open image with	打開圖片方式
Save processed image...	保存處理後的圖片...
Reload image	重新加載圖片
Open containing folder in Explorer	打開圖片所在文件夾
Print image...	打印圖片...
Batch rename/copy...	批量重命名/複製...
Set modification date	設定修改日期
to current date	為當前日期
to EXIF date	為EXIF日期
to EXIF date (all files in folder)	為EXIF日期（該文件夾中的所有文件）
Set as desktop wallpaper	設置為桌面壁紙
Use original image	使用原始圖片
Use processed image as displayed	使用處理後的圖片
Copy to clipboard	複製到剪貼板
Copy original size image	複製原始大小圖片
Copy file path	複製文件路徑
Display order	顯示順序
Modification date	修改日期
Creation date	創建日期
Play folder as slideshow/movie	幻燈片/視頻文件夾
Waiting time	等待時間
1 sec	1秒
2 sec	2秒
3 sec	3秒
4 sec	4秒
5 sec	5秒
7 sec	7秒
10 sec	10秒
20 sec	20秒
Transition Speed	轉換速度
Very fast	非常快
Fast	快
Normal	一般
Slow	慢
Very slow	非常慢
Movie	視頻
Playback speed	播放速度
5 fps	5幀
10 fps	10幀
25 fps	25幀
30 fps	30幀
50 fps	50幀
100 fps	100幀
Transform image	轉換圖片
Rotate +90	旋轉 +90°
Rotate -90	旋轉 -90°
Rotate...	旋轉...
Change size...	變更大小...
Perspective correction...	透視校正...
Mirror horizontally	水平翻轉
Mirror vertically	垂直翻轉
Rotate 180	旋轉180°
Auto correction	自動校正
Save parameters to DB	保存參數到數據庫
Clear parameters from DB	從數據庫清除參數
Zoom	縮放
Span all screens	擴展到全部屏幕
Fit window to image	使窗口適合圖片
Hide window title bar	隱藏窗口標題欄
Set window always on top	將窗口設置為始終在頂部
Settings/Admin	設定/管理
Edit global settings...	編輯全局設置...
Edit user settings...	編輯用戶設置...
Update user settings...	更新用戶設置...
Set current parameters as default values...	設置當前參數為默認值...
Set as default viewer...	設為默認圖片查看器...
Backup parameter DB...	備份參數數據庫...
Restore parameter DB...	還原參數數據庫...
User commands	用戶命令
About JPEGView...	關於JPEGView...
Exit	退出
Crop Selection	裁剪選擇內容
Crop Selection Lossless...	無損裁剪選擇內容...
Copy Selection to Clipboard	複製選擇內容到剪貼板
Crop Mode	裁剪模式
Free	自由
Fixed size...	固定大小...
Zoom to Selection	縮放到選擇內容

// ::: INFO: Out-of-date Translations [17] ::: (Not in use anymore, safe to delete) //
//Actual size of image (Space)	圖片的實際大小
//However this will fail if the current user has no administration privileges.	但是，如果當前用戶沒有管理員權限，本操作將失敗。
//Insufficient rights to remove the restrictions. Continue?	權限不足以移除限制。是否繼續？
//JPEGView can try to remove the restrictions automatically.	JPEGView可以自動嘗試移除限制。
//No file or folder name was provided as command line parameter!	沒有提供文件或文件夾名作為命令行參數！
//PgDn or Right	PgDn或Right
//PgUp or Left	PgUp或Left
//Rename:	重命名：
//Rotate the following file lossless by 270 deg?\n%filename%	您想要以下文件無損旋轉270度嗎?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	您想要以下文件無損旋轉90度嗎?\n%filename%
//The file '%s' could not be %s.	文件 '%s' 無法是 %s。
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	要使用JPEGView請將JPG, JPEG, BMP文件與JPEGView關聯。
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows8限制JPEGView對這些文件擴展名變更為默認程序。
//[new entry]	[新增項目]
//copied	已復制
//renamed	已重命名
//up/down	向上/向下

// ::: INFO: Missing Translations [4] ::: (Summary to assist translators: All missing strings which require translation) - Auto-generated by script //
//! Exif Date Time:
//! Same as Image
//! Software:
//! user-defined

// ::: INFO: Same Translations [2] ::: (Summary to assist translators: All strings which are known not to need translation [String == Translation]) - Auto-generated by script //
//! Box
//! Lanczos/Bicubic

// ::: STATUS: Last Checked/Updated by Script ::: 2023-10-07T05:14:21.946511+00:00 //
//! Translation Progress: 99%
//! * Total (Strings + Menu) = 429
//! * Done = 425
//! * Missing = 4 (1%)
