//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: sv
//: ISO 3166-1 code:
//: Language: Swedish
//: Translator(s): Åke Engelbrektson <eson57@gmail.com> http://svenskasprakfiler.se
//: Last Updated: 2013-12-08
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d  %d fil(er) omdöpt(a), %d fil(er) kopierad(e), %d mapp(ar) skapad(e)	%d
%s camera raw images (embedded JPEGs only)	%s rå-bilder (endast inbäddad JPEG)
%s images	%s bilder
%s images (processed by Window Imaging Component - WIC)	%s bilder (bearbetade av Window Imaging Component - WIC)
'My Pictures' folder	'Mina bilder'
Licensed under the GNU general public license (GPL), see readme file for details	Licensierad under GNU general public license (GPL), se readme.txt för detaljer
Lighten Shadows	Ljusa skuggor
Local density correction	Lokal densitetkorrektion (LDC)
Location:	
Loop folder	Upprepa mapp
Loop recursively	Upprepa rekursivt
Loop siblings	Upprepa mappar på samma nivå
Loop through files in current directory and all sibling folders (folders on same level)	Gå igenom filer i aktuell mapp och alla undermappar (mappar på samma nivå)
Loop through files in current directory and all subfolders	Gå igenom filer i aktuell mapp och alla undermappar
Loop through files in current folder	Gå igenom filer i aktuell katalog
Lossless JPEG transformations	Förlustfri JPEG-transformering
M - G	
Magenta-Green	Magenta-Grön
Manage 'Open image with' menu...	Hantera menyn 'Öppna bild med'...
Margins:	Marginaler:
Mark image for toggling. Use %s to toggle between marked and current image	Markera bild för växling. Använd %s för att växla mellan markerad och aktuell bild
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Maximera/Återställ till/från virtuellt skrivbord (endast för multiskärmsystem)
Menu entries:	Menyposter:
Modification date:	Senast ändrad:
Modifier keys:	Modifierartangenter:
Month / Short form (text)	Månad/kortform (text)
Mouse wheel	Mushjul
Navigation	
New	Ny
New height:	Ny höjd:
New name (>> : file gets copied)	Nytt namn (>> : filen kopieras)
New name contains backslash character!	 Det nya namnet innehåller snedstreck!
New size:	Ny storlek:
New width:	Ny bredd:
Next image	Nästa bild
No image loaded!	Ingen bild inläst
No user INI file exists yet. Create user INI file from INI file template?	Det finns ännu ingen INI-fil för användarinställningar. Vill du skapa en med hjälp av standardmallen?
None	Ingen
Not enough memory available	För lite tillgängligt minne
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	Notera! Du kan ändra värdet i nyckeln 'TrimWithoutPromptLosslessJPEG=true' i inställningsfilen 'JPEGView.ini' för att alltid beskära, utan att visa detta meddelande.
Number (consecutively numbered)	Nummer (löpande numrering)
Number of CPU cores used	Antal processorkärnor
Number of JPEG files in folder: %d	Antal JPEG-filer i mappen: %d
Number with N digits	Nummer med N-siffror
OK	
Old name	Tidigare namn
Open folder containing image and select in Windows Explorer	
Open new image or slideshow file	Öppna ny bild- eller bildspelsfil
Order files by	Sortera filer efter
Orientation:	Orientering:
Original file extension	 Ursprungligt filnamnstillägg
Original file name (with extension)	 Ursprungligt filnamn (med filnamnstillägg)
Original file name (without extension)	Ursprungligt filnamn (utan filnamnstillägg)
Pan image	Panoramabild
Paper:	Papper:
Parameter DB	Databas
Parameter DB error	Databasfel
Parameter DB file '%s' could not be opened!	Databasfilen '%s' kan inte öppnas!
Parameter DB file '%s' is not valid (invalid header)!	Databasfilen '%s' är inte giltig !
Paste from clipboard	Klistra in från urklipp
Pasting image from clipboard failed!	Kunde inte klistra in från urklipp!
Performing the lossless transformation failed!	Förlustfri transformering misslyckades!
Performing the transformation failed	Kunde inte transformera
Perspective Correction	Perspektivkorrigering
Pixels	Pixel
Placeholders:	Platshållare:
Portrait	Porträtt
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	Tryck 'OK' för att fortsätta med associeringen eller 'Avbryt' för att avbryta all registrering.
Press ESC to exit...	Tryck 'ESC' för att avsluta...
Press any key to search the subdirectories for image files.	Tryck på valfri tangent för att söka igenom undermappar efter bildfiler.
Preview	Förhandsgranskning
Previous image	Föregående bild
Print	Skriv ut
Print Image	Skriv ut bild
Printer driver	Skrivardrivrutin
Printer:	Skrivare:
Project home page	Projektets hemsida
Radius	Radie
Random	Slumpmässig
Reading the JPEG file from disk failed	Kunde inte läsa in JPEG-filen
Reason:	Orsak:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	Registrering eller avregistrering av filtillägg i den här registersektionen kräver administratörsbehörighet och kan inte utföras i JPEGView.
Registration applies to the current user only.	Inställningen gäller endast aktuellt användarkonto
Remove from	Ta bort från
Rename	Byt namn
Rename/copy images to:	Byt namn/ Kopiera bilder till:
Renaming file failed!	 Namnändring misslyckades!
Reset	Återställ
Resize Image	Ändra bildstorlek
Right	Höger
Right mouse button: Context menu	Höger musknapp: Kontextmeny
Roll from bottom	Rulla in från botten
Roll from left	Rulla in från vänster
Roll from right	Rulla in från höger
Roll from top	Rulla in från toppen
Rotate Image	Rotera bild
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	 Rotera aktuell bild förlustfritt 270 grader (W/H måste vara multipel 16)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	 Rotera aktuell bild förlustfritt 90 grader (W/H måste vara multipel 16)
Rotate image 90 deg clockwise	Rotera bilden 90 grader medurs
Rotate image 90 deg counter-clockwise	Rotera bilden 90 grader moturs
Rotate image and fit to screen	Rotera bild och anpassa till skärm
Rotate image by user-defined angle	Rotera bild till anpassad vinkel
Rotate the image by dragging with the mouse.	Rotera bilden genom att dra med musen
SIMD mode used	SIMD-läge
Same as Image	
Saturation	Mättnad
Save	Spara
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Spara(%s)/Ta bort(%s) berbetningsparametrar i/från databas (DB)
Save as (in screen size/resolution)	Spara som (i skärmstorlek/-upplösning
Save as template	Spara som mall
Save cropped image	Spara beskuren bild
Save processed image to JPEG file (original size)	Spara bearbetad bild som JPEG-fil (originalstorlek)
Save processed image to JPEG file (screen size)	Spara bearbetad bild i JPEG-format (skärmstorlek)
Save to	Spara till
Scaling mode:	Skalningsläge:
Screen Pixels	Skärm-pixel
Scroll from bottom	Skrolla från botten
Scroll from left	Skrolla från vänster
Scroll from right	Skrolla från höger
Scroll from top	Skrolla från toppen
Select Printer...	Välj skrivare...
Select all	Markera alla
Select application	Välj program
Select file to display in 'File Open' dialog	Välj fil att visa med 'Öppna fil'
Select none	  Avmarkera alla
Select parameter DB to restore	Välj databas att återställa
Set Fixed Crop Size	Bestäm fixerad beskärningsstorlek
Set JPEGView as default image viewer	Ange JPEGView som standardbildvisare
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Bestäm timeout till n/10 sek, respektive n/100 sek (Ctrl+Shift)
Shall existing entries be preserved (Yes) or be overriden by the imported entries (No)?	Skall dom nuvarande posterna bevaras (Ja) eller skrivas över av importerade poster (Nej)?
Sharpen	Skärpa
Sharpen low	Låg skärpa
Sharpen medium	Medium skärpa
Shortcut Help	Genvägshjälp
Shortcut key:	Tangentbordsgenväg:
Show filename	Visa filnamn
Show first image in folder	Visa första bilden i mappen
Show grid lines	Visa stödlinjer
Show histogram	Visa Histogram
Show last image in folder	Visa sista bilden i mappen
Show navigation panel	Visa navigationspanel
Show next image	Visa nästa bild
Show picture info (EXIF)	Visa bildinformation (EXIF)
Show previous image	Visa föregående bild
Show/hide file name	Visa/Dölj filnamn
Show/hide navigation panel	 Visa/Dölj navigationspanel
Show/hide picture information (EXIF data)	Visa/Dölj bildinformation (EXIF-data)
Show/hide this help text	Visa/Dölj denna hjälptext
Size:	Storlek:
Slide from bottom	Skjut in från botten
Slide from left	Skjut in från vänster
Slide from right	Skjut in från höger
Slide from top	Skjut in från toppen
Slideshow	Bildspel
Slideshow with timeout of 'n' seconds (ESC to stop)	Bildspel med n sekunders timeout (ESC för att stoppa)
Sort images by creation date, resp. modification date, resp. file name	Sortera bilder efter respektive Skapad/Senast ändrad/Filnamn
Source:	Källa:
Target folders that do not yet exist are created as needed.	Målmapp som ännu inte existerar skapas vid behov
The directory '%s' does not contain any image files!	Mappen '%s' innehåller inga bildfiler!
The file '%s' could not be copied!	
The file '%s' could not be read!	Filen '%s' kunde inte läsas!
The file '%s' could not be renamed!	
The file '%s' does not contain a list of file names!	Filen '%s' innehåller ingen lista på filnamn!
The file is read-only!	 Filen är skrivskyddad!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Följande filtillägg kan inte avregistreras eftersom de har registrerats i registersektionen 'HKEY_LOCAL_MACHINE'.
The following image extensions are protected by the operating system.	Följande filtillägg skyddas av operativsystemet.
The imported param DB contains entries already present in active param DB.	Den importerade databasen innehåller poster som redan finns i aktiv databas.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	Den nya storleken är för stor - Bredd eller höjd är större än 65535, eller totala pixelantalet är för stort!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Den gamla databasfilen '%s' kunde inte döpas om under konvertering till nytt format!
The operation failed because not enough memory is available!	Åtgärden misslyckades, eftersom det inte finns tillräckligt med ledigt minne tillgängligt.
The parameter DB file '%s' has been created by a newer version of JPEGView!	Databasfilen '%s' har skapats av en nyare version av JPEGView!
The transformation can be applied if the image is trimmed to the next matching size but this will remove some border pixels.	Transformering kan utföras om bilden beskärs till närmast matchande storlek, men bilden blir alltså något beskuren.
These values will override the values from the INI file located in the program folder of JPEGView!	Dessa värden kommer att åsidosätta värdena från ini-filen i JPEGView-programmappen!
Threshold	Tröskelvärde
Title:	Namn:
Toggle between screens (only for multi-monitor systems)	Växla mellan skärmar (endast flerskärmssystem)
Toggle window always on top mode	
Toggle window title bar hidden mode	
Top	Överkant
Transition Effect	Övergångseffekt
Trim the image and apply transformation? Trimming cannot be undone!	Vill du beskära bilden och slutföra transformeringen? Beskärningen kan inte ångras!
Unregistering not possible	Avregistrering är inte möjlig
Unsharp mask...	Oskärpa...
Update user settings with new settings from settings template file?	
Use the 'Default Programs' configuration dialog from the operating system instead.	Använd istället operativsystemets inställningsdialog för 'Standardprogram'.
Use the mouse to draw a line that shall be horizontal or vertical.	Rita en horisontell eler vertikal linje med musen.
Warning	Varning
Width	Bredd
Window mode	Fönsterläge
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	
Writing the resulting JPEG file to disk failed	Kunde inte skriva utdatafilen till disk
Y - B	G - B
Year short form (2 digits)	År/kortform (2 siffror)
Yellow-Blue	Gul-Blå
Zoom 1:1 (100 %)	
Zoom in (%s)/Zoom out (%s)	Zoom in (%s)/Zoom ut (%s)
Zoom in/out image	Zoom in/ut
Zoom mode (drag mouse to zoom)	Zoom-läge (Dra med musen för att zooma)
and image processing (brightness/contrast/sharpen) parameters between images	och bildprocessande (ljus/kontrast/skärpa) parametrar mellan bilder.
cm	
in	
new menu entry	
no	nej
off	av
on	på
user-defined	
yes	ja

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Stoppa bildspel/film
Open image...	Öppna bild...
Open image with	Öppna bild med
Save processed image...	Spara bearbetad bild...
Reload image	Uppdatera bild från original
Open containing folder in Explorer	
Print image...	Skriv ut bild...
Batch rename/copy...	Byt namn/kopiera (Batch-läge)
Set modification date	Ange 'Senast ändrad'...
to current date	till aktuellt datum
to EXIF date	till EXIF-datum
to EXIF date (all files in folder)	till EXIF-data (alla filer i mappen)
Set as desktop wallpaper	Använd som skrivbordsbakgrund
Use original image	Använd originalbild
Use processed image as displayed	Använd bearbetad bild som visas
Copy to clipboard	Kopiera till urklipp
Copy original size image	Kopiera bild i originalstorlek
Copy file path	
Display order	Sortera efter
Modification date	Senast ändrad
Creation date	Skapad
Play folder as slideshow/movie	Visa mappen som bildspel/film
Waiting time	Väntetid
1 sec	
2 sec	
3 sec	
4 sec	
5 sec	
7 sec	
10 sec	
20 sec	
Transition Speed	Övergångshastighet
Very fast	Mycket snabb
Fast	Snabb
Normal	
Slow	Långsam
Very slow	Mycket långsam
Movie	Film
Playback speed	
5 fps	
10 fps	
25 fps	
30 fps	
50 fps	
100 fps	
Transform image	Redigera bild
Rotate +90	Rotera +90
Rotate -90	Rotera -90
Rotate...	Rotera...
Change size...	Ändra storlek...
Perspective correction...	Perspektivkorrigering...
Mirror horizontally	Vänd horisontellt
Mirror vertically	Vänd vertikalt
Rotate 180	Rotera 180
Auto correction	Automatisk bildjustering
Save parameters to DB	Spara parametrar till databas
Clear parameters from DB	Ta bort parametrar från databas
Zoom	
Span all screens	Sträck ut över alla skärmar
Fit window to image	Anpassa fönster efter bild
Hide window title bar	
Set window always on top	
Settings/Admin	Inställningar/Administration
Edit global settings...	Redigera globala inställningar...
Edit user settings...	Redigera användarinställningar...
Update user settings...	
Set current parameters as default values...	Spara parametrar till INI...
Set as default viewer...	Ange som standardvisare...
Backup parameter DB...	Säkerhetskopiera databas...
Restore parameter DB...	Återställ databas...
User commands	Användarkommandon
About JPEGView...	Om JPEGView...
Exit	Avsluta
Crop Selection	Beskär
Crop Selection Lossless...	Beskär förlustfritt...
Copy Selection to Clipboard	Kopiera markerat område till urklipp
Crop Mode	Beskärningsalternativ
Free	Flexibel storlek
Fixed size...	Fixerad storlek...
Zoom to Selection	Zooma in markerat område

// ::: INFO: Out-of-date Translations [16] ::: (Not in use anymore, safe to delete) //
//However this will fail if the current user has no administration privileges.	Det kommer dock att misslyckas om aktuellt användarkonto saknar administratörsrättigheter.
//Insufficient rights to remove the restrictions. Continue?	Otillräckliga rättigheter för att ta bort restriktionerna. Vill du fortsätta?
//JPEGView can try to remove the restrictions automatically.	JPEGView kan försöka ta bort restriktionerna automatiskt.
//No file or folder name was provided as command line parameter!	Ingen fil eller mapp angavs som kommandoradsparameter!
//PgDn or Right	PgDn eller höger
//PgUp or Left	PgUp eller vänster
//Rename:	Byt namn:
//Rotate the following file lossless by 270 deg?\n%filename%	Rotera följande bild förlustfritt 270 grader?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	Rotera följande bild förlustfritt 90 grader?\n%filename%
//The file '%s' could not be %s.	Filen '%s' kan inte vara %s
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	För att använda JPEGView, associera JPG-, JPEG- och BMP-filer med JPEGView.
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 blockerar JPEGViews försök att ändra standardprogram för dessa filändelser.
//[new entry]	[ny post]
//copied	kopierad
//renamed	omdöpt
//up/down	upp/ner

// ::: INFO: Missing Translations [53] ::: (Summary of all missing strings to assist translators - Auto-generated by script) //
//! About JPEGView (32-bit version)...
//! About JPEGView (64-bit version)...
//! All existing user settings will be preserved.
//! Altitude (m):
//! Box
//! C - R
//! Clipboard Image
//! Copy file path of the image to clipboard
//! Decoding this format requires the Microsoft Visual C++ Redistributable.
//! Fill paper with crop
//! Filter:
//! High quality resampling
//! Insufficient rights to change the privilege (DACL) on the registry entry. Continue?
//! Lanczos/Bicubic
//! Location:
//! M - G
//! Navigation
//! OK
//! Open folder containing image and select in Windows Explorer
//! Same as Image
//! The file '%s' could not be copied!
//! The file '%s' could not be renamed!
//! Toggle window always on top mode
//! Toggle window title bar hidden mode
//! Update user settings with new settings from settings template file?
//! Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.
//! Zoom 1:1 (100 %)
//! cm
//! in
//! new menu entry
//! user-defined
//! Open containing folder in Explorer
//! Copy file path
//! 1 sec
//! 2 sec
//! 3 sec
//! 4 sec
//! 5 sec
//! 7 sec
//! 10 sec
//! 20 sec
//! Normal
//! Playback speed
//! 5 fps
//! 10 fps
//! 25 fps
//! 30 fps
//! 50 fps
//! 100 fps
//! Zoom
//! Hide window title bar
//! Set window always on top
//! Update user settings...

// ::: STATUS: Last Checked/Updated by Script ::: 2023-03-09T12:34:04.516306+00:00 //
//! Translation Progress: 88%
//! * Total (Strings + Menu) = 427
//! * Done = 374
//! * Missing = 53 (12%)
