//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ja
//: ISO 3166-1 code:
//: Language: Japanese (日本語)
//: Translator(s) - Name <Contact Info/URL>: Hiroyuki Matenokoji, maboroshin
//: Last Updated: 2023-03-04
//: Additional Notes:
//TranslatorURL=https://pc.genkaku.in/
// 1st Japanese translation : by Hiroyuki Matenokoji. (2015)
// 2nd translator: Japanese by maboroshin (2019-2023, Adjustment, and translate little new part)
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d個を改名 %d個をコピー %d個のフォルダを作成
%s camera raw images (embedded JPEGs only)	%s 個のRAW画像 (埋め込みJPEGのみ)
%s images	%s 個の画像
%s images (processed by Window Imaging Component - WIC)	%s 個の画像 (Windows Imaging - WIC で処理)
'My Pictures' folder	「ピクチャ」フォルダ
New name contains backslash character!	改名先の名前にバックスラッシュ \ が含まれています。
New size:	サイズの指定:
New width:	幅の指定:
Next image	次の画像
No image loaded!	画像なし
No user INI file exists yet. Create user INI file from INI file template?	個人用のINIがありません。テンプレートから新規のINIファイルを作成しますか？
None	なし
Not enough memory available	メモリー不足
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	注意: INIファイルに CropWithoutPromptLosslessJPEG=true を設定すると、警告なしでトリミングします。
Number (consecutively numbered)	通し番号
Number of CPU cores used	CPUコア数
Number of JPEG files in folder: %d	フォルダ内のJPEGファイル数: %d
Number with N digits	N桁の番号
OK	OK
Old name	元の名前
Open folder containing image and select in Windows Explorer	この画像が含まれるフォルダをエクスプローラで開き選択状態にする
Open new image or slideshow file	画像またはスライドショーを開く
Order files by	ファイルの順序
Orientation:	印刷の向き:
Original file extension	元のファイルの拡張子
Original file name (with extension)	元のファイル名(拡張子含む)
Original file name (without extension)	元のファイル名(拡張子除く)
Pan image	全画面表示
Paper size:	用紙サイズ:
Parameter DB	パラメーターファイル
Parameter DB error	パラメーターファイルのエラー
Parameter DB file '%s' could not be opened!	パラメーターファイルが開けません。 %s
Parameter DB file '%s' is not valid (invalid header)!	パラメーターファイルが無効です。 %s
Paste from clipboard	クリップボードから貼り付け
Pasting image from clipboard failed!	クリップボードからの貼り付けに失敗
Performing the lossless transformation failed!	ロスレス変形に失敗
Performing the transformation failed	変形失敗
Perspective Correction	遠近法の調整
Pixels	ピクセル
Placeholders:	引数の使用:
Portrait	縦
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	関連付け実行は「OK」、変更しない場合は「キャンセル」を選択してください。
Press ESC to exit...	F1: ヘルプ, ESC で終了...
Press any key to search the subdirectories for image files.	サブフォルダ内の画像を探索するには何かキーを押します。
Preview	プレビュー
Previous image	前の画像
Print	印刷
Print Image	画像の印刷
Printer driver	プリンタードライバー
Printer:	プリンター:
Project home page	プロジェクトのホームページ
Radius	半径
Random	ランダム
Reading the JPEG file from disk failed	JPEGファイル読み込み失敗
Reason:	原因:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	この拡張子の関連付け/解除には管理者権限が必要なので、JPEGViewでは変更できません。
Registration applies to the current user only.	関連付けは現在のユーザーのみに有効です。
Remove from	削除
Rename	変更を実行
Rename/copy images to:	変更先のパスやファイル名:
Renaming file failed!	名前の変更に失敗
Reset	リセット
Resize Image	画像サイズの変更
Right	右
Right mouse button: Context menu	マウスの右クリック: コンテキストメニュー
Roll from bottom	下からロール
Roll from left	左からロール
Roll from right	右からロール
Roll from top	上からロール
Rotate Image	画像を回転
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	表示中の画像をロスレスで270度回転 (縦横サイズは16の倍数にすべき)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	表示中の画像をロスレスで90度回転 (縦横サイズは16の倍数にすべき)
Rotate image 90 deg clockwise	右回り90度回転
Rotate image 90 deg counter-clockwise	左回り90度回転
Rotate image and fit to screen	画像の回転と画面にフィット
Rotate image by user-defined angle	任意の角度で画像を回転
Rotate the image by dragging with the mouse.	マウスのドラッグで回転します。
SIMD mode used	使用したSIMDの種類
Same as Image	画像と同じ
Saturation	彩度
Save	保存
Save (%s) / delete (%s) image processing parameters into/from parameter DB	画像加工のパラメーターを保存(%s)/削除(%s)
Save as (in screen size/resolution)	名前を付けて保存 (画面サイズ/解像度)
Save as template	テンプレートとして保存
Save cropped image	切り取り範囲を保存
Save processed image to JPEG file (original size)	加工した画像をJPEGファイルに保存
Save processed image to JPEG file (screen size)	加工した画像をJPEGに保存 (画面サイズ)
Save to	保存
Scaling mode:	拡大モード:
Screen Pixels	モニターのピクセル数
Scroll from bottom	下からスクロール
Scroll from left	左からスクロール
Scroll from right	右からスクロール
Scroll from top	上からスクロール
Select Printer...	プリンターの選択...
Select all	すべて選択
Select application	アプリケーションを選択
Select file to display in 'File Open' dialog	画像ファイルを「開く」で選択
Select none	すべて選択解除
Select parameter DB to restore	復元するパラメーターファイルを選択
Set Fixed Crop Size	切り取りサイズの固定
Set JPEGView as default image viewer	JPEGView を規定の画像ビューアに設定
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	秒間隔を 1/10秒で設定、Ctrl+Shift で 1/100秒
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	現在のパラメーターを維持(Yes)、インポートを有効化(No)
Sharpen	シャープ
Sharpen low	シャープ 低
Sharpen medium	シャープ 中
Shortcut Help	ヘルプ
Shortcut key:	ショートカットキー:
Show filename	ファイル名を表示
Show first image in folder	フォルダ内の最初の画像を表示
Show grid lines	グリッドを表示
Show histogram	ヒストグラムを表示
Show last image in folder	フォルダ内の最後の画像を表示
Show navigation panel	操作パネルを表示
Show next image	次の画像を表示
Show picture info (EXIF)	画像情報(EXIF)を表示
Show previous image	前の画像を表示
Show/hide file name	ファイル名を表示/非表示
Show/hide navigation panel	操作パネルを表示/非表示
Show/hide picture information (EXIF data)	画像情報 (EXIF) を表示/非表示
Show/hide this help text	このヘルプを表示/非表示
Size:	サイズ:
Slide from bottom	下からスライド
Slide from left	左からスライド
Slide from right	右からスライド
Slide from top	上からスライド
Slideshow	スライドショー
Slideshow with timeout of 'n' seconds (ESC to stop)	スライドショー切り替えの秒間隔 (ESCキーで停止)
Sort images by creation date, resp. modification date, resp. file name	作成日時/更新日時/ファイル名で画像を並び替え
Source:	給紙方法:
Target folders that do not yet exist are created as needed.	存在しないフォルダは作成されます。
The directory '%s' does not contain any image files!	このフォルダに画像ファイルはありません。 %s
The file '%s' could not be copied!	このファイルをコピーできません。 %s
The file '%s' could not be read!	 このファイルを読み込めません。 %s
The file '%s' could not be renamed!	このファイルを改名できません。 %s
The file '%s' does not contain a list of file names!	このファイル内にファイル名の一覧はありません。 %s
The file is read-only!	このファイルは読み取り専用です。
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	以下の拡張子は、レジストリの 'local machine' 内で関連付けされているので登録を解除できません。
The following image extensions are protected by the operating system.	以下の画像用の拡張子は Windows によって保護されています。
The imported param DB contains entries already present in active param DB.	インポートしたパラメーターが現在有効なパラメーターと競合します。
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	指定サイズが大きすぎます。 縦か横が65535以上、または、ピクセルの総数が多すぎます。
The old parameter DB file '%s' could not be renamed during conversion to new format!	古い形式のパラメーターファイル %s を新しい形式に変換できません。
The operation failed because not enough memory is available!	メモリー不足で操作に失敗
The parameter DB file '%s' has been created by a newer version of JPEGView!	パラメーターファイル %s が新しいバージョンの JPEGView で作成されています。
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	変形は次のサイズの場合に可能です。ただし境界のピクセルはトリミングされます。
These values will override the values from the INI file located in the program folder of JPEGView!	このパラメーターはJPEGViewフォルダ内のINIファイルの設定よりも優先されます
Threshold	閾値
Title:	タイトル:
Toggle between screens (only for multi-monitor systems)	マルチモニターで別画面に表示
Toggle window always on top mode	ウィンドウを常に手前に表示するモードを切り替え
Toggle window title bar hidden mode	ウィンドウのタイトルバーを表示/隠すを切り替え
Top	上
Transition Effect	遷移時の視覚効果
Unregistering not possible	解除できません
Unsharp mask...	ぼかしマスク...
Update user settings with new settings from settings template file?	設定用テンプレートファイルの新しい設定で個人設定を更新しますか？
Use the 'Default Programs' configuration dialog from the operating system instead.	代わりに、Windowsの設定の「既定のプログラム」を利用してください。
Use the mouse to draw a line that shall be horizontal or vertical.	マウスで縦か横の線を描きます。
Warning	注意
Width	幅
Window mode	ウィンドウ表示
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Windows 8（またそれ以降）では、これらのファイル拡張子の既定のプログラムを JPEGView が変更することを阻止されます。
Writing the resulting JPEG file to disk failed	JPEGファイル保存失敗
Y - B	A - A
Year short form (2 digits)	年数2桁
Yellow-Blue	イエロー/青
Zoom 1:1 (100 %)	実寸表示 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	拡大(%s)/縮小(%s)
Zoom in/out image	拡大/縮小
Zoom mode (drag mouse to zoom)	拡大モード (マウスでドラッグ)
and image processing (brightness/contrast/sharpen) parameters between images	明るさ、コントラスト、シャープのパラメーターを保持
cm	cm
in	inch
new menu entry	新しいメニュー項目
no	なし
off	オフ
on	オン
user-defined	ユーザー指定
yes	あり

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	スライドショー/動画を停止
Open image...	画像ファイルを開く...
Open image with	プログラムで画像を開く
Save processed image...	加工した画像を保存...
Reload image	画像を再読み込み
Open containing folder in Explorer	エクスプローラーでこのフォルダを開く
Print image...	画像の印刷...
Batch rename/copy...	一括で改名/コピー...
Set modification date	更新日時を設定
to current date	現在の日時
to EXIF date	EXIFの日時
to EXIF date (all files in folder)	EXIFの日時 (フォルダ内すべて)
Set as desktop wallpaper	デスクトップの壁紙に設定
Use original image	元の画像を使用
Use processed image as displayed	表示されている加工済み画像を使用
Copy to clipboard	クリップボードにコピー
Copy original size image	元のサイズのままコピー
Copy file path	ファイルのパスをコピー
Display order	表示順
Modification date	更新日時
Creation date	作成日時
Play folder as slideshow/movie	スライドショー/動画でフォルダを表示
Waiting time	待ち時間
1 sec	1秒
2 sec	2秒
3 sec	3秒
4 sec	4秒
5 sec	5秒
7 sec	7秒
10 sec	10秒
20 sec	20秒
Transition Speed	遷移時間
Very fast	速い
Fast	速め
Normal	標準
Slow	遅め
Very slow	遅い
Movie	動画
Playback speed	再生速度
5 fps	5 fps
10 fps	10 fps
25 fps	25 fps
30 fps	30 fps
50 fps	50 fps
100 fps	100 fps
Transform image	画像の変形
Rotate +90	+90度回転
Rotate -90	-90度回転
Rotate...	回転...
Change size...	サイズ変更...
Perspective correction...	遠近法の調整...
Mirror horizontally	横に反転
Mirror vertically	縦に反転
Rotate 180	180度回転
Auto correction	自動補正
Save parameters to DB	パラメーターデータを記憶
Clear parameters from DB	パラメーターデータの記憶を消去
Zoom	拡大
Span all screens	マルチモニター横断
Fit window to image	画像にウィンドウをフィット
Hide window title bar	ウィンドウのタイトルバーを隠す
Set window always on top	常に手前に表示
Settings/Admin	設定/管理者
Edit global settings...	共通設定の変更...
Edit user settings...	個人設定の変更...
Update user settings...	個人設定の更新...
Set current parameters as default values...	現在のパラメーターを規定に設定...
Set as default viewer...	規定の画像ビューアとして設定...
Backup parameter DB...	パラメーターのバックアップ...
Restore parameter DB...	バックアップしたパラメーターの復元...
User commands	ユーザーコマンド
About JPEGView...	JPEGViewについて...
Exit	終了
Crop Selection	選択範囲を切り取り
Crop Selection Lossless...	選択範囲をロスレスで切り取り...
Copy Selection to Clipboard	選択範囲をクリップボードにコピー
Crop Mode	切り取り比
Free	自由選択
Fixed size...	固定サイズ...
Zoom to Selection	選択範囲を拡大

// ::: INFO: Out-of-date Translations [15] ::: (Not in use anymore, safe to delete) //
//Insufficient rights to remove the restrictions. Continue?	制限の除去に必要な権限がありません。続けますか？
//Local density correction:	色濃度の補正:
//No file or folder name was provided as command line parameter!	コマンド中にファイル名かフォルダ名の指定がありません
//PgDn or Right	PgDown または 右矢印
//PgUp or Left	PgUp または 左矢印
//Rename:	名前の変更
//Rotate the following file lossless by 270 deg?\n%filename%	画像をロスレスで270度回転しますか？ \n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	画像をロスレスで90度回転しますか？ \n%filename%
//The file '%s' could not be %s.	%s ファイルは %s できません。
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	JPEGView を使うには、JPG、JPEG、BMPファイルを JPEGViewに 関連付けしてください
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 では、これらのファイルの既定のビューアに JPEGView を指定できません。
//[new entry]	[新しい項目]
//copied	コピー
//renamed	改名
//up/down	上/下

// ::: STATUS: Last Checked/Updated by Script ::: 2023-03-14T00:34:40.428909+00:00 //
//! Translation Progress: 100%
//! * Total (Strings + Menu) = 427
//! * Done = 427
//! * Missing = 0 (0%)
