//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: eu
//: ISO 3166-1 code:
//: Language: Basque
//: Translator(s) - Name <Contact Info/URL>:
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d agiri berrizendatuta, %d agiri kopiatuta, %d agiritegi sortuta
%s camera raw images (embedded JPEGs only)	%s kamera raw irudiak (barneratutako JPEG-ak  bakarrik)
%s images	%s irudiak
%s images (processed by Window Imaging Component - WIC)	%s irudi (Window Imaging Component - WIC-rekin prozesatuta)
'My Pictures' folder	'Nire Argazkiak' agiritegia
Enable/disable landscape picture enhancement mode	Gaitu/Ezgaitu etzaneko argazki hobekuntza modua
Error	Akatsa
Error during rename/copy	Akatsa berrizendatze/kopiatzerakoan
Error saving file	Akatsa agiria gordetzerakoan
Error while writing the following registry key	Akatsa hurrengo erregistro giltza idazterakoan
Error writing file to disk!	Akatsa agiria diskan idazterakoan!
Example:	Adibidea:
Exposure bias (EV):	Bias jarpena (EV):
Exposure time (s):	Jarpen denbora (s):
Extension	Hedapena
Extracted number from original file name	Jatorrizko agiritik ateratako zenbakia
F-Number:	F-Zenbakia:
File name	Agiri izena
File size	Agiri neurria
File type	Agiri mota
Fill page with crop	Bete papera mozketarekin
Fill with crop	Bete mozkinekin
Fill with crop (no zoom)	Bete mozkinekin (zoom gabe)
Filter:	Iragazkia:
Fit image to screen	Finkatu irudia ikusleihoan
Fit to page	Finkatu paperera
Fit to screen	Finkatu ikusleihora
Fit to screen (no zoom)	Finkatu ikusleihora (zoom gabe)
Flash fired:	Flash eragiketa:
Focal length (mm):	Foku luzera (mm):
Forward mouse button	Saguaren aurrera botoia
Full screen mode	Ikusleiho-osoko modua
Goto first/last image of current folder (using sort order as defined)	Joan lehen/azken irudira oraingo agiritegian (zehaztutako antolakuntza hurrenkera jarraituz)
Goto next image	Joan hurrengo irudira
Goto previous image	Joan aurreko irudira
Height	Garaiera
Hide histogram	Ezkutatu histograma
High quality resampling	
Hour / Minute (as numbers)	
ISO Speed:	ISO Abiadura:
Image Pixels	Irudi Pixel
Image files in folder	Irudi agiriak agiritegian
Image height:	Irudiaren garaiera:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Irudiaren zabalera eta garaiera JPEG bloke neurriagaitik (8 edo 16) zatikagarria izan behar da galeragabeko eraldaketetarako!
Image width:	Irudiaren zabalera:
Images	Irudiak
Increase/decrease auto color cast correction amount	Gehitu/Gutxitu berez margo zuzenketa kopurua
Increase/decrease auto contrast correction amount	Gehitu/Gutxitu berez zuribeltztasun zuzenketa kopurua
Increase/decrease brightness	Gehitu/Gutxitu dizdira
Increase/decrease contrast	Gehitu/Gutxitu zuribeltztasuna
Increase/decrease darkening of highlights (LDC must be on)	Gehitu/Gutxitu nabarmenen ilunpena (LDC eraginda egon behar da)
Increase/decrease lightening of shadows (LDC must be on)	Gehitu/Gutxitu itzalen argipena (LDC eraginda egon behar da)
Increase/decrease sharpness	Gehitu/Gutxitu garbitasuna
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	JPEGIkusgailu Laguntza
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView ikusgailu/editatzaile gihartsu, azkar eta oso itxuragarri bat da JPEG, BMP, PNG, WEBP, TGA, GIF eta TIFF irudientzat gutxienezko EIG batekin.
JPEGView is registered as default viewer for the selected file formats.	JPEGIkusgailua berezko ikusgailu bezala erregistratu da hautaturiko agiri heuskarrientzat.
Keep aspect ratio on crop	Heutsi ikuspegi mailari mozterakoan
Keep parameters	Heutsi parametroei
Keep processing parameters between images	Heutsi prozesapen parametroei irudi artean
Known keys:	Tekla ezagunak:
Lanczos/Bicubic	Lanczos/Bikubikoa
Landscape	Landargazkia
Landscape picture enhancement mode	Landargazki irudi hobekuntza modua
Last modification date/time	Azken aldaketa eguna/ordua
Left	Ezkerra
Left mouse & drag	Saguaren ezker botoia eta arrastatu
Licensed under the GNU general public license (GPL), see readme file for details	GNU Baimen Publiko Orokorraz (GPL) baimenduta, ikusi 'irakurri' agiria xehetasun gehiagorako
Lighten Shadows	Itzal arinak
Local density correction	Tokiko dentsitate zuzenketa
Location:	
Loop folder	Bigiztatu agiritegia
Loop recursively	Bigiztatu etengabe
Loop siblings	Bigiztatu kidetuak
Loop through files in current directory and all sibling folders (folders on same level)	Bigiztatu agirien artean oraingo zuzenbidean eta agiritegi kidetu guztietan (maila bereko agiritegiak)
Loop through files in current directory and all subfolders	Bigiztatu agirien artean oraingo zuzenbidean eta azpizuzenbide guztietan
Loop through files in current folder	Bigiztatu agirien artean oraingo agiritegian
Lossless JPEG transformations	Galeragabeko JPEG eraldaketak
M - G	Mo - Og
Magenta-Green	Magenta-Orlegia
Manage 'Open image with' menu...	Kudeatu 'Ireki irudia honekin' menua...
Margins:	Bazterrak:
Mark image for toggling. Use %s to toggle between marked and current image	Markatu irudia aldaketarako. Erabili %s markatutako eta oraingo irudiaren artean aldatzeko
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Handitu/Leheneratu mahaigain birtualera/-tik (monitore-anitzeko sistematan bakarrik)
Menu entries:	Menuko sarrerak:
Modification date:	Aldaketa eguna:
Modifier keys:	Aldatzaile teklak:
Month / Short form (text)	Hilabetea / Laburtuta (idazkia)
Mouse wheel	Sagu gurpila
Navigation	Nabigazioa
New	Berria
New height:	Garaiera berria:
New name (>> : file gets copied)	Izen berria (>> : agiria kopiatzen da)
New name contains backslash character!	Izen berriak ezkerbarra du!
New size:	Neurri berria:
New width:	Zabalera berria:
Next image	Hurrengo irudia
No image loaded!	Ez da irudirik gertatu!
No user INI file exists yet. Create user INI file from INI file template?	Oraindik ez dago erabiltzaile INI agiririk. Sortu erabiltzaile INI agiria INI agiri eredutik?
None	Ezer ez
Not enough memory available	Ez dago nahikoa oroimen eskuragarri
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	Oharra: Ezarri 'CropWithoutPromptLosslessJPEG=true' INI agirian betik mozteko mezu hau erakutsi gabe.
Number (consecutively numbered)	Zenbakia (jarraian zenbakituta)
Number of CPU cores used	Erabilitako CPU nukleo zenbatekoa
Number of JPEG files in folder: %d	Agiritegiko JPEG agiri zenbatekoa: %d
Number with N digits	N digitodun zenbakia
OK	Ongi
Old name	Izen zaharra
Open folder containing image and select in Windows Explorer	
Open new image or slideshow file	Ireki irudi berri bat edo aurkezpen agiria
Order files by	Antolatu agiriak honela
Orientation:	Norabidea:
Original file extension	Jatorrizko agiriaren hedapena
Original file name (with extension)	Jatorrizko agiri izena (hedapenarekin)
Original file name (without extension)	Jatorrizko agiri izena (hedapengabe)
Pan image	Pan irudia
Paper size:	Papera:
Parameter DB	BD Parametroak
Parameter DB error	BD parametro akatsa
Parameter DB file '%s' could not be opened!	'%s' parametro DB agiria ezin da ireki!
Parameter DB file '%s' is not valid (invalid header)!	'%s' parametro DB agiria ez da baliozkoa (idazburu baliogabea)!
Paste from clipboard	Itsatsi gakotik
Pasting image from clipboard failed!	Hutsegitea irudia gakotik itsasterakoan!
Performing the lossless transformation failed!	Hutsegitea galeragabeko eraldaketa egiterakoan!
Performing the transformation failed	Hutsegitea eraldaketa egiterakoan
Perspective Correction	Ikuspegi Zuzenketa
Pixels	Pixel
Placeholders:	Ordezte-ezarpenak:
Portrait	Argazkia
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	Sakatu 'Ongi' erregistratzearekin jarraitzeko edo 'Ezeztatu' erregistrorik ez aldatzeko.
Press ESC to exit...	Sakatu ESC irtetzeko...
Press any key to search the subdirectories for image files.	Sakatu edozein tekla azpizuzenbideetan irudi agiriak biltzeko.
Preview	Aurreikuspena
Previous image	Aurreko irudia
Print	Irarkitu
Print Image	Irarkitu Irudia
Printer driver	Irarketa gidagailua
Printer:	Irarkailua:
Project home page	Egitasmoaren webgunea
Radius	Zilerdia
Random	Zorizkoa
Reading the JPEG file from disk failed	Hutsegitea JPEG agiria diskatik irakurtzerakoan
Reason:	Zergaitia:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	Eremu honetan agiri hedapenak erregistratzea eta deserregistratzeak administratzaile eskubideak behar ditu eta ezin da JPEGIkusgailuan egin.
Registration applies to the current user only.	Erregistroa oraingo erabiltzaileari bakarrik ezartzen zaio
Remove from	Kendu hemendik
Rename	Berrizendatu
Rename/copy images to:	Berrizendatu/Kopiatu irudiak hona:
Renaming file failed!	Hutsegitea agiria berrizendatzerakoan!
Reset	Berrezarri
Resize Image	Birneurriratu Irudia
Right	Eskuina
Right mouse button: Context menu	Saguaren eskuin botoia: Hitzinguru menua
Roll from bottom	Gurpildu behetik
Roll from left	Gurpildu ezkerretik
Roll from right	Gurpildu eskuinetik
Roll from top	Gurpildu goitik
Rotate Image	Itzulikatu irudia
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Itzulikatu oraingo agiria diskan 270° galeragabe (Zab./Gar. 16-ren biderki izan behar dute)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Itzulikatu oraingo agiria diskan 90° galeragabe (Zab./Gar. 16-ren biderki izan behar dute)
Rotate image 90 deg clockwise	Itzulikatu irudia 90 gradu ordulari orrantzen norabidean
Rotate image 90 deg counter-clockwise	Itzulikatu irudia 90 gradu ordulari orratzen-aurkako norabidean
Rotate image and fit to screen	Itzulikatu irudia eta finkatu ikusleihoan
Rotate image by user-defined angle	Itzulikatu irudia erabiltzaileak-zehaztutako angeluan
Rotate the image by dragging with the mouse.	Itzulikatu irudia saguarekin arrastatuz.
SIMD mode used	Erabilitako SIMD modua
Same as Image	
Saturation	Margoasetasuna
Save	Gorde
Save (%s) / delete (%s) image processing parameters into/from parameter DB	Gorde (%s)/ Ezabatu (%s) irudi prozesapen parametroak DB parametroeta-n/-tik
Save as (in screen size/resolution)	Gorde honela (ikusleiho neurri/bereizmenarekin)
Save as template	Gorde eredu bezala
Save cropped image	Gorde moztutako irudia
Save processed image to JPEG file (original size)	Gorde prozesatutako irudia JPEG agiri batean (jatorrizko neurria)
Save processed image to JPEG file (screen size)	Gorde prozesatutako irudia JPEG agirian (ikusleiho neurria)
Save to	Gorde hemen
Scaling mode:	Neurriketa modua
Screen Pixels	Ikusleiho Pixel
Scroll from bottom	Irristatu behetik
Scroll from left	Irristatu ezkerretik
Scroll from right	Irristatu eskuinetik
Scroll from top	Irristatu goitik
Select Printer...	Hautatu Irarkailua...
Select all	Hautatu denak
Select application	Hautatu aplikazioak
Select file to display in 'File Open' dialog	Hautatu 'Ireki Agiria' elkarrizketan erakusteko agiria
Select none	Ez hautatu ezer
Select parameter DB to restore	Hautatu leheneratzeko DB parametroak
Set Fixed Crop Size	Ezarri Zuzendutako Mozketa Neurria
Set JPEGView as default image viewer	Ezarri JPEGIkusgailua berezko irudi ikusgailu bezala
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Ezarri tartea n/10 seg-tan, edo n/100 seg (Ktrl+Aldatu)
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	Dauden sarrerei heutsi behar zaie (Bai) edo ezeztatu inportatutako sarrerekin (Ez)?
Sharpen	Garbitasuna
Sharpen low	Itzal apala
Sharpen medium	Itzal ertaina
Shortcut Help	Lastertekla Laguntza
Shortcut key:	Lastertekla:
Show filename	Erakutsi agirizena
Show first image in folder	Erakutsi agiritegiko lehenengo irudia
Show grid lines	Erakutsi saretxo lerroak
Show histogram	Erakutsi histograma
Show last image in folder	Erakutsi agiritegiko azken irudia
Show navigation panel	Erakutsi nabigazio panela
Show next image	Erakutsi hurrengo irudia
Show picture info (EXIF)	Erakutsi argazkiaren argibideak (EXIF)
Show previous image	Erakutsi aurreko irudia
Show/hide file name	Erakutsi/Ezkutatu agiriaren izena
Show/hide navigation panel	Erakutsi/Ezkutatu nabigazio panela
Show/hide picture information (EXIF data)	Erakutsi/Ezkutatu irudiaren argibideak (EXIF datuak)
Show/hide this help text	Erakutsi/Ezkutatu laguntza idazki hau
Size:	Neurria:
Slide from bottom	Aurkeztu behetik
Slide from left	Aurkeztu ezkerretik
Slide from right	Aurkeztu eskuinetik
Slide from top	Aurkeztu goitik
Slideshow	Aurkezpena
Slideshow with timeout of 'n' seconds (ESC to stop)	Argazki aurkezpen tartea 'n' segundu (ESC gelditzeko)
Sort images by creation date, resp. modification date, resp. file name	Antolatu irudiak sortze egun, aldaketa egun, agiri izen arabera
Source:	Iturburua
Target folders that do not yet exist are created as needed.	Oraindik ez dauden xede agiritegiak sortu egingo dira beharrezkoa bada.
The directory '%s' does not contain any image files!	'%s' zuzenbideak ez du irudi agiririk!
The file '%s' could not be copied!	
The file '%s' could not be read!	'%s' agiria ezin da irakurri!
The file '%s' could not be renamed!	
The file '%s' does not contain a list of file names!	'%s' agirak ez du agiri izenen zerradarik!
The file is read-only!	Agiria irakurtzeko-bakarrik da!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	Hurrengo agiri hedapenak ezin dira deserregistratu 'tokiko makina' erregistro eremuan erregistraturik daudelako.
The following image extensions are protected by the operating system.	Hurrengo irudi hedapenak sistema eragileak babesturik daude.
The imported param DB contains entries already present in active param DB.	Inportatutako parametro DB-ak jadanik parametro DB-an badauden sarrerak ditu.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	Neurri berria handiegia da - zabalera edo garaiera 65535 baino handiagoa da edo pixel zenbatekoa guztira handiegia da!
The old parameter DB file '%s' could not be renamed during conversion to new format!	'%s' parametro DB zaharra ezin izan da berrizendatu heuskarri berrira bihurtzerakoan!
The operation failed because not enough memory is available!	Eragiketak huts egin du ez dagoelako nahikoa oroimen eskuragarri!
The parameter DB file '%s' has been created by a newer version of JPEGView!	'%s' parametro DB agiria JPEGIKusgailu bertsio berriago batek sortua da!
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	Eraldaketa ezarri daiteke irudia bat datorren hurrengo neurrira mozten bada baina honek hertzeko zenbait pixel kenduko ditu.
These values will override the values from the INI file located in the program folder of JPEGView!	Balio hauek ezeztatu egingo dituzte JPEGIkusgailu programaren agiritegiko INI agiriko balioak!
Threshold	Muga
Title:	Izenburua:
Toggle between screens (only for multi-monitor systems)	Aldatu ikusleiho artean (monitore-anitzeko sistematan bakarrik)
Toggle window always on top mode	
Toggle window title bar hidden mode	
Top	Goia
Transition Effect	Aldaketa Eragina
Unregistering not possible	Deserregistratzea ezinezkoa da
Unsharp mask...	Lausotze Mozorroa
Update user settings with new settings from settings template file?	Eguneratu erabiltzaile ezarpenak ezarpen berriekin ezarpen eredu agiritik?
Use the 'Default Programs' configuration dialog from the operating system instead.	Erabili 'Berezko Programak' itxurapen elkarrizketa sistema eragiletik ordez.
Use the mouse to draw a line that shall be horizontal or vertical.	Erabili sagua etzana edo zutia izango den lerro bat marrazteko.
Warning	Kontuz
Width	Zabalera
Window mode	Leiho modua
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	
Writing the resulting JPEG file to disk failed	Hutsegitea emaitz JPEG agiria diskara idazterakoan
Y - B	Or - Ur
Year short form (2 digits)	Urtea laburtuta (2 digito)
Yellow-Blue	Oria-Urdina
Zoom 1:1 (100 %)	Zooma 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Hurbildu (%s)/Hurrundu (%s)
Zoom in/out image	Hurbildu/Hurrundu irudia
Zoom mode (drag mouse to zoom)	Zoom modua (arrastatu sagua zooma egiteko)
and image processing (brightness/contrast/sharpen) parameters between images	eta irudi prozesatzea (dizdira/zuribeltztasuna/garbitasuna)
cm	me
in	
new menu entry	
no	ez
off	etenda
on	eraginda
user-defined	
yes	bai

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Gelditu aurkezpena/filma
Open image...	Ireki irudia...
Open image with	Ireki irudia honekin
Save processed image...	Gorde prozesatutako irudia...
Reload image	Birgertatu irudia
Open containing folder in Explorer	
Print image...	Irarkitu irudia...
Batch rename/copy...	Multzoka berrizendatu/kopiatu...
Set modification date	Ezarri aldaketa eguna
to current date	Gaurko egunean
to EXIF date	EXIF egunean
to EXIF date (all files in folder)	EXIF egunera (agiritegiko agiri denak)
Set as desktop wallpaper	Ezarri mahaigaineko hormapaper bezala
Use original image	Erabili jatorrizko irudia
Use processed image as displayed	Erabili prozesatutako irudia erakusten den bezala
Copy to clipboard	Kopiatu gakora
Copy original size image	Kopiatu irudia jatorrizko neurrian
Copy file path	
Display order	Erakuspen hurrenkera
Modification date	Aldaketa eguna
Creation date	Sortze eguna
Play folder as slideshow/movie	Irakurri agiritegia aurkezpen/filma bezala
Waiting time	Itxaronaldia
1 sec	
2 sec	
3 sec	
4 sec	
5 sec	
7 sec	
10 sec	
20 sec	
Transition Speed	Aldaketa Abiadura
Very fast	Oso azkar
Fast	Azkara
Normal	Arrunt
Slow	Astiro
Very slow	Oso astiro
Movie	Filma
Playback speed	
5 fps	
10 fps	
25 fps	
30 fps	
50 fps	
100 fps	
Transform image	Eraldatu irudia
Rotate +90	Itzulikatu +90
Rotate -90	Itzulikatu -90
Rotate...	Itzulikatu...
Change size...	Aldatu neurria...
Perspective correction...	Ikuspegi zuzenketa...
Mirror horizontally	Etzaneko ispilua
Mirror vertically	Zutikako ispilua
Rotate 180	Itzulikatu 180
Auto correction	Berez zuzenketa
Save parameters to DB	Gorde parametroak DB-an
Clear parameters from DB	Garbitu DB-ko parametroak
Zoom	Zooma
Span all screens	Hedatu ikusleiho denak
Fit window to image	Finkatu leihoa irudiari
Hide window title bar	
Set window always on top	
Settings/Admin	Ezarpenak/Administrazioa
Edit global settings...	Editatu ezarpen orokorrak...
Edit user settings...	Editatu erabiltzaile ezarpenak...
Update user settings...	Eguneratu erabiltzaile ezarpenak
Set current parameters as default values...	Ezarri oraingo parametroak berezko balio bezala...
Set as default viewer...	Ezarri berezko ikusgailu bezala...
Backup parameter DB...	Babeskopiatu DB parametroak...
Restore parameter DB...	Leheneratu DB parametroak...
User commands	Erabiltzaile aginduak
About JPEGView...	JPEGIkusgailuari buruz...
Exit	Irten
Crop Selection	Moztu Hautapena
Crop Selection Lossless...	Moztu Hautapena Galeragabe...
Copy Selection to Clipboard	Kopiatu Hautapena Gakora
Crop Mode	Mozketa Modua
Free	Askea
Fixed size...	Zuzendutako neurria...
Zoom to Selection	Zooma Hautapenean

// ::: INFO: Out-of-date Translations [16] ::: (Not in use anymore, safe to delete) //
//However this will fail if the current user has no administration privileges.	Horrela ere honek huts egingo du oraingo erabiltzaileak ez baditu administratzaile pribilegioak.
//Insufficient rights to remove the restrictions. Continue?	Ez duzu nahikoa eskubide murrizpenak kentzeko. Jarraitu?
//JPEGView can try to remove the restrictions automatically.	JPEGIkusgailua murrizpenak berezgaitasunez kentzen saiatu daiteke.
