//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ru
//: ISO 3166-1 code:
//: Language: Russian (Русский)
//: Translator(s) - Name <Contact Info/URL>: Dmitry Yerokhin <erodim@mail.ru>
//: Last Updated: Mar 6, 2023
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	Файлов переименовано: %d, скопировано: %d, создано папок: %d
%s camera raw images (embedded JPEGs only)	RAW-изображения %s (только встроенные JPEG)
%s images	Изображения %s
%s images (processed by Window Imaging Component - WIC)	Изображения %s (обработка Window Imaging Component — WIC)
'My Pictures' folder	папка 'Мои рисунки'
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Задать интервал N/10 сек или N/100 сек (Ctrl+Shift)
Shall existing entries be preserved (Yes) or be overwritten by the imported entries (No)?	Сохранить имеющиеся записи ('Да') или перезаписать их импортированными ('Нет')?
Sharpen	Резкость
Sharpen low	Резкость слабо
Sharpen medium	Резкость средне
Shortcut Help	Справка по клавишам
Shortcut key:	Быстрый вызов:
Show filename	Показывать имя файла
Show first image in folder	Показать первое изображение в папке
Show grid lines	Сетка
Show histogram	Показать гистограмму
Show last image in folder	Показать последнее изображение в папке
Show navigation panel	Показывать панель навигации
Show next image	Показать следующее изображение
Show picture info (EXIF)	Показывать сведения об изображении (EXIF)
Show previous image	Показать предыдущее изображение
Show/hide file name	Показать/скрыть имя файла
Show/hide navigation panel	Показать/скрыть панель навигации
Show/hide picture information (EXIF data)	Показать/скрыть сведения об изображении (EXIF)
Show/hide this help text	Показать/скрыть этот текст справки
Size:	Размер:
Slide from bottom	Сдвиг снизу вверх
Slide from left	Сдвиг слева направо
Slide from right	Сдвиг справа налево
Slide from top	Сдвиг сверху вниз
Slideshow	Слайдшоу
Slideshow with timeout of 'n' seconds (ESC to stop)	Запустить слайдшоу с интервалом N сек (Esc — стоп)
Sort images by creation date, resp. modification date, resp. file name	Сортировка изображений: по дате создания (C), изменения (M), имени файла (N), случайно (Z)
Source:	Источник:
Target folders that do not yet exist are created as needed.	Несуществующие папки назначения создаются по необходимости.
The directory '%s' does not contain any image files!	В папке '%s' нет поддерживаемых графических файлов.
The file '%s' could not be copied!	Невозможно скопировать файл '%s'.
The file '%s' could not be read!	Невозможно прочитать файл '%s'.
The file '%s' could not be renamed!	Невозможно переименовать файл '%s'.
The file '%s' does not contain a list of file names!	В файле '%s' нет списка имён файлов.
The file is read-only!	Этот файл только для чтения!
The following file extensions cannot be unregistered because they have been registered in the 'local machine' registry area.	У этих расширений нельзя снять регистрацию, так как они зарегистрированы в реестре в HKEY_LOCAL_MACHINE.
The following image extensions are protected by the operating system.	Эти расширения графических файлов защищены операционной системой.
The imported param DB contains entries already present in active param DB.	В импортированной базе имеются записи, которые уже есть в активной базе.
The new size is too large - width or height is larger than 65535 or total number of pixels is too large!	Новый размер слишком велик — ширина или высота превышают 65 535 пикселов, либо слишком много пикселов всего!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Не удалось переименовать старый файл '%s' с базой параметров при преобразовании в новый формат.
The operation failed because not enough memory is available!	Операция не выполнена: недостаточно памяти.
The parameter DB file '%s' has been created by a newer version of JPEGView!	Файл '%s' с базой параметров создан в более новой версии JPEGView.
The transformation can be applied if the image is cropped to the next matching size but this will remove some border pixels.	Преобразование возможно, если обрезать изображение до ближайшего кратного блоку значения (и потерять некоторое количество пикселов с краёв).
These values will override the values from the INI file located in the program folder of JPEGView!	Эти значения будут иметь приоритет перед установками в INI-файле в папке с JPEGView.
Threshold	Порог
Title:	Название:
Toggle between screens (only for multi-monitor systems)	Переключиться между экранами (в мультимониторных системах)
Toggle window always on top mode	Вкл./выкл. режим вывода поверх всех окон
Toggle window title bar hidden mode	Вкл./выкл. режим скрытия заголовка окна
Top	Сверху
Transition Effect	Эффект смены изображений
Unregistering not possible	Отмена регистрации невозможна
Unsharp mask...	Нерезкая маска...
Update user settings with new settings from settings template file?	Обновить пользовательские настройки, взяв их из файла с шаблонами?
Use the 'Default Programs' configuration dialog from the operating system instead.	Используйте системное окно 'Программы по умолчанию'.
Use the mouse to draw a line that shall be horizontal or vertical.	Проведите мышью линию, которая должна стать горизонтальной или вертикальной.
Warning	Внимание
Width	Ширина
Window mode	Оконный режим
Windows 8 (and above) blocks JPEGView from changing the default program for these file extensions.	Windows 8 (и новее) не позволяет JPEGView изменять стандартную программу для файлов с этими расширениями.
Writing the resulting JPEG file to disk failed	Ошибка записи результирующего файла JPEG
Y - B	Y - B
Year short form (2 digits)	год коротко (две цифры)
Yellow-Blue	Жёлтый-Синий
Zoom 1:1 (100 %)	Масштаб 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	Увеличить (%s)/уменьшить (%s)
Zoom in/out image	Увеличить/уменьшить изображение (масштабировать)
Zoom mode (drag mouse to zoom)	Режим масштабирования (перетаскиванием мыши)
and image processing (brightness/contrast/sharpen) parameters between images	и обработку (яркость/контрастность/резкость) между изображениями
cm	см
in	дюйм
new menu entry	новый пункт меню
no	нет
off	выкл.
on	вкл.
user-defined	пользовательское
yes	да

// ::: Popup Menu Strings ::: (unsorted to preserve context) //
Stop slide show/movie	Остановить слайдшоу/фильм
Open image...	Открыть изображение...
Open image with	Открыть изображение в...
Save processed image...	Сохранить обработанное изображение...
Reload image	Перезагрузить изображение
Open containing folder in Explorer	Открыть папку с файлом в Проводнике
Print image...	Печать изображения...
Batch rename/copy...	Пакетное переименование/копирование...
Set modification date	Установить дату изменения
to current date	по текущей дате
to EXIF date	по дате в EXIF
to EXIF date (all files in folder)	по дате в EXIF (для всех файлов в папке)
Set as desktop wallpaper	Сделать рисунком рабочего стола
Use original image	Исходное изображение
Use processed image as displayed	Обработанное изображение (как на экране)
Copy to clipboard	Скопировать изображение в буфер обмена
Copy original size image	Скопировать изображение с исходным размером
Copy file path	Скопировать путь к файлу
Display order	Сортировка при показе
Modification date	Дата изменения
Creation date	Дата создания
Play folder as slideshow/movie	Слайдшоу/фильм из файлов в папке
Waiting time	Интервал
1 sec	1 секунда
2 sec	2 секунды
3 sec	3 секунды
4 sec	4 секунды
5 sec	5 секунд
7 sec	7 секунд
10 sec	10 секунд
20 sec	20 секунд
Transition Speed	Скорость эффекта
Very fast	Очень быстро
Fast	Быстро
Normal	Умеренно
Slow	Медленно
Very slow	Очень медленно
Movie	Фильм
Playback speed	Скорость воспроизведения
5 fps	5 кадров в секунду
10 fps	10 кадров в секунду
25 fps	25 кадров в секунду
30 fps	30 кадров в секунду
50 fps	50 кадров в секунду
100 fps	100 кадров в секунду
Transform image	Преобразовать изображение
Rotate +90	Повернуть на 90° вправо
Rotate -90	Повернуть на 90° влево
Rotate...	Повернуть на произвольный угол...
Change size...	Изменить размер...
Perspective correction...	Коррекция перспективы...
Mirror horizontally	Зеркально перевернуть по горизонтали
Mirror vertically	Зеркально перевернуть по вертикали
Rotate 180	Повернуть на 180°
Auto correction	Автокоррекция
Save parameters to DB	Сохранить параметры в базе данных
Clear parameters from DB	Удалить параметры из базы данных
Zoom	Масштабирование
Span all screens	На все экраны
Fit window to image	Подгонка окна по изображению
Hide window title bar	Скрыть заголовок окна
Set window always on top	Закрепить окно поверх других окон
Settings/Admin	Настройки
Edit global settings...	Глобальные настройки...
Edit user settings...	Пользовательские настройки...
Update user settings...	Обновить пользовательские настройки...
Set current parameters as default values...	Сохранить текущие параметры как стандартные...
Set as default viewer...	Назначить программой просмотра по умолчанию...
Backup parameter DB...	Сделать резервную копию базы параметров...
Restore parameter DB...	Восстановить базу параметров из копии...
User commands	Пользовательские команды
About JPEGView...	О программе JPEGView...
Exit	Выход
Crop Selection	Обрезать выделенное
Crop Selection Lossless...	Обрезать выделенное без потерь...
Copy Selection to Clipboard	Скопировать выделенное в буфер обмена
Crop Mode	Режим обрезки
Free	Произвольно
Fixed size...	Фиксированный размер...
Zoom to Selection	Масштабировать до выделенного

// ::: INFO: Out-of-date Translations [28] ::: (Not in use anymore, safe to delete) //
//Auto contrast and color correction:	Автокоррекция контрастности и цвета:
//Downcounting	По убыванию
//Error while writing the following registry key:	Ошибка записи ключа реестра:
//Insufficient rights to remove the restrictions. Continue?	Недостаточно прав для удаления ограничений. Продолжить?
//Licensed under the GNU general public license (GPL), see readme file for details:	Лицензия GNU General Public License (GPL),    см. файл с документацией:
//Local density correction:	Коррекция светов/теней:
//No file or folder name was provided as command line parameter!	Не указано имя файла или папки в командной строке
//Number of CPU cores used:	Используется ядер ЦП:
//Order files by:	Сортировка файлов:
//Parameter DB:	Параметры:
//PgDn or Right	PgDn или стрелка вправо
//PgUp or Left	PgUp или стрелка влево
//Press 'OK' to continue with registration or 'Cancel' to not modify any registrations.	OK — зарегистрировать, 'Отмена' — не изменять никаких регистраций файлов.
//Registering or unregistering file extensions in this registry area requires administration privileges and cannot be done in JPEGView.	Регистрация/дерегистрация расширений в этой области реестра требует прав администратора и не может быть выполнена в JPEGView.
//Rename:	Переименовать:
//Rotate the following file lossless by 270 deg?\n%filename%	Повернуть без потерь на 90° влево и сохранить в файле?\n%filename%
//Rotate the following file lossless by 90 deg?\n%filename%	Повернуть без потерь на 90° вправо и сохранить в файле?\n%filename%
//SIMD mode used:	Режим SIMD:
//Slide show with timeout of n seconds (ESC to stop)	Запустить слайдшоу с интервалом N сек (Esc — стоп)
//Target folders that are not yet existing are created as needed.	Несуществующие папки назначения создаются по необходимости.
//The file '%s' could not be %s.	Для файла '%s' невозможно выполнить операцию '%s'.
//To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Для удобства ассоциируйте файлы JPG, JPEG и BMP с JPEGView.
//Upcounting	По возрастанию
//Windows 8 blocks JPEGView from changing the default program for these file endings.	Windows 8 не позволяет JPEGView изменять стандартную программу для файлов с этими расширениями.
//[new entry]	[новый элемент]
//copied	скопировано
//renamed	переименовано
//up/down	Стрелки вверх/вниз

// ::: STATUS: Last Checked/Updated by Script ::: 2023-03-14T00:34:40.509588+00:00 //
//! Translation Progress: 100%
//! * Total (Strings + Menu) = 427
//! * Done = 427
//! * Missing = 0 (0%)
